"wages","education","age","sex","language"
17.85,13,44,"Male","English"
NA,12,31,"Female","English"
15,14,31,"Male","English"
NA,14.5,23,"Female","English"
10,13,34,"Female","English"
11.29,13,31,"Male","English"
NA,12,17,"Male","English"
NA,14.5,65,"Female","English"
7.54,12,38,"Female","English"
NA,3,55,"Female","English"
14.96,13,27,"Male","English"
10.26,10,32,"Male","English"
3.75,10,16,"Male","English"
16.22,12,26,"Male","English"
NA,11,51,"Male","English"
33.59,15.5,53,"Female","English"
11,14.8,36,"Male","English"
NA,8,72,"Male","Other"
NA,10,36,"Male","English"
NA,10,75,"Female","English"
20.3,12,32,"Female","English"
NA,12,34,"Female","English"
NA,3,65,"Female","Other"
15.75,20,34,"Male","English"
NA,11,71,"Female","English"
13.59,13,42,"Female","Other"
11.5,12,41,"Male","English"
NA,12,62,"Female","English"
9.35,17,24,"Male","English"
8.12,12.1,16,"Male","English"
4.96,16,21,"Female","English"
NA,8,64,"Female","English"
NA,9,50,"Male","English"
NA,10.4,21,"Female","English"
32.64,12,65,"Male","English"
28.73,15.5,36,"Male","English"
9.6,12,39,"Female","Other"
16.51,13,27,"Male","French"
NA,11,61,"Male","English"
24.07,19,29,"Female","English"
16.5,18,47,"Male","English"
NA,9.5,50,"Female","English"
14.71,9,54,"Male","English"
NA,16,66,"Male","Other"
NA,NA,16,"Male",NA
19,18.3,40,"Male","Other"
NA,11.5,74,"Female","English"
NA,9,71,"Male","Other"
NA,13,40,"Male","English"
7.5,15,31,"Male","Other"
19.2,7,56,"Male","English"
NA,10,45,"Male","Other"
16,10,48,"Male","English"
NA,13,51,"Male","English"
16.22,10,47,"Male","English"
6.83,14.3,41,"Male","English"
3.64,13.5,33,"Female","English"
19.2,12,30,"Female","English"
NA,12.5,78,"Female","French"
NA,12,39,"Female","English"
NA,12,77,"Female","English"
NA,NA,49,"Female","English"
NA,12,21,"Female","English"
7.5,12.3,25,"Female","Other"
10.18,15.3,37,"Female","English"
30,17,24,"Female","English"
NA,12,36,"Male","English"
NA,8,36,"Female","English"
NA,12.4,32,"Female","English"
NA,6,86,"Female","French"
17.76,10,50,"Male","English"
6.58,12,23,"Male","English"
14.23,13,64,"Female","Other"
10,20,30,"Female","English"
7,17,34,"Female","English"
NA,8.1,21,"Female","English"
22.39,17.5,41,"Female","English"
NA,9,78,"Male","English"
4.29,13,42,"Female","Other"
46.15,11,18,"Male","English"
NA,10,39,"Female","Other"
11.52,9,53,"Female","Other"
6.85,8,49,"Female","English"
NA,13,30,"Male","English"
6.53,10,45,"Female","English"
23.96,14,36,"Male","English"
NA,13,51,"Female","French"
NA,11,19,"Male","English"
NA,10,69,"Female","English"
NA,16,74,"Female","English"
28.74,17.5,54,"Male","Other"
NA,14,68,"Male","English"
NA,NA,34,"Female",NA
NA,10,49,"Male","English"
23.04,13.5,54,"Male","English"
16.81,12,61,"Female","English"
24,12,39,"Male","English"
NA,8,74,"Male","English"
19.55,14.1,27,"Male","English"
7.2,19,25,"Female","English"
8.55,11,38,"Female","English"
NA,7,80,"Female","Other"
19.39,15,26,"Male","English"
24.48,19,31,"Male","English"
17,10.5,31,"Male","English"
NA,16,67,"Male","English"
NA,10,69,"Male","English"
24,NA,30,"Male","English"
NA,13,49,"Female","English"
NA,8,60,"Male","French"
20.16,16,48,"Male","English"
NA,13,41,"Male","English"
NA,15,64,"Male","Other"
18.56,13.1,36,"Female","English"
12.81,15,35,"Female","English"
7.03,12,25,"Male","English"
NA,11,70,"Female",NA
25.8,12,54,"Female","English"
26.11,16,43,"Male","English"
NA,14.5,32,"Female","Other"
NA,15,25,"Male","French"
20.64,14,44,"Female","English"
NA,8,74,"Male","English"
11.99,13.5,33,"Male","English"
7.4,12.9,19,"Male","English"
31.71,12,42,"Male","English"
NA,8,72,"Female","English"
NA,10,28,"Female","English"
11,10,36,"Female","English"
22.4,15.1,35,"Female","English"
6.75,16,22,"Female","English"
18.24,10,46,"Female","English"
7.47,9.4,24,"Female","English"
12.39,9,37,"Male","English"
33.59,17,46,"Male","English"
NA,9.3,22,"Male","English"
20.85,18,42,"Female","English"
15.28,12,30,"Female","English"
17.1,13,29,"Male","English"
11.68,8,60,"Male","French"
NA,12,74,"Female","English"
7,13,26,"Female","French"
NA,13,38,"Male","English"
NA,12,72,"Female","English"
5.69,10,38,"Female","English"
NA,8,77,"Female","Other"
22.54,15,36,"Male","English"
NA,5,68,"Male","French"
8.53,13,37,"Female","English"
NA,8,67,"Female","French"
NA,10,46,"Male","English"
NA,8,72,"Male","English"
14.13,19,46,"Male","English"
16.32,14.5,45,"Female","English"
NA,10,85,"Female","Other"
NA,12.5,57,"Male","English"
NA,8,51,"Male","English"
12.29,17.5,28,"Female","Other"
NA,12.5,29,"Female","English"
9.23,12,36,"Female","English"
15,17,51,"Male","English"
19.61,13.9,31,"Female","English"
27.79,18.1,35,"Female","English"
NA,20,75,"Male","English"
10.56,16,24,"Male","English"
7,14.5,25,"Female","Other"
10,14.5,23,"Male","Other"
6.63,12.5,47,"Female","English"
NA,10,19,"Female",NA
18.92,12,51,"Male","English"
NA,8,59,"Male","English"
18.24,14.1,40,"Female","English"
NA,14,69,"Female","English"
29.26,16,43,"Male","English"
16.45,13,34,"Female","English"
11.49,12,50,"Female","Other"
6.7,15,21,"Female","English"
13.25,12.5,37,"Male","English"
NA,11,51,"Female","English"
NA,10,76,"Male","English"
NA,14.3,34,"Female","English"
14.59,18.1,43,"Female","English"
NA,8,25,"Male","Other"
NA,10,70,"Female","English"
15.36,13.5,34,"Male","English"
16.4,13,55,"Female","English"
12,13.5,41,"Male","English"
9.15,12,17,"Female","English"
NA,17,29,"Female","English"
8.61,14.8,37,"Female","English"
25.58,17.3,42,"Female","Other"
21.6,12,42,"Male","English"
13.06,9,22,"Male","Other"
15,13,36,"Male","English"
9,14,31,"Female","English"
NA,17,88,"Female","English"
NA,15,43,"Female","English"
NA,13,71,"Female","English"
NA,12,26,"Female","English"
12.8,14,42,"Female","English"
16,16,32,"Female","English"
NA,12,26,"Female","English"
NA,0,75,"Male","French"
NA,12.6,45,"Female","English"
18.03,15,31,"Female","English"
NA,15.5,23,"Female","English"
NA,15,70,"Female","Other"
NA,15,75,"Male","English"
12,17,19,"Female","English"
NA,14.5,32,"Female","English"
18.26,14,29,"Male","English"
NA,12,28,"Male","English"
15.84,20,29,"Male","English"
NA,11,54,"Female","English"
6.76,13,29,"Female","Other"
19.68,11,43,"Male","English"
24,16,54,"Male","English"
7,12,31,"Female","English"
3.63,13,19,"Male","English"
NA,14,27,"Male","English"
NA,12.2,22,"Male","English"
NA,10,55,"Female","Other"
27.65,18,54,"Male","English"
17.87,17,25,"Female","English"
27.93,12.2,37,"Male","French"
14.35,10,34,"Male","English"
NA,11.5,47,"Female","English"
NA,8,69,"Male","English"
NA,12,21,"Male","English"
NA,7,66,"Male","English"
17.84,8,46,"Male","English"
15,12,44,"Male","English"
NA,19,61,"Male","English"
NA,11,67,"Male","English"
NA,11.5,79,"Female","French"
21,10,40,"Female","English"
25,16,37,"Male","English"
15.36,17.4,25,"Female","English"
NA,8,81,"Female","Other"
NA,10.5,61,"Female","Other"
21.12,17,45,"Female","English"
NA,15,66,"Male","English"
13.44,16.6,39,"Female","English"
NA,6,76,"Female","Other"
20.31,14,37,"Male","English"
NA,16.9,30,"Female","English"
NA,10.5,65,"Male","English"
9.41,13.8,21,"Female","English"
NA,12,76,"Female","English"
6.8,12,19,"Female","English"
23.04,11,57,"Female","English"
9.21,10,17,"Male","English"
NA,13,43,"Female","French"
13.63,13,25,"Female","English"
24,16,44,"Male","English"
20.95,13,42,"Male","English"
NA,14,39,"Male","French"
7.5,11.5,44,"Female","Other"
NA,12.3,42,"Female","English"
17.34,12,37,"Male","English"
7.05,10,19,"Female","English"
NA,12,65,"Female","English"
21.3,10,31,"Female","English"
NA,8,47,"Female","Other"
15,12.5,34,"Male","English"
NA,13.5,53,"Male","French"
NA,13,19,"Female","English"
13.56,13,43,"Female","French"
NA,8.5,45,"Female","English"
32.64,18,48,"Male","English"
47.88,19,49,"Male","French"
30.38,14,33,"Male","English"
23,14,45,"Male","English"
NA,20,61,"Male","English"
6.7,12,17,"Male","English"
23.04,12,35,"Female","English"
NA,5,86,"Male","Other"
13.82,10,53,"Female","Other"
6.54,12,17,"Male","English"
12,12,28,"Male","English"
NA,11,54,"Female","English"
16.7,19,59,"Female","Other"
12.8,14.5,36,"Female","Other"
20,16,47,"Male","English"
9.03,16,29,"Female","English"
NA,14,70,"Female","English"
30.24,18,47,"Male","English"
16.73,12,40,"Female","English"
10,9,64,"Male","English"
12.78,11.5,33,"Male","English"
NA,NA,68,"Male","English"
21.31,20,26,"Male","English"
NA,14,34,"Female","English"
45.36,15.7,24,"Male","English"
20.07,16,43,"Male","English"
NA,15,28,"Male",NA
8.39,17,24,"Female","English"
NA,12,48,"Female","English"
NA,14,22,"Female","English"
NA,14,27,"Female","English"
19.2,12,34,"Male","English"
35.2,14,40,"Female","English"
6.71,12,65,"Female","English"
21.6,12,47,"Male","English"
NA,19,62,"Male","English"
NA,10,60,"Female","French"
23.06,19,23,"Female","English"
14.84,10,49,"Male","English"
19.18,9,48,"Male","English"
12.37,12.5,42,"Female","English"
21.04,12,37,"Female","English"
NA,8,61,"Female","English"
6.75,11,61,"Female","Other"
NA,10,16,"Male","English"
10.98,12,26,"Male","English"
12,13.6,19,"Female","English"
10.7,15,28,"Female","English"
17.67,15,36,"Male","English"
9.99,15.5,23,"Male","English"
28.8,12.2,45,"Male","French"
14.38,16,27,"Female","English"
NA,14,75,"Male","English"
NA,18,61,"Male","English"
NA,15.6,20,"Female","English"
11.81,10,39,"Male","English"
NA,12,69,"Male","English"
NA,17,65,"Male","English"
6.5,12,19,"Female","Other"
NA,15.6,32,"Male","Other"
22,10,47,"Male","English"
17.42,18.1,25,"Female",NA
11.61,13.4,40,"Female","English"
9.43,12,35,"Male","English"
NA,12.5,66,"Female","English"
19.9,17,41,"Male","English"
8.65,13.1,20,"Male","English"
NA,10,51,"Female","English"
NA,11,65,"Female","English"
NA,11,18,"Female","English"
NA,11,23,"Female","English"
NA,14,32,"Female","English"
19.2,15.1,47,"Male","English"
NA,11,77,"Male","English"
10.18,12,28,"Female","Other"
6.76,10,16,"Female","English"
12.96,16.3,25,"Female","English"
NA,NA,73,"Female","English"
NA,11,59,"Female","English"
NA,16,34,"Female","English"
7.35,18,26,"Female","English"
NA,3,50,"Male","Other"
40.96,17,52,"Male","English"
13.59,12.5,29,"Female","English"
NA,12.5,42,"Female","English"
NA,7,66,"Male","English"
NA,18.5,36,"Female","English"
NA,11,66,"Male","Other"
NA,7,70,"Female","Other"
NA,13,40,"Female","English"
NA,12.5,61,"Male","English"
9.54,12.5,33,"Male","English"
14.49,10,46,"Male","English"
28.8,17.1,49,"Male","Other"
10,11,17,"Male","English"
6.7,14,21,"Male","English"
NA,12.5,74,"Female","English"
NA,17,48,"Female","English"
26.96,13.5,47,"Male","English"
12.19,13,19,"Male","English"
6.5,12,19,"Female","English"
32.91,17,52,"Female","English"
15,14.1,22,"Female","English"
15,14,31,"Female","English"
5.11,15.6,23,"Female","English"
7,15,18,"Female","Other"
31.2,10,52,"Male","English"
23.04,18,38,"Female","English"
NA,11.5,61,"Female","English"
NA,9,66,"Female","English"
NA,NA,47,"Female","French"
6.78,13.8,18,"Male","English"
15.36,15,52,"Female","English"
NA,10,57,"Female","English"
NA,12.5,40,"Male","Other"
NA,15,33,"Male","English"
NA,12.5,60,"Female","French"
13.68,11,49,"Female","English"
17,13,35,"Female","English"
NA,10,59,"Female","English"
NA,13,38,"Female","English"
NA,16,34,"Female","English"
NA,8,47,"Female","English"
NA,14,31,"Female","English"
NA,8,66,"Female","English"
NA,10,50,"Male","English"
NA,16,31,"Male","English"
NA,16.3,39,"Male","English"
25.92,14,53,"Female","English"
NA,8,60,"Female","French"
6.85,11,17,"Male","English"
13.92,14,31,"Male","English"
6.7,11,17,"Female","English"
16.59,20,26,"Female","Other"
14.06,12.3,19,"Female","English"
NA,10,66,"Male","English"
5.64,13.9,20,"Male","English"
10.45,19.3,45,"Female","Other"
NA,12.5,35,"Male","English"
14.34,10.6,38,"Male","French"
NA,NA,46,"Male","French"
14.11,17,30,"Female","English"
16.96,0,42,"Female","English"
6.7,17,24,"Female","English"
NA,10,61,"Female","English"
7.39,15.5,20,"Female","Other"
NA,11,63,"Male","English"
10.85,15,32,"Female","English"
3.31,9,34,"Female","Other"
NA,10,16,"Female","French"
28.8,12,59,"Male","English"
NA,13,46,"Male","English"
NA,10,17,"Male","English"
NA,13,66,"Female","English"
NA,11,16,"Male","English"
NA,8,64,"Male","English"
NA,3,72,"Female","Other"
NA,12,49,"Male","Other"
13.96,13.5,27,"Male","English"
10,14,26,"Male","English"
21.5,16,49,"Female","English"
NA,11,29,"Female","English"
NA,15,25,"Female","English"
12.81,12,54,"Female","English"
19.2,13,39,"Female","English"
NA,11.5,33,"Female","English"
NA,15,60,"Male","English"
17.76,15,27,"Male","English"
14.4,9,55,"Female","English"
NA,9,70,"Male","French"
40,14,38,"Female","English"
NA,NA,84,"Male","English"
10.87,8,51,"Female","English"
NA,12,64,"Female","English"
NA,17,75,"Female","English"
6.7,12,17,"Male","English"
NA,8,77,"Male","English"
NA,12,59,"Female","Other"
NA,14,30,"Male","English"
6.91,11,48,"Female","English"
NA,15,33,"Female","English"
NA,12,18,"Female","English"
NA,9,60,"Male","French"
15.72,16,43,"Female","English"
25.67,13.5,30,"Male","Other"
29.33,18,40,"Female","English"
20,12.3,42,"Female","French"
22.98,14,29,"Male","English"
10,15,40,"Female","English"
NA,8.8,53,"Female","English"
11,12,36,"Male","English"
8.09,14,22,"Female","Other"
8.5,17.1,27,"Male","English"
NA,12,59,"Female","English"
19.75,19,33,"Male","English"
27.27,14.8,40,"Male",NA
11,12,56,"Female","French"
12.6,13,38,"Female","French"
25.98,15,47,"Female","English"
4.03,13.6,30,"Female","English"
NA,9,49,"Male","English"
NA,14,33,"Female","English"
18,14,31,"Male","French"
NA,13,32,"Male","English"
16.95,18,29,"Female","English"
NA,13.4,31,"Female","French"
NA,13.9,39,"Female","English"
8,8,30,"Male","Other"
NA,19,51,"Male","English"
NA,12,64,"Female","English"
NA,8,59,"Female","English"
NA,11.8,19,"Female","Other"
NA,6,63,"Female","Other"
NA,4,67,"Male","English"
NA,12,47,"Female","English"
3.19,13,18,"Female","English"
NA,13,28,"Female","English"
6.7,13,18,"Female","English"
NA,14,34,"Female","English"
15.87,15,30,"Female","English"
19.61,16.1,30,"Female","English"
11.67,10,55,"Female","Other"
6.8,11,17,"Female","English"
13.5,12.8,24,"Male","English"
NA,18,49,"Male","English"
7.95,12.5,33,"Female","English"
NA,4,69,"Female","Other"
6.7,13,19,"Female","English"
NA,13,60,"Male","English"
NA,14,52,"Male","English"
13.53,14,33,"Male","English"
20.63,NA,28,"Female","English"
NA,NA,31,"Female","English"
NA,8,65,"Male","English"
8.16,13,18,"Male","English"
28.8,16,33,"Male","English"
NA,13,64,"Female","English"
26.4,11,38,"Male","English"
25.93,15,42,"Female","English"
NA,14,53,"Male","English"
NA,18.4,50,"Female","Other"
13.44,12,64,"Female","English"
NA,12,37,"Male","English"
19.26,13.6,39,"Male","English"
6.75,11,19,"Male",NA
8.5,8,53,"Male","Other"
NA,9,68,"Male","Other"
9,8,43,"Male","English"
12,12,21,"Female","English"
11.25,11.5,30,"Male","English"
6,13,17,"Female","Other"
NA,16,44,"Female","Other"
8.89,10,62,"Male","English"
26.4,17,39,"Male","English"
11.96,10.5,48,"Female","Other"
25.6,16,40,"Male","English"
NA,10,76,"Female","English"
23.04,15.5,56,"Female","English"
NA,10,16,"Female","English"
7.5,12.5,39,"Female","English"
NA,8,81,"Female","English"
22.2,12,48,"Female","Other"
6.85,11,18,"Male","English"
7.75,13,37,"Male","English"
12,13,22,"Male","English"
NA,14,28,"Male","English"
6.85,13,32,"Female","English"
NA,13,23,"Male","English"
22.5,15.4,62,"Female","English"
NA,12,36,"Male","English"
18.67,NA,53,"Male","English"
NA,10,35,"Male","English"
30.24,19,43,"Female","English"
7,NA,17,"Male",NA
NA,11,56,"Female","English"
NA,13,33,"Female",NA
13.02,13,37,"Female","Other"
NA,13,20,"Female","English"
26.48,15,33,"Male","English"
11.52,12,46,"Male","Other"
NA,NA,34,"Female","English"
NA,10,64,"Female","French"
17.76,12,42,"Female","French"
15.32,7,62,"Male","English"
6.49,18.3,24,"Female","English"
NA,17.1,63,"Female","English"
NA,18,48,"Male","Other"
6.46,15.3,28,"Female","English"
11,12,26,"Female","English"
NA,8,76,"Male","English"
7,12.5,34,"Female","English"
16.8,15,40,"Male","English"
21,16.5,47,"Female","English"
13,12,29,"Female","English"
NA,8,73,"Male","English"
26.35,14,36,"Female","English"
NA,12,35,"Female","English"
13.38,12,45,"Female","English"
15,19,40,"Female","English"
NA,8,62,"Female","English"
14.8,15,42,"Male","English"
27.03,14,32,"Male","French"
NA,10,62,"Female","English"
NA,15,64,"Female","English"
NA,9,52,"Male","Other"
NA,10,17,"Male","English"
NA,12,46,"Male","Other"
NA,16,27,"Male","English"
14.09,13,31,"Male","English"
NA,11,39,"Male","English"
NA,8,68,"Female","Other"
NA,9,69,"Female","English"
NA,12,49,"Male","English"
20.48,NA,43,"Female","Other"
NA,4,62,"Female","Other"
NA,8,39,"Female","English"
NA,13.5,73,"Female","English"
NA,13.5,58,"Female","English"
11.43,9,19,"Female","English"
NA,14,63,"Female","French"
4.03,10.4,17,"Female","English"
NA,12,17,"Female","English"
NA,12,76,"Male","English"
NA,9,19,"Female","English"
12,11,24,"Male","English"
9.6,9,52,"Female","Other"
18.65,12,28,"Male","Other"
14,NA,21,"Female","English"
NA,8,65,"Male","French"
32.16,18,40,"Male","English"
8.05,12,41,"Female","English"
8,10.4,34,"Male","English"
NA,8,74,"Female","English"
10,12,19,"Male","English"
7.45,14,35,"Female","English"
NA,8,65,"Female","French"
25.81,12,37,"Male","English"
29.98,17,44,"Female","English"
NA,13.1,19,"Male","English"
NA,10,65,"Male","English"
38,13,34,"Male","English"
NA,13,35,"Female","English"
NA,15,64,"Male","English"
NA,17,44,"Male","English"
12.6,12,40,"Female","English"
11.46,NA,36,"Male",NA
16.46,10.5,44,"Female","English"
NA,11,61,"Male","Other"
20.64,18,50,"Male","English"
41.14,18,46,"Female","English"
NA,8,73,"Female","English"
NA,10.3,32,"Female","French"
10.21,14,21,"Female","Other"
9.25,8,55,"Female","Other"
NA,8,64,"Male","Other"
NA,17.1,23,"Male","English"
17.81,14.5,42,"Female","Other"
NA,14,61,"Female","English"
16,13,34,"Male","English"
17.28,15,36,"Male","English"
8.5,9,62,"Female","English"
11.35,12.2,48,"Female","Other"
18.24,13.4,29,"Female","English"
24.84,15.3,33,"Male","English"
6.87,6,55,"Female","Other"
18.07,15.6,27,"Male","French"
NA,10,67,"Male","English"
NA,7,65,"Male","English"
10.2,12.5,28,"Female","English"
14.28,12,39,"Male","English"
10.29,13.6,18,"Female","English"
15.57,12,39,"Female","English"
7.64,11,31,"Male","English"
24.69,13,54,"Male","English"
NA,14.9,21,"Female","English"
14.98,16,53,"Male","English"
8,11.5,46,"Female","English"
NA,17,24,"Male","English"
33.6,16,36,"Male","English"
8.74,12,23,"Male","English"
NA,11,47,"Male","French"
NA,8,77,"Male","English"
26.85,12,31,"Female","French"
42.93,20,64,"Male","Other"
NA,10,67,"Male","Other"
NA,14,70,"Female","English"
NA,20,47,"Female","English"
NA,15.5,65,"Female","English"
31.2,20,57,"Male","English"
25.34,16,29,"Male","English"
NA,11,73,"Male","Other"
NA,18,35,"Male","English"
16.67,18.4,39,"Male","English"
19.2,16,51,"Male","English"
20.48,17,27,"Female","English"
NA,0,59,"Male","Other"
9.17,9.5,63,"Male","English"
5.84,14,40,"Female","Other"
NA,7,74,"Female","English"
NA,10,78,"Female","English"
NA,20,54,"Male","English"
7,11,32,"Male","Other"
NA,10,53,"Female","Other"
NA,18,34,"Male","English"
NA,10,76,"Male","English"
7,9,33,"Female","English"
NA,19.3,64,"Male","English"
NA,10.5,50,"Female","English"
10.34,13.3,41,"Female","English"
NA,0,85,"Female","Other"
NA,18,95,"Male","English"
16.72,14,36,"Female","English"
NA,7,58,"Male","French"
9.6,11,41,"Male","English"
NA,12.7,23,"Male","English"
12,10,48,"Female","Other"
NA,14,28,"Female","English"
15.6,14,27,"Male","English"
24.76,15,64,"Female","English"
20.88,19,35,"Male","Other"
6.7,8,30,"Female","English"
44.28,15,59,"Male","Other"
22.08,11,54,"Male","English"
NA,8,66,"Male","English"
18.52,14,25,"Male","English"
16.78,14.1,35,"Male","English"
17,12,48,"Female","English"
NA,13,53,"Female","English"
NA,2,68,"Female","English"
NA,NA,58,"Male","English"
20.16,20,56,"Male","English"
NA,10,48,"Male","English"
NA,12,50,"Male","Other"
NA,16,35,"Female","English"
NA,20,83,"Male","English"
NA,8,59,"Male","French"
NA,10,64,"Female","English"
NA,10,16,"Male","English"
28.53,16,41,"Male","English"
6.85,10,16,"Female","English"
NA,13,72,"Female","English"
15.84,13,64,"Male","English"
NA,11,17,"Female","English"
NA,12,63,"Female","English"
NA,14,33,"Male","English"
NA,17.1,56,"Female","Other"
NA,4.5,58,"Male","English"
6.98,12.8,19,"Female","English"
21.25,12,42,"Male","Other"
NA,NA,33,"Female","English"
NA,18,39,"Female","English"
7.19,11.6,19,"Female","Other"
15.93,9.2,34,"Female","Other"
34.56,17,46,"Male","English"
NA,NA,66,"Male","Other"
13.44,12,39,"Female","Other"
8.09,8,41,"Female","French"
24.14,10.5,49,"Male","English"
NA,4,81,"Female","English"
21.38,10,58,"Male","English"
13.19,10,43,"Female","English"
23.04,11,39,"Female","English"
19.2,12,50,"Female","English"
19.2,18,35,"Female","English"
14.83,10,51,"Male","English"
NA,11,62,"Male","Other"
25.95,15,37,"Female","English"
18.57,13.5,31,"Male","English"
NA,12,18,"Female","French"
12.8,11.5,58,"Female","English"
18.43,20,30,"Female","Other"
15.52,17,25,"Male","English"
NA,11.5,65,"Male","English"
21.6,10,40,"Male","French"
9.2,18,27,"Female","English"
NA,8,51,"Female","Other"
NA,12.5,75,"Male","English"
8.7,19,25,"Female","English"
15.36,12,41,"Female","English"
10,16,23,"Male","English"
NA,9,45,"Female","English"
NA,14,37,"Female","English"
9,12,32,"Male","English"
7.97,10.3,29,"Male","English"
12.13,12.5,31,"Male","English"
7.06,15.5,23,"Male","English"
NA,12.5,39,"Female","English"
26.62,17.3,40,"Male","English"
NA,10,70,"Male","Other"
NA,12,37,"Female","English"
NA,14,55,"Male","Other"
NA,8,69,"Female","English"
NA,3,67,"Male","Other"
NA,5,74,"Male","English"
NA,13.6,37,"Male","English"
NA,8,55,"Female","English"
NA,13,19,"Male","English"
NA,10,52,"Male","English"
20.77,13,53,"Female","English"
20.16,12.5,30,"Male","English"
14.4,11,62,"Male","English"
NA,12,25,"Female","English"
6.72,10,18,"Male","English"
16.46,9.5,35,"Male","French"
NA,11,17,"Male","English"
NA,8,62,"Female","French"
NA,9,67,"Female","French"
NA,11.5,20,"Female","English"
10,15.2,25,"Female","English"
27.36,16,36,"Male","English"
15.84,13,61,"Female","English"
7.24,19,28,"Female","English"
10,12,22,"Female","English"
11.36,9,32,"Male","English"
7.5,12,21,"Male","English"
NA,15.5,75,"Male","English"
9.32,12.5,23,"Female","English"
34.56,19.2,51,"Female","English"
6.5,11.3,19,"Male","English"
6.75,15.3,24,"Male","English"
NA,8,59,"Male","English"
10.5,12,40,"Female","English"
13.44,9.5,38,"Female","English"
14.7,12.5,34,"Male","English"
NA,10.3,43,"Male","English"
17.01,13.6,32,"Female","French"
NA,13,25,"Female","English"
NA,12,77,"Male","English"
NA,8,59,"Male","Other"
NA,12,40,"Male","French"
30.46,11,57,"Male","English"
17,12,31,"Female","English"
49.92,20,41,"Female","English"
14,10.2,53,"Male","English"
45.38,18,36,"Male","English"
NA,8,64,"Female","English"
NA,3,62,"Female","Other"
NA,10,16,"Female","English"
16.96,19,28,"Female","English"
6.85,9.5,22,"Female","English"
NA,18,42,"Female","English"
NA,NA,55,"Female",NA
10.71,10,52,"Male","English"
11.54,NA,40,"Female","French"
NA,10,16,"Female","English"
NA,18,82,"Female","Other"
NA,12,67,"Male","English"
10,14.1,37,"Female","French"
10,10,30,"Female","English"
19.93,15,48,"Male","Other"
27.84,18,50,"Female","English"
NA,12,29,"Male","English"
10,14,43,"Female",NA
21.84,17,44,"Female","English"
27.14,17.2,28,"Male","Other"
NA,12,30,"Female","Other"
5.8,14,35,"Female","English"
NA,11,62,"Female","Other"
7,12,30,"Female","English"
15.36,12,39,"Female","English"
6.63,13.5,22,"Female","English"
15.3,11,56,"Male","English"
NA,13,62,"Male","Other"
4.88,12.6,20,"Male","English"
NA,18,22,"Male","English"
6.7,11,18,"Female","English"
NA,12.5,35,"Female","English"
NA,7,67,"Female","English"
22.22,9,23,"Male","English"
8,12,30,"Male",NA
NA,12,39,"Male","English"
NA,7,70,"Female","English"
6.4,10.8,18,"Female","English"
21.53,10.5,38,"Male","English"
16.32,10,58,"Female","English"
NA,12,43,"Male","Other"
NA,13.5,19,"Female","English"
NA,10,45,"Male","English"
14.4,14.3,30,"Female","English"
20.68,10,48,"Male","English"
14,12,23,"Male","English"
12.1,14,36,"Female","English"
15.51,11.3,32,"Male","English"
16.86,13.6,32,"Male","English"
NA,13,73,"Female","English"
23.04,15,33,"Female","English"
NA,0,19,"Female","English"
NA,11.2,20,"Male","French"
NA,12.1,38,"Female","French"
14,17.5,25,"Male","English"
13.07,11,51,"Female","Other"
NA,17,69,"Male","English"
NA,20,74,"Male","English"
16,13,37,"Female","Other"
6.79,12,35,"Female","English"
NA,12,82,"Female","English"
9,13.5,28,"Female","English"
9,10,38,"Female","English"
NA,11,30,"Female","English"
NA,NA,16,"Male",NA
NA,3,66,"Female","English"
NA,12,69,"Female","English"
20,13,57,"Male","English"
NA,12,47,"Female","English"
16,13.5,22,"Male","English"
27.31,17,44,"Male","English"
NA,6,86,"Female","English"
29.18,16,57,"Female","English"
6.9,10,60,"Male","English"
NA,12,32,"Male","English"
NA,10,41,"Female","English"
NA,14.1,35,"Male","English"
14.63,14,23,"Female","Other"
15.78,13.6,37,"Female","English"
24.96,16,37,"Male","English"
NA,8,63,"Female","Other"
21.06,15,59,"Female","English"
5.97,11.3,34,"Female","French"
25.72,8,57,"Male","Other"
18.41,16,28,"Male","English"
7,15.8,21,"Female","English"
NA,8,77,"Female","English"
15.79,19,38,"Male","Other"
10,8,54,"Female","English"
9.19,12,18,"Male","English"
19.2,12.6,33,"Male","English"
NA,12,29,"Female","English"
NA,8,85,"Female","English"
NA,12,30,"Female","English"
26.72,16,49,"Female","French"
10.26,13,31,"Female","English"
14.81,15,29,"Male","English"
7.5,12,38,"Female","English"
NA,11,81,"Female","English"
8.5,19,31,"Female","English"
16.5,12,37,"Male","English"
12.49,11,25,"Female","French"
10.47,11,29,"Male","French"
NA,17.8,38,"Male","English"
12,13,39,"Female","Other"
10,10,58,"Female","English"
NA,9,50,"Female","English"
25.26,15.5,48,"Female","English"
30,11,52,"Female","English"
NA,NA,38,"Female","Other"
12,12,34,"Female","English"
NA,16,64,"Male","English"
NA,12,19,"Female","English"
6.75,13,56,"Female","English"
NA,10,61,"Male","English"
8.99,10,18,"Female","English"
NA,NA,21,"Female","English"
NA,12,70,"Male","English"
NA,17,74,"Male","English"
NA,11.5,64,"Female","English"
NA,10,16,"Male","English"
NA,10,63,"Female","English"
NA,10,77,"Male","English"
3.41,16,22,"Female","English"
9.25,11,37,"Male","English"
NA,18,64,"Male","English"
NA,14.6,58,"Male","English"
NA,17.5,27,"Female","Other"
NA,11.8,49,"Female","English"
17.49,16,37,"Male","English"
