"intnum","persnum","age","educatn","earnings","hours","kids","married"
1109,3,38,12,41000,2500,0,"married"
1109,174,31,12,3400,310,1,"married"
1111,170,34,13,52921,2500,0,"married"
1115,3,40,99,0,0,1,"never married"
1115,173,43,99,14000,2150,0,"divorced"
1121,2,45,12,30000,2459,2,"divorced"
1121,174,30,13,2500,650,3,"married"
1125,172,32,12,13000,141,4,"married"
1126,2,45,12,22000,1880,5,"married"
1130,2,44,12,28800,1885,3,"divorced"
1131,2,44,13,0,0,0,"married"
1131,171,42,12,50000,1709,2,"married"
1141,3,32,10,47500,2205,2,"married"
1142,3,30,17,5000,807,2,"married"
1144,3,44,12,20237,1952,3,"married"
1144,170,37,12,15000,1988,2,"married"
1149,5,32,12,17000,2090,0,"married"
1149,170,37,12,24000,1900,1,"married"
1151,6,39,17,0,0,2,"married"
1151,21,43,14,14619,1092,4,"married"
1151,173,33,16,5000,160,2,"married"
1152,22,45,12,12000,2006,2,"married"
1152,23,46,15,18000,2080,3,"married"
1152,170,46,12,43000,1880,3,"married"
1152,178,41,99,70000,3750,0,"married"
1154,1,46,99,20000,1837,1,"divorced"
1155,4,33,12,23700,1929,2,"divorced"
1162,3,38,14,17000,1509,3,"married"
1163,4,42,17,33000,1665,2,"married"
1163,171,39,14,14000,1709,3,"married"
1163,172,44,16,30000,1755,3,"married"
1163,173,38,16,30000,1620,3,"married"
1163,174,33,16,24124,1097,2,"married"
1164,173,34,12,7200,1200,2,"married"
1164,174,31,12,0,0,2,"married"
1166,7,37,12,12000,1693,3,"married"
1166,8,33,12,0,0,0,"widowed"
1166,174,41,12,15400,1930,4,"married"
1166,180,35,12,8000,2040,2,"married"
1167,3,42,8,0,0,7,"married"
1168,3,48,3,0,0,98,"never married"
1168,6,32,12,12000,1960,3,"married"
1169,3,33,14,0,0,0,"married"
1173,3,44,12,22000,2000,1,"divorced"
1175,2,46,12,19000,2579,2,"divorced"
1178,4,37,12,10000,1322,0,"married"
1178,171,44,16,5000,225,2,"married"
1179,3,45,14,32069,2276,1,"divorced"
1179,170,41,14,35000,2080,2,"married"
1184,4,46,16,35000,1573,2,"married"
1184,21,49,0,0,0,99,"no histories"
1184,170,45,15,33000,1960,4,"separated"
1184,171,37,15,17000,797,2,"married"
1184,172,41,12,16000,1830,3,"divorced"
1184,174,41,99,6166,1234,2,"divorced"
1184,175,33,12,0,0,2,"married"
1185,3,31,99,35000,347,1,"married"
1191,3,37,12,28000,1920,1,"married"
1192,3,35,12,18000,1416,2,"married"
1192,4,34,12,9000,1533,2,"married"
1192,5,33,12,21000,1960,2,"married"
1200,3,42,12,26000,2020,1,"married"
1200,4,39,12,30000,1800,0,"married"
1200,6,33,13,31200,2196,1,"married"
1200,171,42,12,24000,2020,2,"married"
1203,2,41,14,6000,1500,3,"separated"
1205,170,44,16,10000,720,2,"married"
1206,3,40,12,0,0,2,"divorced"
1213,3,34,14,17000,208,0,"never married"
1213,4,32,16,56000,1369,1,"never married"
1220,2,50,17,28000,1710,2,"married"
1220,171,31,12,9000,1580,3,"married"
1221,170,35,14,0,0,2,"married"
1221,171,33,13,17000,2208,3,"married"
1221,172,30,16,4000,173,1,"married"
1222,4,31,12,0,0,2,"married"
1222,5,30,12,8000,2600,2,"married"
1222,179,30,12,4000,1613,2,"married"
1225,170,44,16,32000,2010,2,"married"
1227,173,30,16,10000,507,0,"never married"
1227,180,37,12,45000,2352,2,"married"
1227,189,42,0,0,0,3,"divorced"
1229,1,48,16,0,0,3,"married"
1233,4,37,12,13500,1718,3,"married"
1234,171,41,9,15750,2080,2,"divorced"
1236,170,37,16,20846,2330,2,"divorced"
1236,172,30,13,7000,1805,0,"married"
1241,2,43,12,10000,2100,5,"married"
1242,6,30,15,0,0,1,"married"
1242,171,38,16,550,104,3,"married"
1242,176,33,16,21360,1029,2,"married"
1242,177,31,16,0,0,2,"married"
1249,2,44,17,38000,4821,1,"divorced"
1249,173,49,12,24000,1111,1,"married"
1254,170,35,12,39500,1974,2,"married"
1255,2,45,14,35500,1976,2,"divorced"
1256,21,43,13,9047,1440,1,"divorced"
1258,3,34,16,380,98,2,"married"
1258,172,37,99,5500,385,2,"divorced"
1260,3,42,12,19136,993,0,"never married"
1260,176,32,12,0,0,0,"never married"
1260,177,34,12,36000,1560,0,"never married"
1260,180,32,14,36000,1500,0,"never married"
1266,2,31,12,16000,1960,2,"married"
1267,170,44,13,0,0,2,"married"
1269,170,36,13,25500,1927,3,"married"
1269,171,30,12,12000,1992,1,"divorced"
1270,2,44,12,15000,1840,2,"married"
1270,171,45,13,19300,1847,2,"married"
1271,170,46,16,32000,1481,2,"married"
1274,3,45,17,28612,1365,4,"married"
1275,3,43,17,32000,1798,0,"married"
1275,171,35,16,1700,80,3,"married"
1275,175,41,17,50000,913,0,"married"
1281,170,44,17,45000,1449,2,"married"
1281,172,38,17,31718,1528,2,"married"
1281,173,42,14,0,0,2,"married"
1282,4,43,17,40000,1204,3,"married"
1282,5,37,14,24605,1750,2,"divorced"
1282,172,44,17,11500,1020,2,"married"
1285,4,37,17,37500,460,2,"married"
1285,5,34,17,25000,1000,2,"married"
1286,3,38,13,15840,771,2,"married"
1286,4,35,15,8000,645,2,"married"
1288,3,40,17,25000,1954,2,"married"
1290,3,42,14,5000,764,2,"married"
1290,174,33,13,1200,1960,2,"married"
1292,2,48,12,18155,1960,3,"married"
1298,4,34,17,187500,2940,2,"married"
1298,5,31,16,20000,1728,2,"married"
1300,2,40,12,22500,1694,3,"married"
1300,3,36,12,24000,1960,1,"divorced"
1302,4,39,16,23000,1674,3,"married"
1302,21,44,17,37000,2016,2,"divorced"
1303,170,37,16,20000,906,4,"married"
1303,173,34,16,40000,1907,3,"married"
1303,174,37,16,37200,2242,0,"married"
1309,3,38,12,7500,2040,2,"married"
1312,3,38,12,25000,1907,0,"married"
1312,171,34,13,17000,1960,1,"married"
1314,170,41,13,30121,2250,0,"married"
1315,3,34,12,22222,2002,0,"married"
1315,4,31,12,0,0,3,"married"
1328,3,42,13,14000,2056,0,"never married"
1328,173,48,13,7000,1022,3,"married"
1332,2,49,12,29000,1928,3,"married"
1335,4,40,11,15000,2024,3,"married"
1335,5,39,13,10000,2720,3,"married"
1335,171,37,12,10000,1810,2,"married"
1335,173,33,10,19575,2480,3,"married"
1335,174,33,12,6500,1442,3,"married"
1335,175,31,12,11235,1785,3,"married"
1335,176,33,12,48,108,3,"married"
1336,7,30,14,18000,1331,1,"married"
1342,170,36,13,3000,500,2,"married"
1345,4,35,12,9000,1307,3,"married"
1345,6,31,12,18215,1583,1,"divorced"
1351,174,31,14,31000,2205,2,"married"
1351,177,40,0,0,0,98,"married"
1353,3,42,16,43000,1898,2,"married"
1353,4,37,14,0,0,2,"married"
1355,3,40,15,0,0,2,"married"
1355,4,39,99,26000,1378,0,"divorced"
1355,5,36,14,0,0,1,"separated"
1358,2,47,5,0,0,2,"married"
1358,4,30,99,16050,1976,1,"married"
1376,170,39,12,26000,2255,3,"married"
1377,4,43,17,31600,1656,3,"married"
1377,170,46,17,0,0,1,"married"
1384,2,45,17,37730,1800,1,"married"
1387,170,43,16,0,0,3,"married"
1391,2,45,14,18000,2400,2,"divorced"
1391,170,43,13,8000,867,2,"divorced"
1394,2,40,9,14450,1912,3,"married"
1394,170,41,12,21600,2000,2,"married"
1397,171,35,12,2500,2470,3,"married"
1397,172,30,16,0,0,3,"married"
1399,5,35,16,35000,2010,0,"married"
1399,6,34,12,25000,2050,1,"never married"
1399,7,34,12,7867,880,5,"married"
1399,8,30,11,8000,1300,2,"married"
1399,172,38,13,0,0,1,"married"
1399,175,35,16,36000,1370,2,"married"
1401,170,44,12,4930,459,1,"divorced"
1406,3,40,12,17000,1990,2,"divorced"
1406,171,45,12,14000,1750,2,"divorced"
1407,2,46,10,14564,1500,2,"married"
1407,170,31,12,0,0,1,"married"
1411,4,40,99,2000,693,4,"never married"
1411,6,37,15,29000,1715,2,"married"
1411,7,35,12,26000,1825,3,"never married"
1411,10,31,14,22000,1697,1,"married"
1414,3,40,12,20100,1990,1,"never married"
1415,3,33,12,1300,440,2,"married"
1415,4,30,12,14500,1664,2,"married"
1419,170,42,13,300,50,1,"married"
1419,171,44,17,0,0,2,"married"
1419,172,35,12,4000,884,3,"married"
1425,170,45,12,2300,350,0,"married"
1426,2,30,13,8990,1512,6,"married"
1428,4,35,17,47000,1786,1,"married"
1430,4,34,16,20000,1229,0,"married"
1431,2,50,10,12100,1445,2,"divorced"
1431,170,33,14,0,0,1,"married"
1434,2,48,16,1200,960,5,"married"
1435,3,41,17,42000,1848,0,"never married"
1437,4,32,16,40000,1920,0,"never married"
1438,3,34,14,5700,1152,3,"divorced"
1438,21,43,16,27950,1741,4,"married"
1445,171,36,12,3000,339,3,"married"
1445,173,34,16,6700,1020,3,"married"
1446,3,41,12,23500,2486,1,"divorced"
1446,170,48,15,29300,2020,0,"married"
1454,170,45,17,13500,867,3,"married"
1458,3,47,16,27500,1600,0,"married"
1459,3,44,13,26354,1960,2,"divorced"
1460,8,30,0,0,0,1,"separated"
1460,176,43,11,49000,1820,3,"married"
1468,5,33,12,12000,1880,3,"married"
1468,6,30,12,25000,1806,1,"married"
1468,172,34,12,13500,1944,2,"married"
1471,3,41,16,31000,1711,0,"never married"
1473,170,39,13,3500,750,3,"married"
1475,2,50,12,11000,2450,2,"married"
1476,2,49,14,26000,2000,1,"married"
1476,170,42,15,0,0,1,"married"
1480,170,39,9,11875,940,2,"widowed"
1480,176,43,12,16667,1870,0,"never married"
1485,2,48,12,3500,89,3,"married"
1485,3,30,12,9000,105,3,"married"
1494,2,45,13,12000,2000,3,"married"
1494,177,50,12,12000,2277,3,"married"
1496,170,47,13,19000,1760,2,"married"
1498,2,45,10,0,0,5,"married"
1501,2,44,12,0,0,2,"married"
1505,4,40,16,32952,1850,1,"married"
1505,5,36,12,24200,1880,0,"married"
1513,3,47,17,23000,1365,1,"married"
1513,4,44,17,5000,425,2,"married"
1513,5,42,17,0,0,0,"married"
1515,2,47,12,0,0,3,"married"
1516,170,30,16,25000,1885,1,"married"
1520,1,45,12,10000,1778,2,"married"
1521,2,40,16,3000,440,0,"married"
1522,6,40,16,29000,1960,0,"married"
1522,8,36,16,2800,331,3,"married"
1522,10,32,16,0,0,3,"married"
1522,170,42,16,50000,2380,2,"married"
1522,171,47,17,71000,2196,1,"married"
1522,172,35,14,30000,1940,2,"married"
1522,175,31,16,72000,3000,3,"married"
1523,171,37,16,36472,1757,2,"married"
1523,172,39,12,26000,2040,0,"married"
1525,3,41,16,32000,1440,2,"married"
1529,2,45,12,44200,2024,1,"married"
1533,3,41,16,52000,2400,1,"married"
1538,2,38,17,20500,1840,0,"never married"
1541,3,41,14,18000,2247,1,"married"
1541,5,38,12,20000,1844,3,"married"
1541,6,34,15,50000,2750,0,"married"
1541,171,39,12,9000,1984,5,"married"
1542,4,33,13,60000,2160,1,"divorced"
1542,5,33,14,30000,1957,3,"married"
1542,6,31,99,22500,2469,2,"divorced"
1542,176,34,16,35000,2228,2,"married"
1547,3,33,14,7000,440,2,"married"
1551,2,44,12,20195,2080,2,"married"
1565,2,44,16,30000,1520,3,"separated"
1566,170,35,16,0,0,2,"married"
1567,3,41,12,22000,2040,1,"married"
1567,171,44,12,20978,1140,2,"married"
1568,173,39,12,6000,103,4,"married"
1570,5,35,12,16000,2040,1,"never married"
1570,171,37,12,19000,1960,2,"married"
1571,4,42,12,0,0,2,"separated"
1571,5,42,12,5000,1213,3,"married"
1571,172,40,12,21000,3238,3,"married"
1572,4,32,11,0,0,4,"separated"
1572,5,31,11,0,0,3,"married"
1577,170,46,12,7800,1435,3,"married"
1577,171,43,12,21000,2473,2,"divorced"
1579,2,44,16,26000,2060,5,"married"
1579,3,41,17,17000,2056,2,"divorced"
1579,6,37,17,30000,1907,3,"married"
1579,173,38,16,1661,80,2,"married"
1579,174,43,16,15000,1242,2,"married"
1583,3,41,12,0,0,2,"separated"
1588,3,40,16,0,0,1,"married"
1588,4,36,16,14525,1815,0,"never married"
1591,7,36,15,48000,1960,0,"never married"
1591,170,39,12,1000,160,2,"married"
1591,171,40,13,0,0,3,"married"
1591,172,35,17,12000,545,2,"married"
1599,4,35,16,48875,2210,0,"never married"
1599,170,35,16,16606,800,2,"married"
1605,170,45,12,1000,148,2,"married"
1608,172,42,14,15200,2358,1,"married"
1611,3,38,12,35000,2044,1,"married"
1611,5,31,12,1000,1498,1,"married"
1613,5,38,15,69000,2100,2,"separated"
1613,7,32,12,0,0,2,"married"
1613,170,40,12,20000,1960,4,"married"
1613,172,35,13,20939,1944,2,"married"
1620,1,49,17,43000,2071,0,"married"
1621,2,47,12,24000,1880,1,"married"
1624,3,37,14,21500,1928,2,"married"
1624,173,42,16,35000,2868,3,"divorced"
1624,174,46,12,0,0,5,"married"
1627,2,48,15,31000,2064,2,"divorced"
1627,171,46,12,28000,2350,1,"married"
1628,3,32,12,12700,2008,2,"married"
1628,4,30,99,0,0,1,"married"
1630,4,36,17,0,0,2,"married"
1630,170,32,16,0,0,3,"married"
1630,172,42,17,33538,1600,0,"married"
1632,170,45,16,32722,1084,3,"divorced"
1633,4,43,11,19030,1960,2,"married"
1634,170,41,16,42000,1384,2,"married"
1634,171,34,16,26000,3000,0,"married"
1635,170,41,12,21910,2040,1,"married"
1644,4,33,15,9500,747,1,"married"
1645,2,49,17,25200,1230,3,"married"
1648,2,47,10,0,0,3,"married"
1652,3,41,12,6500,700,2,"married"
1652,4,42,14,14000,2260,3,"separated"
1654,3,38,16,72000,2390,0,"married"
1654,5,34,14,102000,3388,0,"married"
1654,170,34,16,17340,1960,2,"married"
1655,3,45,12,7000,1500,98,"married"
1655,4,40,12,10000,1960,2,"widowed"
1657,2,46,12,39000,2055,2,"divorced"
1658,2,47,12,19500,2130,2,"divorced"
1659,3,40,17,51000,2250,0,"married"
1659,170,40,17,18846,1743,0,"married"
1663,3,40,17,15444,744,3,"married"
1663,4,38,16,6000,720,2,"married"
1663,5,35,14,7250,923,5,"married"
1663,6,33,16,30000,1660,0,"never married"
1663,7,31,17,48000,2320,1,"married"
1668,3,38,14,18534,1920,0,"never married"
1670,3,35,12,8000,1715,1,"separated"
1670,4,34,12,8890,1932,2,"married"
1670,7,30,12,0,0,2,"married"
1679,4,30,13,17000,2142,1,"never married"
1682,3,44,12,0,0,2,"married"
1682,4,36,12,17000,1952,1,"married"
1682,170,35,16,34000,2036,0,"married"
1683,172,31,12,10400,2080,0,"never married"
1684,5,37,13,10000,1454,3,"married"
1684,6,31,12,10000,2000,3,"married"
1684,170,32,11,0,0,2,"married"
1684,174,38,12,28000,2400,1,"married"
1684,177,32,14,0,0,0,"married"
1689,3,42,13,24421,2940,2,"married"
1690,2,46,12,0,0,4,"married"
1692,2,49,9,0,0,3,"married"
1692,171,35,11,0,0,3,"married"
1695,4,44,12,4000,1062,3,"married"
1695,6,41,12,15000,1936,1,"married"
1695,7,40,10,2200,860,3,"married"
1695,10,33,12,14400,2133,3,"divorced"
1695,11,31,12,0,0,1,"married"
1695,174,40,10,19000,2376,2,"married"
1695,181,40,14,7000,1530,3,"married"
1695,200,39,99,0,0,1,"separated"
1697,5,37,6,4848,1115,2,"married"
1697,6,32,12,19600,197,3,"married"
1697,170,40,12,18000,2038,5,"divorced"
1697,173,35,12,12000,2060,3,"married"
1697,180,40,10,12494,258,4,"divorced"
1698,170,32,12,9000,637,2,"married"
1700,3,39,13,20750,2200,4,"separated"
1700,4,37,12,0,0,2,"married"
1700,5,34,12,17000,1930,3,"married"
1700,6,32,12,20098,2223,0,"never married"
1701,3,31,15,10000,1201,1,"never married"
1701,170,44,14,14000,323,1,"married"
1709,2,50,0,0,0,99,"no histories"
1709,176,33,12,12500,2448,2,"married"
1709,179,41,14,48000,2350,2,"married"
1711,2,43,10,8000,1568,2,"married"
1717,5,35,12,10000,1820,1,"married"
1720,3,35,14,14000,1158,2,"married"
1720,170,35,12,6500,167,3,"married"
1721,21,43,12,24000,2000,2,"divorced"
1722,4,41,10,15000,1733,4,"married"
1722,170,46,12,0,0,3,"divorced"
1722,177,45,12,0,0,2,"married"
1722,180,39,12,11818,1636,2,"divorced"
1722,181,42,16,24000,347,0,"married"
1723,2,49,12,22800,1930,4,"married"
1723,5,31,12,0,0,3,"married"
1723,173,41,12,22000,2190,3,"married"
1726,3,41,16,600,312,4,"married"
1730,3,38,16,12500,1020,0,"married"
1730,5,36,16,33000,1412,2,"married"
1731,2,49,12,10500,1437,3,"married"
1731,3,32,12,0,0,3,"married"
1731,4,30,12,0,0,4,"married"
1732,3,34,14,31383,1975,0,"never married"
1733,3,43,12,52000,2230,0,"never married"
1733,170,39,16,53000,2390,1,"married"
1733,173,47,14,15200,1620,3,"widowed"
1736,170,47,17,13080,624,2,"married"
1738,3,30,12,13084,1560,3,"married"
1739,170,48,17,49000,2133,2,"divorced"
1739,171,44,17,40000,1766,0,"married"
1740,170,38,12,2200,940,3,"married"
1744,2,50,12,30716,2860,2,"widowed"
1750,2,49,12,22872,1665,2,"divorced"
1750,174,44,14,20000,1600,4,"married"
1756,6,40,12,9800,1920,2,"married"
1756,7,38,13,15000,1680,2,"married"
1756,8,33,13,12050,2090,3,"divorced"
1756,9,30,12,7000,1330,3,"separated"
1756,173,40,12,14000,1960,4,"married"
1758,173,32,16,34000,2057,3,"married"
1762,3,42,10,15600,2460,3,"separated"
1762,4,40,8,0,0,2,"divorced"
1762,5,38,9,10000,1880,2,"married"
1762,6,34,12,0,0,4,"married"
1762,7,33,12,0,0,2,"married"
1762,180,31,99,0,0,0,"never married"
1763,3,45,13,11000,1247,4,"divorced"
1763,170,40,12,31000,1836,2,"married"
1767,4,40,13,0,0,2,"married"
1775,3,31,13,1260,260,3,"married"
1776,3,39,12,33000,1960,1,"married"
1776,173,31,12,7988,1012,2,"married"
1780,170,48,17,42000,2145,1,"married"
1782,2,46,15,16000,3184,3,"married"
1782,170,46,12,10000,1750,2,"married"
1783,2,47,17,30000,1350,1,"married"
1784,4,38,17,52000,2205,0,"never married"
1784,170,42,16,0,0,3,"married"
1786,3,46,9,7500,1600,3,"married"
1786,7,34,9,15000,2340,2,"married"
1786,8,33,8,9000,1785,3,"married"
1786,178,36,12,1200,1530,2,"separated"
1786,182,33,12,8000,1864,5,"married"
1786,188,36,12,10000,2236,2,"married"
1794,2,46,14,20000,1040,3,"married"
1795,5,33,12,18335,1920,2,"married"
1795,170,37,14,24000,2000,2,"married"
1797,170,32,16,23000,1544,3,"married"
1798,6,34,12,0,3100,0,"married"
1798,170,37,12,18000,2020,1,"married"
1798,171,43,12,800,332,3,"married"
1798,181,35,10,0,0,1,"married"
1799,6,31,12,11000,2080,3,"separated"
1802,170,30,11,17500,2142,4,"married"
1803,2,50,12,24713,2301,4,"divorced"
1803,3,31,12,0,0,2,"never married"
1803,176,30,15,17000,1310,1,"married"
1805,3,44,12,0,0,3,"separated"
1805,173,39,12,32000,2000,0,"married"
1805,174,45,15,24759,1016,3,"married"
1807,3,42,15,0,0,3,"married"
1807,170,38,12,4000,1098,4,"married"
1810,3,41,11,0,0,5,"separated"
1810,5,39,9,300,36,3,"married"
1813,3,36,12,0,0,2,"married"
1817,4,37,14,8200,1500,2,"married"
1821,5,33,14,42500,2050,2,"married"
1821,6,30,14,19100,2868,0,"never married"
1822,171,32,11,16000,2632,3,"married"
1823,4,37,16,0,0,1,"separated"
1823,170,41,10,7262,748,3,"married"
1823,171,49,0,0,0,98,"divorced"
1824,170,46,12,4500,1820,3,"married"
1830,2,44,8,0,0,4,"widowed"
1831,170,36,14,18000,1444,2,"married"
1835,4,45,15,20000,1809,0,"divorced"
1837,3,41,16,97000,3675,2,"married"
1837,4,39,14,51449,2064,2,"married"
1837,173,40,9,10000,1380,98,"divorced"
1839,2,45,11,5170,1301,3,"divorced"
1841,3,38,16,34000,2165,1,"married"
1841,5,43,16,21240,2400,3,"married"
1841,171,39,13,0,0,4,"married"
1843,6,30,13,16000,1600,2,"divorced"
1845,3,33,14,4000,889,2,"married"
1845,171,30,14,65000,2750,0,"married"
1850,3,38,12,20500,2000,2,"married"
1850,172,31,14,14400,1408,3,"married"
1854,4,43,17,38000,1663,0,"married"
1855,4,35,12,28000,1665,0,"married"
1855,173,37,13,14400,960,0,"never married"
1855,175,37,0,0,0,98,"divorced"
1859,170,41,17,50000,1947,2,"married"
1859,171,40,17,20000,953,2,"married"
1862,170,45,12,25000,1880,2,"married"
1866,170,43,16,11650,2921,2,"married"
1866,171,38,17,180,52,2,"divorced"
1867,3,44,17,2000,87,2,"married"
1867,172,39,15,6000,469,3,"married"
1873,171,38,14,20000,1267,0,"married"
1874,170,48,14,28000,2000,99,"no histories"
1878,2,44,14,48000,1880,3,"married"
1878,172,40,15,14000,1048,1,"married"
1879,2,50,17,24381,2420,2,"divorced"
1880,3,42,12,15000,1952,2,"married"
1887,5,34,12,18000,2160,3,"married"
1887,170,41,10,1200,537,2,"married"
1887,173,40,14,3000,669,3,"divorced"
1887,175,45,99,46000,1733,0,"divorced"
1892,4,43,14,3000,480,3,"married"
1892,5,37,12,10500,2028,3,"separated"
1893,5,35,13,9333,272,1,"married"
1893,172,33,12,19913,1794,2,"married"
1893,173,35,12,15800,1760,3,"married"
1894,3,42,14,24000,1764,2,"married"
1897,3,39,17,15640,2768,1,"married"
1901,173,40,12,10000,1560,1,"divorced"
1905,172,30,16,21000,2000,2,"married"
1905,174,37,17,25000,2430,1,"married"
1906,170,41,17,24500,1458,99,"no histories"
1906,171,41,16,26000,1638,1,"married"
1908,4,34,13,10000,1000,3,"married"
1909,173,31,14,0,0,2,"married"
1911,6,33,12,0,0,1,"married"
1911,170,39,12,6000,520,3,"married"
1911,175,37,17,2800,952,0,"married"
1913,3,44,12,33000,1851,0,"never married"
1914,3,32,12,500,579,2,"married"
1914,172,34,12,15000,2040,0,"married"
1915,5,34,12,13000,1888,0,"never married"
1915,171,35,14,29900,1936,2,"married"
1915,172,32,99,17000,1750,1,"married"
1916,2,30,13,24296,1992,0,"never married"
1917,4,35,17,0,0,1,"married"
1917,5,34,14,18000,1735,2,"married"
1917,172,33,14,15000,2000,2,"married"
1918,3,38,12,5300,847,2,"married"
1918,4,35,12,0,0,3,"separated"
1919,8,40,12,27000,1888,2,"married"
1919,170,38,16,30000,1002,3,"married"
1919,172,34,16,2500,550,4,"married"
1919,173,33,13,20000,2423,2,"married"
1919,175,30,16,4000,520,2,"married"
1920,3,34,14,2800,259,4,"married"
1920,4,33,16,34000,2600,0,"never married"
1920,5,31,12,24000,2167,0,"married"
1925,170,41,17,0,0,2,"married"
1926,3,31,16,27900,1944,2,"married"
1930,4,42,12,35000,2250,0,"never married"
1930,5,39,12,8000,929,2,"married"
1930,170,45,16,25000,2440,2,"married"
1930,171,47,12,0,0,2,"married"
1932,3,40,12,2550,2012,2,"married"
1932,173,34,12,30000,2033,2,"married"
1933,3,44,13,0,0,0,"divorced"
1936,2,50,12,25000,1840,3,"married"
1936,173,38,13,28000,1932,0,"married"
1939,2,45,13,24000,1862,4,"married"
1945,170,46,14,325,1920,2,"divorced"
1945,171,46,14,16298,1984,3,"married"
1945,176,39,14,26000,2040,2,"married"
1947,3,32,17,20000,659,1,"married"
1948,3,41,17,110000,302,2,"married"
1950,171,45,17,76000,2430,0,"married"
1955,170,33,12,30000,1978,0,"married"
1959,170,44,17,0,0,0,"married"
1959,171,34,17,975,196,1,"married"
1960,4,41,17,11900,1491,2,"divorced"
1960,171,49,16,0,0,3,"married"
1960,175,42,17,83500,2249,0,"divorced"
1961,170,44,12,773,72,2,"married"
1962,176,39,12,14500,2172,3,"married"
1964,2,48,12,2000,827,4,"married"
1965,5,35,16,51000,2016,1,"married"
1967,3,41,12,29487,2160,2,"married"
1970,170,41,13,0,0,2,"married"
1971,3,40,12,6000,900,0,"married"
1971,173,33,12,13000,2007,1,"married"
1971,174,37,12,12000,3120,3,"married"
1972,2,45,14,26500,1923,1,"married"
1972,171,46,16,0,0,0,"married"
1973,2,45,17,7000,1517,3,"married"
1973,174,33,16,15500,1976,2,"married"
1975,4,34,17,0,0,4,"married"
1975,171,44,14,9000,1192,0,"married"
1977,172,50,13,600,61,0,"married"
1978,2,45,12,25000,2550,2,"divorced"
1979,3,43,9,10602,1092,1,"married"
1981,3,35,14,0,0,1,"never married"
1981,173,34,12,11000,1867,2,"divorced"
1985,173,32,16,25179,1213,2,"married"
1988,170,42,12,12000,1928,2,"married"
1994,5,35,15,7000,448,3,"widowed"
1995,2,44,14,6000,835,1,"divorced"
2000,3,41,12,13000,1984,2,"married"
2003,171,47,13,11000,1440,4,"married"
2004,5,35,12,4500,1040,2,"married"
2004,172,37,12,55000,1944,2,"married"
2005,2,47,12,24000,2008,1,"married"
2005,171,48,99,3380,1040,2,"divorced"
2005,174,33,99,35000,1750,0,"married"
2011,5,31,14,6904,1225,4,"married"
2011,172,32,10,19000,1804,2,"divorced"
2011,174,32,12,23000,2614,2,"married"
2012,2,47,12,11000,1704,3,"married"
2016,3,40,17,20000,1542,0,"never married"
2016,4,40,16,12180,2030,2,"married"
2016,6,30,12,32000,2066,2,"divorced"
2017,2,48,12,7850,2600,3,"married"
2017,172,31,12,150,130,2,"married"
2019,4,33,12,0,0,1,"married"
2019,171,49,12,8486,480,2,"married"
2019,175,31,14,24000,1976,0,"married"
2022,21,43,17,39500,2450,0,"married"
2022,170,39,16,36000,1776,2,"married"
2023,1,46,16,12000,1213,1,"divorced"
2028,2,44,12,33000,1864,2,"married"
2030,3,44,16,31000,1920,2,"divorced"
2030,4,41,17,2100,104,2,"separated"
2030,6,40,16,2000,243,3,"married"
2030,171,35,15,25000,2032,2,"divorced"
2030,174,37,16,12000,816,2,"married"
2030,175,36,15,7400,1240,0,"married"
2032,170,32,10,4973,630,4,"married"
2032,171,34,12,0,0,3,"married"
2032,172,30,12,15000,1865,2,"separated"
2033,174,45,12,12500,2000,2,"married"
2033,177,41,99,19826,1846,0,"married"
2034,2,49,12,9862,1716,3,"married"
2034,174,31,12,22000,2000,2,"married"
2044,170,47,12,30000,1920,0,"never married"
2046,1,46,16,0,0,2,"married"
2047,5,38,12,24160,1175,2,"married"
2050,6,35,99,0,0,1,"married"
2050,172,38,16,12000,208,2,"married"
2051,170,46,13,18000,2000,3,"married"
2053,4,33,12,0,0,2,"married"
2053,172,38,16,15083,686,2,"married"
2054,3,36,17,28400,1856,1,"married"
2055,2,47,12,26758,2756,3,"married"
2056,2,42,10,0,0,4,"widowed"
2059,170,41,12,17000,2640,2,"married"
2059,172,43,14,15000,1540,2,"married"
2059,173,44,12,0,0,0,"married"
2060,3,32,17,30000,2025,1,"married"
2061,2,43,13,37400,1702,3,"separated"
2061,179,31,12,1080,180,98,"separated"
2062,4,34,12,14480,2181,3,"married"
2062,5,32,12,11500,1500,4,"married"
2062,170,40,12,15000,2016,3,"married"
2062,174,39,12,38000,1920,2,"married"
2067,170,41,12,14000,2040,3,"married"
2067,180,36,12,20000,2024,2,"married"
2067,184,43,12,19200,1470,3,"married"
2067,188,32,16,30000,1139,2,"married"
2068,1,47,16,35116,1917,0,"married"
2073,2,37,13,0,0,2,"never married"
2073,3,36,12,800,476,2,"never married"
2075,2,41,14,26000,1887,2,"widowed"
2075,3,39,13,32000,2058,2,"separated"
2078,2,45,12,14000,1205,3,"married"
2079,170,37,10,1111,222,3,"divorced"
2079,171,42,12,500,438,0,"married"
2079,175,41,12,0,0,4,"married"
2079,180,37,12,15000,1936,0,"married"
2080,2,46,12,7086,1446,2,"married"
2083,171,33,12,21000,1840,0,"married"
2088,4,30,14,15000,803,2,"married"
2088,171,31,16,1395,174,2,"married"
2090,3,44,14,56000,1930,0,"married"
2092,170,49,16,20000,1880,0,"married"
2095,170,41,16,6819,742,2,"married"
