"spell","censor1","censor2","censor3","censor4","age","ui","reprate","disrate","logwage","tenure"
2,0,1,0,0,37,"no",0.5,0.204,4.95583,0
4,0,0,0,1,21,"yes",0.5,0.147,5.28827,1
1,0,0,0,0,44,"yes",0.5,0.204,4.95583,2
13,0,0,0,1,29,"no",0.49,0.074,5.97889,0
13,1,0,0,0,55,"yes",0.297,0.045,6.48004,11
8,0,0,0,1,27,"yes",0.5,0.082,5.87493,4
7,0,1,0,0,35,"yes",0.5,0.105,5.62402,2
5,1,0,0,0,30,"yes",0.5,0.092,5.75574,1
6,0,0,0,1,55,"yes",0.5,0.092,5.75574,12
7,1,0,0,0,26,"yes",0.5,0.105,5.62402,1
6,0,0,0,1,40,"yes",0.5,0.105,5.62402,12
6,0,0,0,1,27,"yes",0.5,0.167,5.15906,1
3,1,0,0,0,22,"no",0.5,0.245,4.77912,1
1,1,0,0,0,32,"no",0.5,0.245,4.77912,1
1,1,0,0,0,33,"no",0.5,0.127,5.43372,2
16,0,0,0,1,33,"yes",0.472,0.071,6.01616,5
4,0,0,1,0,36,"yes",0.408,0.061,6.16121,1
2,1,0,0,0,39,"yes",0.5,0.095,5.71703,6
1,1,0,0,0,27,"no",0.5,0.184,5.06259,3
6,0,0,0,0,25,"yes",0.5,0.123,5.46806,5
11,0,0,0,1,36,"yes",0.5,0.105,5.62402,7
11,1,0,0,0,58,"yes",0.5,0.124,5.45532,3
4,1,0,0,0,31,"yes",0.5,0.134,5.3799,5
9,1,0,0,0,26,"yes",0.327,0.049,6.38519,0
7,1,0,0,0,40,"no",0.163,0.025,7.0775,19
2,0,0,1,0,54,"no",0.306,0.046,6.44889,1
5,1,0,0,0,51,"yes",0.5,0.141,5.32301,17
16,1,0,0,0,24,"yes",0.5,0.184,5.06259,1
4,0,0,0,1,51,"yes",0.5,0.147,5.28827,17
3,0,0,1,0,28,"yes",0.5,0.092,5.75574,3
2,1,0,0,0,32,"yes",0.408,0.061,6.16121,5
13,0,0,1,0,25,"no",0.5,0.184,5.06259,1
7,0,0,0,1,45,"yes",0.445,0.067,6.07535,26
2,0,0,0,1,24,"no",0.5,0.102,5.64897,0
1,0,0,1,0,25,"no",0.5,0.184,5.06259,0
1,0,1,0,0,42,"no",0.5,0.216,4.89784,2
15,0,0,0,1,28,"yes",0.472,0.071,6.01616,2
4,0,0,0,1,25,"no",0.5,0.184,5.06259,2
7,0,0,0,1,53,"yes",0.5,0.184,5.06259,15
1,0,0,1,0,21,"no",0.5,0.147,5.28827,0
3,0,0,0,1,22,"no",0.5,0.125,5.24702,1
5,0,0,0,1,22,"no",0.5,0.2,4.46591,0
27,0,0,0,1,41,"yes",0.5,0.104,5.42935,7
11,0,0,0,1,46,"no",0.5,0.15,5.06259,0
1,0,1,0,0,40,"no",0.396,0.042,6.3315,12
1,0,1,0,0,39,"no",0.299,0.032,6.61204,10
3,1,0,0,0,45,"yes",0.47,0.05,6.16121,9
6,0,0,0,1,45,"yes",0.456,0.048,6.19236,20
27,0,1,0,0,21,"yes",0.5,0.086,5.62402,3
15,0,0,0,1,50,"yes",0.353,0.038,6.44889,4
7,1,0,0,0,46,"yes",0.5,0.055,6.07535,0
5,0,1,0,0,37,"no",0.308,0.033,6.58479,2
14,0,0,0,1,50,"yes",0.5,0.086,5.62402,3
7,0,0,0,1,28,"yes",0.5,0.06,5.97889,6
7,0,0,0,1,22,"yes",0.5,0.067,5.87493,3
8,0,1,0,0,21,"yes",0.5,0.115,5.32301,5
14,1,0,0,0,29,"yes",0.47,0.05,6.16121,12
1,0,1,0,0,38,"yes",0.5,0.086,5.62402,2
10,0,1,0,0,40,"yes",0.5,0.075,5.75574,3
2,1,0,0,0,25,"yes",0.484,0.051,6.1334,2
2,0,0,0,1,22,"yes",0.5,0.109,5.3799,0
6,1,0,0,0,42,"no",0.344,0.037,6.47389,5
13,0,0,1,0,56,"yes",0.5,0.058,6.01859,2
5,0,0,0,1,32,"no",0.5,0.1,5.46806,5
9,0,0,0,1,40,"yes",0.47,0.05,6.16121,6
7,1,0,0,0,28,"yes",0.5,0.06,5.97889,4
21,0,0,0,1,29,"yes",0.5,0.063,5.93754,0
1,0,1,0,0,29,"no",0.5,0.15,5.06259,0
1,1,0,0,0,33,"no",0.5,0.12,5.28827,2
7,0,1,0,0,36,"yes",0.5,0.068,5.8522,12
3,1,0,0,0,43,"yes",0.5,0.055,6.07535,4
3,1,0,0,0,39,"yes",0.431,0.046,6.24804,10
26,0,0,0,1,58,"yes",0.5,0.079,5.70378,6
4,0,0,0,1,39,"yes",0.5,0.063,5.93754,5
21,1,0,0,0,26,"yes",0.5,0.071,5.81711,3
11,0,0,0,1,44,"yes",0.388,0.041,6.35263,14
7,0,0,0,1,34,"yes",0.5,0.067,5.87493,3
5,1,0,0,0,35,"yes",0.5,0.088,5.59471,0
10,0,0,0,0,23,"yes",0.5,0.06,5.97889,1
8,0,0,0,1,42,"yes",0.326,0.035,6.52649,6
3,0,0,0,0,22,"no",0.5,0.071,5.80513,1
1,0,0,1,0,25,"yes",0.5,0.067,5.87493,2
4,0,0,0,0,34,"yes",0.5,0.054,6.09131,2
27,0,0,0,1,29,"no",0.5,0.1,5.46806,1
5,0,0,1,0,53,"yes",0.282,0.03,6.67203,3
16,0,0,0,1,34,"yes",0.5,0.06,5.97889,1
4,1,0,0,0,39,"yes",0.5,0.06,5.97889,3
2,0,0,0,1,61,"yes",0.5,0.075,5.75574,27
5,0,1,0,0,39,"no",0.282,0.03,6.67203,5
9,0,0,0,1,52,"yes",0.262,0.028,6.74406,10
4,0,0,0,1,30,"yes",0.448,0.048,6.2106,7
5,0,0,1,0,37,"yes",0.5,0.075,5.75574,2
15,1,0,0,0,35,"yes",0.5,0.079,5.70378,2
2,0,1,0,0,36,"no",0.353,0.038,6.44889,11
4,1,0,0,0,32,"no",0.403,0.043,6.31536,11
16,0,0,0,1,45,"no",0.418,0.044,6.27852,4
6,0,1,0,0,24,"no",0.5,0.083,5.64897,3
5,0,1,0,0,28,"yes",0.5,0.094,5.53339,0
10,0,0,0,1,47,"yes",0.5,0.067,5.87493,3
21,0,0,0,1,48,"yes",0.5,0.075,5.75574,2
1,0,1,0,0,35,"yes",0.5,0.12,5.28827,0
8,1,0,0,0,41,"yes",0.5,0.067,5.87493,4
8,0,0,0,1,21,"yes",0.5,0.15,5.06259,3
3,0,0,0,1,21,"yes",0.5,0.063,5.93754,0
3,0,1,0,0,48,"yes",0.5,0.075,5.75574,15
12,0,0,0,1,48,"yes",0.5,0.06,5.97889,14
3,0,0,0,1,40,"no",0.5,0.07,5.82895,3
1,1,0,0,0,34,"no",0.282,0.03,6.67203,3
2,1,0,0,0,22,"no",0.5,0.075,5.75574,1
16,0,1,0,0,45,"no",0.5,0.065,5.8944,1
21,0,0,0,1,30,"yes",0.353,0.038,6.44889,3
15,1,0,0,0,43,"yes",0.5,0.081,5.67675,3
4,0,0,1,0,52,"yes",0.32,0.034,6.54391,32
26,1,0,0,0,35,"yes",0.353,0.038,6.44889,8
3,1,0,0,0,37,"yes",0.5,0.063,5.93754,18
5,1,0,0,0,22,"yes",0.5,0.116,5.32301,2
11,0,0,0,1,30,"yes",0.5,0.094,5.53339,3
8,0,0,0,1,25,"yes",0.5,0.099,5.48064,5
17,0,0,0,1,47,"no",0.403,0.043,6.31536,11
15,0,0,0,1,43,"yes",0.342,0.036,6.48004,3
9,0,0,0,1,29,"yes",0.5,0.1,5.46806,5
9,0,0,0,1,54,"yes",0.5,0.106,5.41165,0
1,1,0,0,0,21,"no",0.5,0.2,4.77912,1
3,1,0,0,0,50,"yes",0.217,0.023,6.9344,0
1,1,0,0,0,43,"no",0.355,0.038,6.44095,13
1,1,0,0,0,37,"no",0.299,0.032,6.61338,13
1,1,0,0,0,28,"yes",0.5,0.1,5.46806,1
3,0,0,1,0,24,"yes",0.5,0.1,5.46806,0
26,0,0,0,1,32,"yes",0.5,0.075,5.75574,2
12,0,0,0,1,26,"yes",0.5,0.063,5.93754,2
14,1,0,0,0,55,"yes",0.5,0.06,5.97889,10
2,1,0,0,0,32,"yes",0.5,0.068,5.8522,3
7,0,1,0,0,59,"yes",0.5,0.06,5.97889,1
6,0,0,0,1,33,"yes",0.5,0.071,5.80513,7
1,0,1,0,0,38,"no",0.274,0.055,5.62402,7
1,1,0,0,0,22,"no",0.549,0.11,4.92725,4
1,0,0,0,0,41,"no",0.274,0.055,5.62402,4
5,0,1,0,0,54,"yes",0.382,0.017,5.94542,0
5,1,0,0,0,42,"yes",0.52,0.033,5.25227,21
15,0,0,0,1,22,"no",0.52,0.047,4.89784,0
9,1,0,0,0,38,"yes",0.19,0.008,6.64639,11
1,0,0,1,0,27,"no",0.321,0.014,6.12249,3
3,0,0,0,1,38,"yes",0.411,0.018,5.87493,5
2,1,0,0,0,24,"no",0.52,0.025,5.53339,0
5,0,0,0,1,20,"yes",0.52,0.05,4.83628,1
7,1,0,0,0,34,"yes",0.21,0.009,6.54391,2
1,0,0,1,0,28,"no",0.52,0.024,5.59471,0
10,0,0,1,0,29,"yes",0.52,0.029,5.39816,6
16,0,0,0,1,47,"yes",0.37,0.016,5.97889,8
2,1,0,0,0,40,"yes",0.211,0.009,6.53814,4
4,0,0,0,1,48,"yes",0.308,0.013,6.16121,2
7,0,0,1,0,42,"yes",0.161,0.007,6.81235,1
4,0,0,1,0,56,"yes",0.482,0.021,5.71373,20
11,0,0,1,0,31,"yes",0.37,0.016,5.97889,0
5,1,0,0,0,48,"yes",0.52,0.032,5.28827,2
23,0,0,1,0,27,"yes",0.333,0.014,6.08222,1
4,0,0,0,1,28,"no",0.52,0.157,4.83628,2
2,1,0,0,0,44,"yes",0.52,0.1,5.28827,2
17,0,0,0,1,24,"yes",0.466,0.059,5.81711,2
8,0,0,0,1,28,"yes",0.52,0.083,5.46806,3
16,0,0,0,1,40,"yes",0.495,0.063,5.75574,7
16,0,0,0,1,40,"no",0.396,0.05,5.97889,17
11,0,0,0,0,20,"no",0.52,0.156,4.83628,0
3,0,0,1,0,24,"no",0.52,0.071,5.62402,4
14,0,0,0,1,50,"yes",0.495,0.063,5.75574,8
16,0,0,0,1,39,"yes",0.248,0.031,6.44889,3
4,0,0,0,1,31,"yes",0.514,0.065,5.71703,3
3,0,0,0,1,37,"no",0.52,0.074,5.59471,0
2,0,1,0,0,30,"no",0.319,0.04,6.19441,8
1,1,0,0,0,42,"yes",0.396,0.05,5.97889,9
11,0,0,0,1,37,"yes",0.495,0.063,5.75574,2
10,0,0,0,1,43,"yes",0.46,0.058,5.82895,2
1,1,0,0,0,30,"no",0.294,0.037,6.27664,3
12,0,1,0,0,23,"yes",0.52,0.086,5.43372,0
2,0,1,0,0,26,"no",0.52,0.1,5.28827,7
2,0,1,0,0,29,"yes",0.52,0.125,5.06259,4
3,0,0,0,1,46,"no",0.52,0.083,5.46806,0
10,0,0,0,1,61,"yes",0.52,0.078,5.53339,5
5,1,0,0,0,24,"yes",0.52,0.167,4.77912,3
2,0,0,1,0,32,"no",0.283,0.036,6.31536,5
2,0,0,1,0,20,"no",0.52,0.125,5.06259,1
10,0,0,0,1,34,"yes",0.52,0.078,5.53339,1
3,1,0,0,0,55,"no",0.52,0.083,5.46806,3
2,0,0,0,0,30,"no",0.52,0.066,5.70378,1
2,1,0,0,0,26,"no",0.52,0.071,5.62402,1
3,0,0,0,1,57,"yes",0.52,0.1,5.28827,3
8,1,0,0,0,29,"yes",0.52,0.071,5.63479,2
1,0,0,0,0,50,"no",0.52,0.083,5.46806,1
4,0,1,0,0,21,"yes",0.567,0.067,5.46806,1
1,1,0,0,0,21,"no",0.585,0.1,5.06259,0
2,0,0,0,1,24,"yes",0.585,0.073,5.3799,5
1,0,0,1,0,27,"no",0.486,0.057,5.62402,7
1,1,0,0,0,43,"no",0.34,0.04,5.97889,3
4,1,0,0,0,39,"yes",0.283,0.033,6.16121,0
1,0,0,1,0,21,"no",0.585,0.083,5.24702,0
1,0,1,0,0,32,"no",0.943,0.571,3.3322,0
5,0,0,0,1,26,"no",0.585,0.08,5.28827,1
9,1,0,0,0,43,"yes",0.309,0.036,6.07535,14
3,0,0,0,1,26,"no",0.34,0.04,5.97889,0
7,1,0,0,0,55,"no",0.486,0.057,5.62402,6
7,1,0,0,0,26,"no",0.585,0.08,5.28827,1
9,0,1,0,0,59,"yes",0.585,0.08,5.28827,4
2,0,1,0,0,55,"yes",0.406,0.127,5.22575,5
5,0,0,0,1,51,"yes",0.406,0.126,5.23644,24
22,0,0,0,1,52,"yes",0.183,0.033,6.56667,6
3,0,0,0,1,38,"yes",0.406,0.15,5.06259,0
16,0,0,0,1,24,"yes",0.406,0.086,5.62402,0
6,0,0,0,1,21,"no",0.406,0.188,4.83628,0
1,0,1,0,0,27,"no",0.406,0.231,4.63473,0
14,0,0,0,0,23,"no",0.406,0.15,5.06259,2
5,0,0,0,1,30,"no",0.406,0.15,5.06259,0
4,0,1,0,0,28,"yes",0.337,0.061,5.95842,2
1,1,0,0,0,28,"no",0.406,0.12,5.28827,10
4,0,0,0,1,56,"yes",0.406,0.15,5.06259,4
1,1,0,0,0,54,"no",0.286,0.052,6.12249,7
3,0,0,0,1,50,"yes",0.406,0.088,5.59471,30
1,1,0,0,0,26,"no",0.406,0.143,5.11199,1
2,0,0,0,0,21,"no",0.406,0.086,5.62402,1
2,0,1,0,0,28,"no",0.406,0.24,4.59512,1
1,1,0,0,0,57,"no",0.406,0.147,5.0814,5
6,1,0,0,0,29,"yes",0.406,0.12,5.28827,1
1,0,0,0,0,46,"no",0.121,0.022,6.97915,16
2,0,0,0,1,31,"yes",0.406,0.097,5.49717,4
1,1,0,0,0,22,"no",0.406,0.111,5.36129,0
6,0,1,0,0,52,"no",0.542,0.14,5.28827,0
11,1,0,0,0,25,"no",0.542,0.1,5.62402,1
1,0,1,0,0,52,"no",0.279,0.045,6.41017,2
4,1,0,0,0,25,"no",0.542,0.1,5.62402,2
7,0,0,0,1,51,"yes",0.179,0.029,6.85435,2
2,0,0,0,0,26,"no",0.542,0.117,5.46806,1
1,0,1,0,0,49,"no",0.311,0.051,6.30445,0
16,1,0,0,0,42,"no",0.307,0.05,6.31536,1
14,0,0,0,1,56,"yes",0.542,0.113,5.50126,6
25,0,0,0,1,48,"yes",0.297,0.048,6.35089,7
2,1,0,0,0,21,"no",0.542,0.117,5.46806,0
17,1,0,0,0,36,"no",0.542,0.1,5.62402,1
26,0,0,0,1,49,"yes",0.538,0.088,5.75574,1
22,0,0,0,1,38,"yes",0.331,0.054,6.24222,18
6,1,0,0,0,26,"yes",0.43,0.07,5.97889,3
11,0,1,0,0,52,"yes",0.278,0.077,6.24222,0
22,1,0,0,0,52,"yes",0.52,0.26,4.74493,1
2,1,0,0,0,41,"yes",0.402,0.111,5.87493,0
3,1,0,0,0,45,"yes",0.091,0.025,7.36455,5
5,0,0,0,1,45,"no",0.52,0.26,4.77912,0
25,0,0,0,1,61,"yes",0.52,0.186,5.36129,32
11,1,0,0,0,36,"yes",0.52,0.25,5.06259,0
2,0,0,0,1,22,"yes",0.52,0.167,5.46806,2
1,0,1,0,0,36,"yes",0.52,0.154,5.54908,3
20,0,0,0,1,43,"yes",0.52,0.154,5.54908,3
14,0,0,0,1,59,"yes",0.276,0.076,6.24804,10
16,1,0,0,0,25,"yes",0.542,0.071,5.11199,1
2,0,0,1,0,49,"no",0.375,0.038,5.75574,3
15,0,0,0,1,29,"no",0.536,0.054,5.39816,2
1,0,1,0,0,45,"no",0.542,0.083,4.95583,1
2,0,0,1,0,23,"no",0.542,0.088,4.89784,0
3,0,0,1,0,22,"no",0.469,0.047,5.53339,2
15,1,0,0,0,43,"yes",0.333,0.033,5.87493,21
3,0,1,0,0,39,"yes",0.341,0.034,5.8522,8
10,0,0,0,1,28,"yes",0.375,0.038,5.75574,0
2,0,1,0,0,32,"no",0.429,0.043,5.62402,1
5,1,0,0,0,38,"no",0.385,0.038,5.7301,0
8,0,0,0,1,22,"yes",0.542,0.094,4.83628,1
2,1,0,0,0,45,"no",0.542,0.06,5.28827,0
7,1,0,0,0,41,"no",0.542,0.1,4.77912,0
14,0,0,0,1,26,"no",0.542,0.074,5.07517,6
1,0,0,0,1,33,"yes",0.5,0.125,5.39816,1
4,0,0,0,0,23,"no",0.5,0.125,5.06259,3
2,0,0,0,1,37,"yes",0.438,0.109,5.75574,3
3,0,0,1,0,47,"no",0.5,0.125,5.54908,0
5,0,0,0,1,42,"yes",0.5,0.125,5.22036,0
4,0,0,1,0,58,"yes",0.417,0.104,5.80513,5
2,0,0,0,1,23,"yes",0.5,0.125,4.92725,1
2,1,0,0,0,26,"no",0.5,0.125,5.62402,0
4,0,0,0,1,23,"no",0.5,0.125,4.95583,0
3,1,0,0,0,23,"yes",0.5,0.125,5.54908,0
13,0,1,0,0,36,"yes",0.243,0.061,6.34388,3
8,1,0,0,0,50,"no",0.486,0.122,5.64897,30
5,1,0,0,0,24,"yes",0.5,0.125,4.95583,2
18,0,1,0,0,50,"yes",0.303,0.076,6.12249,25
10,0,0,0,1,51,"yes",0.368,0.092,5.92693,24
7,1,0,0,0,34,"yes",0.5,0.125,4.8828,2
2,1,0,0,0,42,"yes",0.219,0.055,6.44889,4
7,1,0,0,0,46,"no",0.5,0.125,5.56834,4
6,0,0,0,1,50,"yes",0.175,0.044,6.67203,16
1,0,0,1,0,22,"no",0.5,0.125,5.06259,0
5,0,0,0,1,50,"yes",0.313,0.078,6.09131,6
4,0,0,1,0,48,"no",0.219,0.055,6.44889,1
5,0,0,1,0,30,"no",0.438,0.109,5.75574,0
7,1,0,0,0,24,"no",0.5,0.125,5.46806,0
4,0,0,1,0,33,"yes",0.292,0.073,6.16121,2
1,0,0,1,0,30,"no",0.52,0.025,5.3799,1
2,0,1,0,0,34,"yes",0.52,0.035,5.06259,1
14,1,0,0,0,57,"no",0.493,0.018,5.75574,12
5,1,0,0,0,35,"yes",0.52,0.031,5.18178,0
2,0,0,1,0,26,"no",0.493,0.018,5.75574,0
5,1,0,0,0,27,"yes",0.52,0.022,5.54126,2
3,0,0,0,1,32,"yes",0.52,0.023,5.50126,4
11,0,1,0,0,24,"no",0.52,0.028,5.28827,1
27,0,0,1,0,29,"no",0.415,0.015,5.92693,7
7,0,0,1,0,51,"yes",0.52,0.029,5.24702,0
2,1,0,0,0,29,"no",0.52,0.021,5.55296,5
7,0,0,0,1,31,"yes",0.52,0.029,5.24702,1
3,0,0,0,0,43,"yes",0.52,0.028,5.28827,2
2,0,0,1,0,56,"no",0.379,0.013,6.01859,10
4,0,0,0,1,48,"yes",0.316,0.011,6.20051,0
2,0,0,0,0,41,"yes",0.52,0.02,5.62402,1
1,0,1,0,0,32,"no",0.565,0.141,5.01064,0
6,0,0,0,1,43,"yes",0.565,0.141,4.41884,5
4,0,0,1,0,41,"yes",0.565,0.141,5.54908,4
9,1,0,0,0,38,"yes",0.565,0.141,5.28827,1
20,1,0,0,0,21,"yes",0.465,0.116,5.75574,1
1,0,0,1,0,21,"no",0.517,0.129,5.64897,0
3,1,0,0,0,22,"no",0.372,0.093,5.97889,0
13,0,0,0,0,29,"yes",0.565,0.141,4.89784,0
5,1,0,0,0,42,"yes",0.428,0.107,5.84064,4
1,0,0,1,0,42,"yes",0.339,0.085,6.07074,0
6,0,0,0,1,22,"yes",0.565,0.141,5.3033,0
14,0,0,0,1,33,"no",0.565,0.141,4.95583,1
3,0,0,1,0,26,"no",0.382,0.095,6.16121,1
1,0,0,1,0,28,"no",0.6,0.15,5.64897,1
2,0,0,1,0,45,"no",0.275,0.069,6.4892,3
8,1,0,0,0,51,"no",0.6,0.15,5.62402,0
1,0,0,1,0,51,"no",0.229,0.057,6.67203,0
1,0,1,0,0,29,"no",0.6,0.15,5.62402,1
7,0,0,0,1,53,"no",0.573,0.143,5.75574,0
4,0,0,0,1,33,"no",0.509,0.127,5.87493,0
5,1,0,0,0,26,"no",0.509,0.127,5.87493,1
3,0,0,1,0,22,"no",0.6,0.15,5.11199,3
20,0,0,0,1,42,"yes",0.337,0.084,6.286,6
2,1,0,0,0,36,"no",0.208,0.052,6.76734,11
3,1,0,0,0,41,"no",0.482,0.121,5.92693,1
4,0,0,0,1,21,"no",0.6,0.15,5.06259,0
2,1,0,0,0,41,"no",0.52,0.13,5.20401,1
14,0,0,0,1,43,"no",0.52,0.2,4.77912,0
9,0,0,1,0,59,"yes",0.52,0.115,5.32301,1
3,0,1,0,0,25,"no",0.516,0.094,5.53339,3
2,0,0,0,1,36,"yes",0.52,0.158,5.01064,0
8,0,1,0,0,48,"no",0.22,0.04,6.38519,0
3,0,1,0,0,57,"yes",0.404,0.074,5.77455,3
5,0,0,1,0,42,"yes",0.275,0.05,6.16121,5
5,1,0,0,0,50,"yes",0.413,0.075,5.75574,16
3,0,0,0,1,44,"no",0.52,0.136,5.15906,2
16,0,0,0,1,58,"yes",0.52,0.098,5.49306,6
9,0,0,0,1,33,"yes",0.393,0.071,5.80513,1
7,0,0,0,1,35,"yes",0.275,0.05,6.16121,0
4,0,0,1,0,32,"no",0.44,0.08,5.69036,4
5,0,0,1,0,25,"yes",0.344,0.063,5.93754,5
5,0,0,1,0,54,"yes",0.52,0.167,4.95583,1
21,1,0,0,0,37,"yes",0.416,0.076,5.74939,11
1,0,0,1,0,32,"no",0.284,0.052,6.12687,1
2,0,0,1,0,41,"no",0.52,0.15,5.06259,0
11,0,1,0,0,24,"yes",0.33,0.06,5.97889,1
6,1,0,0,0,39,"yes",0.537,0.179,5.8944,2
1,0,0,1,0,28,"no",0.65,0.216,4.36945,1
1,0,0,1,0,23,"no",0.65,0.216,4.36945,1
3,0,0,0,1,35,"yes",0.412,0.137,6.16121,6
4,0,0,0,1,36,"yes",0.65,0.216,5.15906,0
4,1,0,0,0,59,"yes",0.247,0.082,6.67203,3
9,0,0,0,1,39,"yes",0.494,0.165,5.97889,1
13,0,0,0,0,37,"yes",0.65,0.216,5.34233,2
1,0,1,0,0,45,"yes",0.65,0.216,5.62402,1
7,0,1,0,0,22,"no",0.561,0.187,5.8522,5
13,1,0,0,0,24,"no",0.65,0.216,5.3799,0
1,0,0,0,0,35,"no",0.412,0.137,6.16121,0
3,1,0,0,0,51,"no",0.531,0.177,5.90536,1
2,0,0,0,1,22,"yes",0.412,0.137,6.16121,2
9,0,0,0,1,33,"yes",0.428,0.143,6.12249,2
1,0,0,1,0,51,"no",0.65,0.216,5.06259,2
20,0,0,0,1,49,"yes",0.494,0.165,5.97889,10
7,0,0,1,0,27,"yes",0.309,0.103,6.44889,0
9,0,0,0,1,34,"yes",0.5,0.025,5.06259,1
4,0,1,0,0,36,"no",0.483,0.017,5.46806,0
1,1,0,0,0,35,"no",0.446,0.015,5.54908,1
13,0,1,0,0,29,"yes",0.5,0.034,4.74493,1
5,0,0,0,1,23,"yes",0.5,0.029,4.89784,1
13,0,0,1,0,23,"no",0.5,0.031,4.83628,1
1,0,1,0,0,61,"no",0.121,0.004,6.85435,0
7,1,0,0,0,55,"yes",0.242,0.008,6.16121,21
8,0,0,0,1,41,"yes",0.242,0.008,6.16121,0
7,0,0,0,0,31,"no",0.5,0.025,5.06259,12
7,0,0,0,1,31,"yes",0.5,0.026,5.01064,4
2,0,0,0,0,22,"no",0.5,0.019,5.36129,3
2,0,0,1,0,29,"no",0.5,0.024,5.11199,1
7,0,0,1,0,34,"yes",0.553,0.138,5.39816,3
15,0,0,0,0,54,"no",0.148,0.031,7.0775,6
16,0,0,0,0,31,"yes",0.553,0.138,5.38907,8
17,0,0,0,1,34,"yes",0.529,0.112,5.80513,0
14,0,0,0,1,49,"yes",0.317,0.067,6.31536,1
2,0,0,1,0,60,"no",0.553,0.138,5.46806,0
3,1,0,0,0,22,"no",0.553,0.138,5.39816,0
13,1,0,0,0,31,"yes",0.553,0.138,5.28827,0
19,0,0,0,1,54,"no",0.386,0.082,6.1181,1
3,1,0,0,0,23,"no",0.317,0.067,6.31536,0
1,1,0,0,0,33,"no",0.553,0.138,5.46806,0
3,0,0,1,0,24,"no",0.553,0.138,5.49306,0
3,1,0,0,0,30,"yes",0.317,0.067,6.31536,9
7,0,0,1,0,23,"no",0.5,0.2,4.55388,1
7,0,0,0,1,47,"yes",0.5,0.2,4.92725,0
7,0,0,1,0,36,"yes",0.5,0.2,5.06259,0
17,0,0,1,0,25,"yes",0.349,0.14,6.2106,2
9,0,0,0,1,22,"yes",0.44,0.176,5.97889,1
4,0,1,0,0,60,"yes",0.5,0.2,5.47646,8
3,0,0,1,0,24,"no",0.52,0.208,4.07754,0
17,0,0,1,0,29,"yes",0.489,0.196,5.87493,1
1,0,1,0,0,26,"no",0.5,0.2,5.46806,2
17,0,0,0,1,32,"yes",0.5,0.2,5.69036,2
3,1,0,0,0,31,"no",0.5,0.2,5.62402,4
3,0,0,1,0,28,"yes",0.5,0.2,5.53339,1
14,0,0,0,1,38,"yes",0.244,0.098,6.56667,17
7,1,0,0,0,41,"yes",0.44,0.176,5.97889,4
4,0,0,0,1,27,"no",0.5,0.2,5.06259,1
11,1,0,0,0,30,"yes",0.498,0.199,5.85507,2
5,0,0,0,1,23,"no",0.5,0.2,4.46591,0
1,0,0,1,0,26,"no",0.5,0.2,4.92725,3
3,0,0,0,1,25,"no",0.5,0.2,5.15906,7
6,0,0,0,1,37,"yes",0.5,0.2,5.06259,1
12,0,0,0,1,37,"yes",0.367,0.147,6.16121,13
7,0,0,0,0,35,"yes",0.335,0.033,6.38519,9
2,0,0,1,0,36,"yes",0.52,0.238,4.41884,0
3,0,0,0,1,22,"yes",0.52,0.069,5.64897,1
14,0,0,0,1,49,"yes",0.502,0.05,5.97889,1
10,0,0,0,0,45,"yes",0.52,0.054,5.8999,5
4,0,1,0,0,41,"no",0.52,0.083,5.46806,0
5,0,0,0,1,47,"yes",0.299,0.03,6.49828,24
14,0,0,0,1,41,"yes",0.52,0.2,4.59512,0
6,0,0,0,1,38,"yes",0.502,0.05,5.97889,5
10,0,0,0,1,57,"no",0.126,0.013,7.36455,5
7,0,0,0,1,35,"yes",0.52,0.075,5.57595,12
15,1,0,0,0,28,"yes",0.52,0.083,5.46806,0
5,1,0,0,0,29,"yes",0.502,0.05,5.97889,0
3,0,0,0,1,35,"yes",0.52,0.063,5.75574,11
7,1,0,0,0,27,"yes",0.52,0.083,5.46806,2
6,0,0,0,1,20,"yes",0.52,0.104,5.24702,0
13,1,0,0,0,46,"yes",0.52,0.119,5.11199,3
9,1,0,0,0,22,"yes",0.52,0.1,5.28827,1
25,0,0,0,1,56,"yes",0.52,0.081,5.49306,13
20,0,0,0,1,30,"yes",0.314,0.031,6.44889,4
14,0,0,0,1,51,"yes",0.52,0.063,5.75574,1
16,0,0,0,1,52,"yes",0.386,0.038,6.24222,10
21,0,0,0,1,57,"yes",0.52,0.114,5.15906,21
4,0,0,0,1,32,"yes",0.52,0.066,5.70378,11
22,0,0,0,1,46,"no",0.209,0.021,6.85435,0
16,0,0,0,1,20,"no",0.52,0.125,5.06259,0
20,0,0,0,1,47,"yes",0.335,0.033,6.38519,27
5,1,0,0,0,26,"yes",0.52,0.1,5.28827,0
11,0,0,0,1,26,"no",0.52,0.1,5.28827,2
1,1,0,0,0,37,"no",0.5,0.15,5.46806,4
2,0,0,1,0,32,"no",0.34,0.102,6.24222,0
5,0,0,0,1,50,"no",0.5,0.15,5.64897,3
3,1,0,0,0,27,"yes",0.491,0.147,5.87493,2
16,0,1,0,0,46,"yes",0.325,0.098,6.286,3
1,1,0,0,0,39,"no",0.5,0.15,5.06259,0
16,1,0,0,0,37,"yes",0.221,0.066,6.67203,3
2,0,1,0,0,36,"no",0.5,0.15,5.39816,0
1,1,0,0,0,44,"no",0.368,0.111,6.16121,10
11,0,0,0,0,53,"no",0.443,0.089,5.75574,1
