"neuroticism","extraversion","sex","volunteer"
7,16,"female","yes"
11,9,"male","yes"
13,12,"male","yes"
21,12,"female","yes"
20,3,"female","yes"
20,4,"male","yes"
16,4,"male","yes"
5,4,"female","yes"
16,8,"female","yes"
4,9,"male","yes"
17,7,"male","yes"
3,10,"female","yes"
17,17,"female","yes"
16,18,"female","yes"
15,6,"female","yes"
5,17,"male","yes"
21,3,"male","yes"
17,5,"female","yes"
5,17,"male","yes"
15,8,"male","yes"
3,3,"male","yes"
18,17,"female","yes"
15,19,"female","yes"
5,7,"male","yes"
15,4,"male","yes"
17,8,"female","yes"
17,4,"male","yes"
3,3,"male","yes"
17,18,"female","yes"
5,7,"female","yes"
5,18,"male","yes"
7,2,"female","yes"
15,18,"male","yes"
15,7,"male","yes"
20,7,"female","yes"
16,19,"male","yes"
4,17,"male","yes"
4,17,"male","yes"
16,18,"male","yes"
17,6,"female","yes"
18,17,"female","yes"
17,19,"female","yes"
6,19,"male","yes"
3,20,"male","yes"
4,22,"female","yes"
5,18,"male","yes"
18,6,"male","yes"
19,5,"male","yes"
18,9,"female","yes"
18,8,"female","yes"
19,8,"male","yes"
19,6,"female","yes"
16,6,"female","yes"
6,9,"female","yes"
3,10,"female","yes"
7,19,"male","yes"
7,20,"male","yes"
7,18,"female","yes"
3,17,"male","yes"
17,17,"female","yes"
17,4,"male","yes"
3,8,"male","yes"
19,9,"female","yes"
2,6,"female","yes"
20,16,"female","yes"
2,19,"male","yes"
4,9,"female","yes"
7,19,"female","yes"
17,18,"female","yes"
19,17,"female","yes"
4,20,"male","yes"
7,7,"male","yes"
4,10,"female","yes"
5,10,"male","yes"
8,4,"female","yes"
8,8,"male","yes"
19,20,"female","yes"
15,20,"male","yes"
