"HomeTeam","AwayTeam","HomeGoals","AwayGoals","Round","Year","Date"
"1. FC Koeln","Tennis Borussia Berlin",8,4,23,1976,1977-02-26 09:30:00
"Bayern Muenchen","VfL Bochum",1,1,23,1976,1977-02-26 09:30:00
"Eintracht Frankfurt","Karlsruher SC",3,2,24,1976,1977-03-05 09:30:00
"Rot-Weiss Essen","Borussia Moenchengladbach",1,0,24,1976,1977-03-05 09:30:00
"1. FC Kaiserslautern","MSV Duisburg",2,0,24,1976,1977-03-05 09:30:00
"Werder Bremen","Hertha BSC Berlin",1,0,24,1976,1977-03-05 09:30:00
"Borussia Dortmund","VfL Bochum",0,2,24,1976,1977-03-05 09:30:00
"1. FC Koeln","Bayern Muenchen",3,0,24,1976,1977-03-05 09:30:00
"Tennis Borussia Berlin","Schalke 04",1,3,24,1976,1977-03-05 09:30:00
"Eintracht Braunschweig","Hamburger SV",0,1,24,1976,1977-03-05 09:30:00
"Fortuna Duesseldorf","1. FC Saarbruecken",5,1,24,1976,1977-03-05 09:30:00
"VfL Bochum","Werder Bremen",0,2,25,1976,1977-03-12 09:30:00
"Hertha BSC Berlin","1. FC Kaiserslautern",2,0,25,1976,1977-03-12 09:30:00
"MSV Duisburg","Rot-Weiss Essen",4,0,25,1976,1977-03-12 09:30:00
"Borussia Moenchengladbach","Eintracht Frankfurt",1,3,25,1976,1977-03-12 09:30:00
"Karlsruher SC","Fortuna Duesseldorf",1,1,25,1976,1977-03-12 09:30:00
"1. FC Saarbruecken","Eintracht Braunschweig",1,2,25,1976,1977-03-12 09:30:00
"Hamburger SV","Tennis Borussia Berlin",2,1,25,1976,1977-03-12 09:30:00
"Schalke 04","1. FC Koeln",1,1,25,1976,1977-03-12 09:30:00
"Bayern Muenchen","Borussia Dortmund",1,2,25,1976,1977-03-12 09:30:00
"1. FC Kaiserslautern","VfL Bochum",2,0,26,1976,1977-03-18 14:00:00
"Werder Bremen","Borussia Dortmund",3,0,26,1976,1977-03-18 14:00:00
"Eintracht Frankfurt","MSV Duisburg",3,1,26,1976,1977-03-19 09:30:00
"Rot-Weiss Essen","Hertha BSC Berlin",2,2,26,1976,1977-03-19 09:30:00
"Schalke 04","Bayern Muenchen",0,0,26,1976,1977-03-19 09:30:00
"1. FC Koeln","Hamburger SV",3,3,26,1976,1977-03-19 09:30:00
"Tennis Borussia Berlin","1. FC Saarbruecken",1,1,26,1976,1977-03-19 09:30:00
"Eintracht Braunschweig","Karlsruher SC",3,3,26,1976,1977-03-19 09:30:00
"Fortuna Duesseldorf","Borussia Moenchengladbach",0,1,26,1976,1977-03-19 09:30:00
"Borussia Dortmund","1. FC Kaiserslautern",5,2,27,1976,1977-03-26 09:30:00
"VfL Bochum","Rot-Weiss Essen",2,1,27,1976,1977-03-26 09:30:00
"Hertha BSC Berlin","Eintracht Frankfurt",2,3,27,1976,1977-03-26 09:30:00
"MSV Duisburg","Fortuna Duesseldorf",1,0,27,1976,1977-03-26 09:30:00
"Borussia Moenchengladbach","Eintracht Braunschweig",1,1,27,1976,1977-03-26 09:30:00
"Karlsruher SC","Tennis Borussia Berlin",4,1,27,1976,1977-03-26 09:30:00
"1. FC Saarbruecken","1. FC Koeln",3,1,27,1976,1977-03-26 09:30:00
"Hamburger SV","Schalke 04",2,2,27,1976,1977-03-26 09:30:00
"Bayern Muenchen","Werder Bremen",1,0,27,1976,1977-03-26 09:30:00
"1. FC Kaiserslautern","Werder Bremen",4,2,28,1976,1977-04-01 14:00:00
"Hamburger SV","Bayern Muenchen",5,0,28,1976,1977-04-01 14:00:00
"1. FC Koeln","Karlsruher SC",4,1,28,1976,1977-04-01 14:00:00
"Eintracht Frankfurt","VfL Bochum",2,2,28,1976,1977-04-02 09:30:00
"Rot-Weiss Essen","Borussia Dortmund",1,5,28,1976,1977-04-02 09:30:00
"Schalke 04","1. FC Saarbruecken",0,1,28,1976,1977-04-02 09:30:00
"Tennis Borussia Berlin","Borussia Moenchengladbach",0,1,28,1976,1977-04-02 09:30:00
"Eintracht Braunschweig","MSV Duisburg",1,1,28,1976,1977-04-02 09:30:00
"Fortuna Duesseldorf","Hertha BSC Berlin",2,3,28,1976,1977-04-02 09:30:00
"MSV Duisburg","Tennis Borussia Berlin",1,1,29,1976,1977-04-07 14:00:00
"Bayern Muenchen","1. FC Kaiserslautern",3,0,29,1976,1977-04-07 14:00:00
"Karlsruher SC","Schalke 04",1,7,29,1976,1977-04-09 09:30:00
"Werder Bremen","Rot-Weiss Essen",3,1,29,1976,1977-04-12 14:00:00
"Borussia Dortmund","Eintracht Frankfurt",2,2,29,1976,1977-04-12 14:00:00
"VfL Bochum","Fortuna Duesseldorf",1,2,29,1976,1977-04-12 14:00:00
"Hertha BSC Berlin","Eintracht Braunschweig",2,1,29,1976,1977-04-12 14:00:00
"Borussia Moenchengladbach","1. FC Koeln",3,1,29,1976,1977-04-12 14:00:00
"1. FC Saarbruecken","Hamburger SV",3,2,29,1976,1977-04-12 14:00:00
"Rot-Weiss Essen","1. FC Kaiserslautern",3,2,30,1976,1977-04-15 14:00:00
"Fortuna Duesseldorf","Borussia Dortmund",3,2,30,1976,1977-04-15 14:00:00
"Eintracht Frankfurt","Werder Bremen",7,1,30,1976,1977-04-16 09:30:00
"1. FC Saarbruecken","Bayern Muenchen",6,1,30,1976,1977-04-16 09:30:00
"Hamburger SV","Karlsruher SC",2,1,30,1976,1977-04-16 09:30:00
"Schalke 04","Borussia Moenchengladbach",1,0,30,1976,1977-04-16 09:30:00
"1. FC Koeln","MSV Duisburg",5,2,30,1976,1977-04-16 09:30:00
"Tennis Borussia Berlin","Hertha BSC Berlin",2,0,30,1976,1977-04-16 09:30:00
"Eintracht Braunschweig","VfL Bochum",2,0,30,1976,1977-04-16 09:30:00
"1. FC Kaiserslautern","Eintracht Frankfurt",2,2,31,1976,1977-04-22 14:00:00
"Werder Bremen","Fortuna Duesseldorf",0,2,31,1976,1977-04-22 14:00:00
"VfL Bochum","Tennis Borussia Berlin",2,1,31,1976,1977-04-22 14:00:00
"Borussia Dortmund","Eintracht Braunschweig",0,0,31,1976,1977-04-23 09:30:00
"Hertha BSC Berlin","1. FC Koeln",2,4,31,1976,1977-04-23 09:30:00
"MSV Duisburg","Schalke 04",2,2,31,1976,1977-04-23 09:30:00
"Borussia Moenchengladbach","Hamburger SV",0,0,31,1976,1977-04-23 09:30:00
"Karlsruher SC","1. FC Saarbruecken",3,0,31,1976,1977-04-23 09:30:00
"Bayern Muenchen","Rot-Weiss Essen",5,1,31,1976,1977-04-23 09:30:00
"Hamburger SV","MSV Duisburg",2,0,32,1976,1977-05-06 15:00:00
"1. FC Koeln","VfL Bochum",6,1,32,1976,1977-05-06 15:00:00
"Rot-Weiss Essen","Eintracht Frankfurt",1,8,32,1976,1977-05-07 10:30:00
"1. FC Saarbruecken","Borussia Moenchengladbach",2,2,32,1976,1977-05-07 10:30:00
"Schalke 04","Hertha BSC Berlin",4,0,32,1976,1977-05-07 10:30:00
"Tennis Borussia Berlin","Borussia Dortmund",2,3,32,1976,1977-05-07 10:30:00
"Eintracht Braunschweig","Werder Bremen",0,1,32,1976,1977-05-07 10:30:00
"Fortuna Duesseldorf","1. FC Kaiserslautern",2,3,32,1976,1977-05-07 10:30:00
"Bayern Muenchen","Karlsruher SC",5,0,32,1976,1977-05-07 10:30:00
"Borussia Dortmund","1. FC Koeln",1,2,33,1976,1977-05-13 10:30:00
"Eintracht Frankfurt","Bayern Muenchen",2,1,33,1976,1977-05-14 10:30:00
"Rot-Weiss Essen","Fortuna Duesseldorf",5,3,33,1976,1977-05-14 10:30:00
"1. FC Kaiserslautern","Eintracht Braunschweig",1,3,33,1976,1977-05-14 10:30:00
"Werder Bremen","Tennis Borussia Berlin",0,0,33,1976,1977-05-14 10:30:00
"VfL Bochum","Schalke 04",1,2,33,1976,1977-05-14 10:30:00
"Hertha BSC Berlin","Hamburger SV",2,1,33,1976,1977-05-14 10:30:00
"MSV Duisburg","1. FC Saarbruecken",2,3,33,1976,1977-05-14 10:30:00
"Borussia Moenchengladbach","Karlsruher SC",5,1,33,1976,1977-05-14 10:30:00
"Karlsruher SC","MSV Duisburg",2,1,34,1976,1977-05-21 10:30:00
"1. FC Saarbruecken","Hertha BSC Berlin",1,1,34,1976,1977-05-21 10:30:00
"Hamburger SV","VfL Bochum",5,1,34,1976,1977-05-21 10:30:00
"Schalke 04","Borussia Dortmund",4,2,34,1976,1977-05-21 10:30:00
"1. FC Koeln","Werder Bremen",3,0,34,1976,1977-05-21 10:30:00
"Tennis Borussia Berlin","1. FC Kaiserslautern",4,2,34,1976,1977-05-21 10:30:00
"Eintracht Braunschweig","Rot-Weiss Essen",6,0,34,1976,1977-05-21 10:30:00
"Fortuna Duesseldorf","Eintracht Frankfurt",1,2,34,1976,1977-05-21 10:30:00
"Bayern Muenchen","Borussia Moenchengladbach",2,2,34,1976,1977-05-21 10:30:00
"Fortuna Duesseldorf","1. FC Koeln",5,1,1,1977,1977-08-06 10:30:00
"FC St. Pauli","Werder Bremen",3,1,1,1977,1977-08-06 10:30:00
"VfB Stuttgart","Bayern Muenchen",3,3,1,1977,1977-08-06 10:30:00
"1. FC Kaiserslautern","Eintracht Braunschweig",2,1,1,1977,1977-08-06 10:30:00
"Eintracht Frankfurt","1. FC Saarbruecken",4,0,1,1977,1977-08-06 10:30:00
"TSV 1860 Muenchen","Schalke 04",0,0,1,1977,1977-08-06 10:30:00
"MSV Duisburg","Hamburger SV",5,2,1,1977,1977-08-06 10:30:00
"Hertha BSC Berlin","Borussia Dortmund",3,1,1,1977,1977-08-06 10:30:00
"VfL Bochum","Borussia Moenchengladbach",0,0,1,1977,1977-08-06 10:30:00
"Schalke 04","Eintracht Frankfurt",3,2,2,1977,1977-08-12 15:00:00
"Werder Bremen","Fortuna Duesseldorf",2,1,2,1977,1977-08-12 15:00:00
"Hamburger SV","TSV 1860 Muenchen",3,0,2,1977,1977-08-13 10:30:00
"1. FC Saarbruecken","1. FC Kaiserslautern",3,3,2,1977,1977-08-13 10:30:00
"Eintracht Braunschweig","VfB Stuttgart",3,1,2,1977,1977-08-13 10:30:00
"Bayern Muenchen","FC St. Pauli",4,2,2,1977,1977-08-13 10:30:00
"1. FC Koeln","VfL Bochum",2,1,2,1977,1977-08-13 10:30:00
"Borussia Moenchengladbach","Hertha BSC Berlin",2,1,2,1977,1977-08-13 10:30:00
"Borussia Dortmund","MSV Duisburg",2,1,2,1977,1977-09-20 15:00:00
"1. FC Kaiserslautern","Schalke 04",0,0,3,1977,1977-08-16 15:00:00
"1. FC Koeln","Werder Bremen",7,2,3,1977,1977-08-17 15:00:00
"Fortuna Duesseldorf","Bayern Muenchen",4,2,3,1977,1977-08-17 15:00:00
"FC St. Pauli","Eintracht Braunschweig",0,1,3,1977,1977-08-17 15:00:00
"VfB Stuttgart","1. FC Saarbruecken",1,0,3,1977,1977-08-17 15:00:00
"Eintracht Frankfurt","Hamburger SV",0,2,3,1977,1977-08-17 15:00:00
"TSV 1860 Muenchen","Borussia Dortmund",0,2,3,1977,1977-08-17 15:00:00
"MSV Duisburg","Borussia Moenchengladbach",1,1,3,1977,1977-08-17 15:00:00
"VfL Bochum","Hertha BSC Berlin",5,0,3,1977,1977-08-17 15:00:00
"Werder Bremen","VfL Bochum",1,0,4,1977,1977-08-26 15:00:00
"Borussia Dortmund","Eintracht Frankfurt",0,2,4,1977,1977-08-27 10:30:00
"Hamburger SV","1. FC Kaiserslautern",3,1,4,1977,1977-08-27 10:30:00
"Schalke 04","VfB Stuttgart",3,1,4,1977,1977-08-27 10:30:00
"1. FC Saarbruecken","FC St. Pauli",4,0,4,1977,1977-08-27 10:30:00
"Eintracht Braunschweig","Fortuna Duesseldorf",2,0,4,1977,1977-08-27 10:30:00
"Bayern Muenchen","1. FC Koeln",0,3,4,1977,1977-08-27 10:30:00
"Hertha BSC Berlin","MSV Duisburg",2,2,4,1977,1977-08-27 10:30:00
"Borussia Moenchengladbach","TSV 1860 Muenchen",2,1,4,1977,1977-08-27 10:30:00
"1. FC Kaiserslautern","Borussia Dortmund",4,0,5,1977,1977-08-30 15:00:00
"Werder Bremen","Bayern Muenchen",1,1,5,1977,1977-08-31 15:00:00
"1. FC Koeln","Eintracht Braunschweig",6,0,5,1977,1977-08-31 15:00:00
"FC St. Pauli","Schalke 04",1,1,5,1977,1977-08-31 15:00:00
"VfB Stuttgart","Hamburger SV",1,2,5,1977,1977-08-31 15:00:00
"Eintracht Frankfurt","Borussia Moenchengladbach",4,2,5,1977,1977-08-31 15:00:00
"TSV 1860 Muenchen","Hertha BSC Berlin",2,3,5,1977,1977-08-31 15:00:00
"VfL Bochum","MSV Duisburg",1,2,5,1977,1977-08-31 15:00:00
"Fortuna Duesseldorf","1. FC Saarbruecken",2,1,5,1977,1977-09-13 15:00:00
"Borussia Dortmund","VfB Stuttgart",4,1,6,1977,1977-09-03 10:30:00
"Hamburger SV","FC St. Pauli",0,2,6,1977,1977-09-03 10:30:00
"Schalke 04","Fortuna Duesseldorf",1,0,6,1977,1977-09-03 10:30:00
"1. FC Saarbruecken","1. FC Koeln",1,0,6,1977,1977-09-03 10:30:00
"Eintracht Braunschweig","Werder Bremen",2,0,6,1977,1977-09-03 10:30:00
"Bayern Muenchen","VfL Bochum",1,1,6,1977,1977-09-03 10:30:00
"MSV Duisburg","TSV 1860 Muenchen",1,1,6,1977,1977-09-03 10:30:00
"Hertha BSC Berlin","Eintracht Frankfurt",2,0,6,1977,1977-09-03 10:30:00
"Borussia Moenchengladbach","1. FC Kaiserslautern",2,2,6,1977,1977-09-03 10:30:00
"Werder Bremen","1. FC Saarbruecken",1,1,7,1977,1977-09-09 15:00:00
"Eintracht Frankfurt","MSV Duisburg",3,1,7,1977,1977-09-09 15:00:00
"Bayern Muenchen","Eintracht Braunschweig",3,2,7,1977,1977-09-10 10:30:00
"1. FC Koeln","Schalke 04",2,4,7,1977,1977-09-10 10:30:00
"Fortuna Duesseldorf","Hamburger SV",3,1,7,1977,1977-09-10 10:30:00
"FC St. Pauli","Borussia Dortmund",3,6,7,1977,1977-09-10 10:30:00
"VfB Stuttgart","Borussia Moenchengladbach",2,0,7,1977,1977-09-10 10:30:00
"1. FC Kaiserslautern","Hertha BSC Berlin",2,0,7,1977,1977-09-10 10:30:00
"VfL Bochum","TSV 1860 Muenchen",2,0,7,1977,1977-09-10 10:30:00
"MSV Duisburg","1. FC Kaiserslautern",3,2,8,1977,1977-09-16 15:00:00
"Borussia Dortmund","Fortuna Duesseldorf",1,2,8,1977,1977-09-17 10:30:00
"Hamburger SV","1. FC Koeln",1,0,8,1977,1977-09-17 10:30:00
"Schalke 04","Werder Bremen",1,0,8,1977,1977-09-17 10:30:00
"1. FC Saarbruecken","Bayern Muenchen",2,1,8,1977,1977-09-17 10:30:00
"Eintracht Braunschweig","VfL Bochum",3,1,8,1977,1977-09-17 10:30:00
"TSV 1860 Muenchen","Eintracht Frankfurt",2,4,8,1977,1977-09-17 10:30:00
"Hertha BSC Berlin","VfB Stuttgart",1,1,8,1977,1977-09-17 10:30:00
"Borussia Moenchengladbach","FC St. Pauli",2,1,8,1977,1977-09-17 10:30:00
"VfB Stuttgart","MSV Duisburg",1,0,9,1977,1977-09-23 15:00:00
"Eintracht Braunschweig","1. FC Saarbruecken",3,0,9,1977,1977-09-24 10:30:00
"Bayern Muenchen","Schalke 04",7,1,9,1977,1977-09-24 10:30:00
"Werder Bremen","Hamburger SV",1,2,9,1977,1977-09-24 10:30:00
"1. FC Koeln","Borussia Dortmund",4,1,9,1977,1977-09-24 10:30:00
"Fortuna Duesseldorf","Borussia Moenchengladbach",1,3,9,1977,1977-09-24 10:30:00
"FC St. Pauli","Hertha BSC Berlin",3,0,9,1977,1977-09-24 10:30:00
"1. FC Kaiserslautern","TSV 1860 Muenchen",1,0,9,1977,1977-09-24 10:30:00
"VfL Bochum","Eintracht Frankfurt",0,1,9,1977,1977-09-24 10:30:00
"Borussia Dortmund","Werder Bremen",4,1,10,1977,1977-09-30 15:00:00
"1. FC Saarbruecken","VfL Bochum",0,1,10,1977,1977-09-30 15:00:00
"MSV Duisburg","FC St. Pauli",4,3,10,1977,1977-09-30 15:00:00
"Hamburger SV","Bayern Muenchen",2,2,10,1977,1977-10-01 10:30:00
"Schalke 04","Eintracht Braunschweig",1,0,10,1977,1977-10-01 10:30:00
"Eintracht Frankfurt","1. FC Kaiserslautern",1,3,10,1977,1977-10-01 10:30:00
"TSV 1860 Muenchen","VfB Stuttgart",1,2,10,1977,1977-10-01 10:30:00
"Hertha BSC Berlin","Fortuna Duesseldorf",0,0,10,1977,1977-10-01 10:30:00
"Borussia Moenchengladbach","1. FC Koeln",2,5,10,1977,1977-10-01 10:30:00
"1. FC Saarbruecken","Schalke 04",2,1,11,1977,1977-10-12 15:00:00
"Eintracht Braunschweig","Hamburger SV",4,0,11,1977,1977-10-12 15:00:00
"Bayern Muenchen","Borussia Dortmund",3,0,11,1977,1977-10-12 15:00:00
"Werder Bremen","Borussia Moenchengladbach",3,2,11,1977,1977-10-12 15:00:00
"1. FC Koeln","Hertha BSC Berlin",3,1,11,1977,1977-10-12 15:00:00
"Fortuna Duesseldorf","MSV Duisburg",0,0,11,1977,1977-10-12 15:00:00
"FC St. Pauli","TSV 1860 Muenchen",4,1,11,1977,1977-10-12 15:00:00
"VfB Stuttgart","Eintracht Frankfurt",2,1,11,1977,1977-10-12 15:00:00
"VfL Bochum","1. FC Kaiserslautern",0,1,11,1977,1977-10-12 15:00:00
"Borussia Dortmund","Eintracht Braunschweig",2,0,12,1977,1977-10-22 10:30:00
"Hamburger SV","1. FC Saarbruecken",1,2,12,1977,1977-10-22 10:30:00
"Schalke 04","VfL Bochum",3,1,12,1977,1977-10-22 10:30:00
"1. FC Kaiserslautern","VfB Stuttgart",0,4,12,1977,1977-10-22 10:30:00
"Eintracht Frankfurt","FC St. Pauli",5,2,12,1977,1977-10-22 10:30:00
"TSV 1860 Muenchen","Fortuna Duesseldorf",0,1,12,1977,1977-10-22 10:30:00
"MSV Duisburg","1. FC Koeln",1,2,12,1977,1977-10-22 10:30:00
"Hertha BSC Berlin","Werder Bremen",2,0,12,1977,1977-10-22 10:30:00
"Borussia Moenchengladbach","Bayern Muenchen",2,0,12,1977,1977-10-22 10:30:00
"Schalke 04","Hamburger SV",2,2,13,1977,1977-10-29 10:30:00
"1. FC Saarbruecken","Borussia Dortmund",2,2,13,1977,1977-10-29 10:30:00
"Eintracht Braunschweig","Borussia Moenchengladbach",0,6,13,1977,1977-10-29 10:30:00
"Bayern Muenchen","Hertha BSC Berlin",0,2,13,1977,1977-10-29 10:30:00
"Werder Bremen","MSV Duisburg",4,2,13,1977,1977-10-29 10:30:00
"1. FC Koeln","TSV 1860 Muenchen",6,2,13,1977,1977-10-29 10:30:00
"Fortuna Duesseldorf","Eintracht Frankfurt",2,1,13,1977,1977-10-29 10:30:00
"FC St. Pauli","1. FC Kaiserslautern",0,3,13,1977,1977-10-29 10:30:00
"VfL Bochum","VfB Stuttgart",1,0,13,1977,1977-10-29 10:30:00
"1. FC Kaiserslautern","Fortuna Duesseldorf",3,2,14,1977,1977-11-04 09:30:00
"Borussia Dortmund","Schalke 04",2,1,14,1977,1977-11-05 09:30:00
"Hamburger SV","VfL Bochum",3,1,14,1977,1977-11-05 09:30:00
"VfB Stuttgart","FC St. Pauli",1,0,14,1977,1977-11-05 09:30:00
"Eintracht Frankfurt","1. FC Koeln",2,2,14,1977,1977-11-05 09:30:00
"TSV 1860 Muenchen","Werder Bremen",0,0,14,1977,1977-11-05 09:30:00
"MSV Duisburg","Bayern Muenchen",6,3,14,1977,1977-11-05 09:30:00
"Hertha BSC Berlin","Eintracht Braunschweig",1,0,14,1977,1977-11-05 09:30:00
"Borussia Moenchengladbach","1. FC Saarbruecken",6,1,14,1977,1977-11-05 09:30:00
"Borussia Dortmund","Hamburger SV",2,1,15,1977,1977-11-12 09:30:00
"Schalke 04","Borussia Moenchengladbach",1,2,15,1977,1977-11-12 09:30:00
"1. FC Saarbruecken","Hertha BSC Berlin",2,2,15,1977,1977-11-12 09:30:00
"Eintracht Braunschweig","MSV Duisburg",1,0,15,1977,1977-11-12 09:30:00
"Bayern Muenchen","TSV 1860 Muenchen",1,3,15,1977,1977-11-12 09:30:00
"Werder Bremen","Eintracht Frankfurt",3,0,15,1977,1977-11-12 09:30:00
"1. FC Koeln","1. FC Kaiserslautern",4,1,15,1977,1977-11-12 09:30:00
"Fortuna Duesseldorf","VfB Stuttgart",1,0,15,1977,1977-11-12 09:30:00
"FC St. Pauli","VfL Bochum",1,1,15,1977,1977-11-12 09:30:00
"1. FC Kaiserslautern","Werder Bremen",2,1,16,1977,1977-11-25 14:00:00
"MSV Duisburg","1. FC Saarbruecken",5,0,16,1977,1977-11-25 14:00:00
"FC St. Pauli","Fortuna Duesseldorf",2,1,16,1977,1977-11-26 09:30:00
"VfB Stuttgart","1. FC Koeln",3,0,16,1977,1977-11-26 09:30:00
"Eintracht Frankfurt","Bayern Muenchen",4,0,16,1977,1977-11-26 09:30:00
"TSV 1860 Muenchen","Eintracht Braunschweig",1,0,16,1977,1977-11-26 09:30:00
"Hertha BSC Berlin","Schalke 04",2,1,16,1977,1977-11-26 09:30:00
"Borussia Moenchengladbach","Hamburger SV",2,1,16,1977,1977-11-26 09:30:00
"VfL Bochum","Borussia Dortmund",1,0,16,1977,1977-11-26 09:30:00
"Borussia Dortmund","Borussia Moenchengladbach",3,3,17,1977,1977-12-03 09:30:00
"Hamburger SV","Hertha BSC Berlin",2,2,17,1977,1977-12-03 09:30:00
"Schalke 04","MSV Duisburg",0,1,17,1977,1977-12-03 09:30:00
"1. FC Saarbruecken","TSV 1860 Muenchen",1,1,17,1977,1977-12-03 09:30:00
"Eintracht Braunschweig","Eintracht Frankfurt",1,1,17,1977,1977-12-03 09:30:00
"Bayern Muenchen","1. FC Kaiserslautern",4,2,17,1977,1977-12-03 09:30:00
"Werder Bremen","VfB Stuttgart",0,1,17,1977,1977-12-03 09:30:00
"1. FC Koeln","FC St. Pauli",4,1,17,1977,1977-12-03 09:30:00
"Fortuna Duesseldorf","VfL Bochum",1,1,17,1977,1977-12-03 09:30:00
"Borussia Moenchengladbach","VfL Bochum",2,2,18,1977,1977-12-09 14:00:00
"Borussia Dortmund","Hertha BSC Berlin",1,1,18,1977,1977-12-10 09:30:00
"Hamburger SV","MSV Duisburg",4,1,18,1977,1977-12-10 09:30:00
"Schalke 04","TSV 1860 Muenchen",2,1,18,1977,1977-12-10 09:30:00
"1. FC Saarbruecken","Eintracht Frankfurt",0,0,18,1977,1977-12-10 09:30:00
"Eintracht Braunschweig","1. FC Kaiserslautern",3,1,18,1977,1977-12-10 09:30:00
"Bayern Muenchen","VfB Stuttgart",2,0,18,1977,1977-12-10 09:30:00
"Werder Bremen","FC St. Pauli",4,0,18,1977,1977-12-10 09:30:00
"1. FC Koeln","Fortuna Duesseldorf",1,0,18,1977,1977-12-10 09:30:00
"Fortuna Duesseldorf","Werder Bremen",2,0,19,1977,1977-12-17 09:30:00
"FC St. Pauli","Bayern Muenchen",0,0,19,1977,1977-12-17 09:30:00
"VfB Stuttgart","Eintracht Braunschweig",5,0,19,1977,1977-12-17 09:30:00
"1. FC Kaiserslautern","1. FC Saarbruecken",2,1,19,1977,1977-12-17 09:30:00
"Eintracht Frankfurt","Schalke 04",3,0,19,1977,1977-12-17 09:30:00
"TSV 1860 Muenchen","Hamburger SV",2,2,19,1977,1977-12-17 09:30:00
"MSV Duisburg","Borussia Dortmund",1,2,19,1977,1977-12-17 09:30:00
"Hertha BSC Berlin","Borussia Moenchengladbach",2,1,19,1977,1977-12-17 09:30:00
"VfL Bochum","1. FC Koeln",0,0,19,1977,1977-12-17 09:30:00
"Borussia Dortmund","TSV 1860 Muenchen",1,3,20,1977,1978-01-07 09:30:00
"Hamburger SV","Eintracht Frankfurt",0,0,20,1977,1978-01-07 09:30:00
"Schalke 04","1. FC Kaiserslautern",3,0,20,1977,1978-01-07 09:30:00
"1. FC Saarbruecken","VfB Stuttgart",1,1,20,1977,1978-01-07 09:30:00
"Eintracht Braunschweig","FC St. Pauli",2,0,20,1977,1978-01-07 09:30:00
"Bayern Muenchen","Fortuna Duesseldorf",0,0,20,1977,1978-01-07 09:30:00
"Werder Bremen","1. FC Koeln",0,2,20,1977,1978-01-07 09:30:00
"Hertha BSC Berlin","VfL Bochum",4,3,20,1977,1978-01-07 09:30:00
"Borussia Moenchengladbach","MSV Duisburg",1,3,20,1977,1978-01-07 09:30:00
"1. FC Koeln","Bayern Muenchen",2,0,21,1977,1978-01-14 09:30:00
"Fortuna Duesseldorf","Eintracht Braunschweig",2,0,21,1977,1978-01-14 09:30:00
"FC St. Pauli","1. FC Saarbruecken",1,3,21,1977,1978-01-14 09:30:00
"VfB Stuttgart","Schalke 04",6,1,21,1977,1978-01-14 09:30:00
"1. FC Kaiserslautern","Hamburger SV",3,0,21,1977,1978-01-14 09:30:00
"Eintracht Frankfurt","Borussia Dortmund",2,1,21,1977,1978-01-14 09:30:00
"TSV 1860 Muenchen","Borussia Moenchengladbach",1,1,21,1977,1978-01-14 09:30:00
"MSV Duisburg","Hertha BSC Berlin",2,1,21,1977,1978-01-14 09:30:00
"VfL Bochum","Werder Bremen",2,0,21,1977,1978-01-14 09:30:00
"Borussia Dortmund","1. FC Kaiserslautern",4,0,22,1977,1978-01-21 09:30:00
"Hamburger SV","VfB Stuttgart",2,0,22,1977,1978-01-21 09:30:00
"Schalke 04","FC St. Pauli",4,1,22,1977,1978-01-21 09:30:00
"1. FC Saarbruecken","Fortuna Duesseldorf",1,1,22,1977,1978-01-21 09:30:00
"Eintracht Braunschweig","1. FC Koeln",1,0,22,1977,1978-01-21 09:30:00
"Bayern Muenchen","Werder Bremen",3,1,22,1977,1978-01-21 09:30:00
"MSV Duisburg","VfL Bochum",0,0,22,1977,1978-01-21 09:30:00
"Hertha BSC Berlin","TSV 1860 Muenchen",4,1,22,1977,1978-01-21 09:30:00
"Borussia Moenchengladbach","Eintracht Frankfurt",2,0,22,1977,1978-01-21 09:30:00
"Werder Bremen","Eintracht Braunschweig",2,1,23,1977,1978-01-28 09:30:00
"1. FC Koeln","1. FC Saarbruecken",3,1,23,1977,1978-01-28 09:30:00
"Fortuna Duesseldorf","Schalke 04",1,1,23,1977,1978-01-28 09:30:00
"FC St. Pauli","Hamburger SV",2,3,23,1977,1978-01-28 09:30:00
"VfB Stuttgart","Borussia Dortmund",4,1,23,1977,1978-01-28 09:30:00
"1. FC Kaiserslautern","Borussia Moenchengladbach",0,3,23,1977,1978-01-28 09:30:00
"Eintracht Frankfurt","Hertha BSC Berlin",0,5,23,1977,1978-01-28 09:30:00
"TSV 1860 Muenchen","MSV Duisburg",4,0,23,1977,1978-01-28 09:30:00
"VfL Bochum","Bayern Muenchen",2,1,23,1977,1978-01-28 09:30:00
"Borussia Dortmund","FC St. Pauli",1,1,24,1977,1978-02-04 09:30:00
"Hamburger SV","Fortuna Duesseldorf",0,3,24,1977,1978-02-04 09:30:00
"Schalke 04","1. FC Koeln",2,0,24,1977,1978-02-04 09:30:00
"1. FC Saarbruecken","Werder Bremen",1,1,24,1977,1978-02-04 09:30:00
"Eintracht Braunschweig","Bayern Muenchen",1,1,24,1977,1978-02-04 09:30:00
"TSV 1860 Muenchen","VfL Bochum",2,0,24,1977,1978-02-04 09:30:00
"MSV Duisburg","Eintracht Frankfurt",3,0,24,1977,1978-02-04 09:30:00
"Hertha BSC Berlin","1. FC Kaiserslautern",2,1,24,1977,1978-02-04 09:30:00
"Borussia Moenchengladbach","VfB Stuttgart",3,1,24,1977,1978-02-04 09:30:00
