"hours","income","age","education","child5","child13","child17","nonwhite","owned","mortgage","occupation","unemp"
1080,90,44,12,0,0,0,0,0,0,"other",6
2056,273,34,14,0,0,0,0,1,1,"swcc",5
0,477,59,12,0,0,0,0,1,1,"other",4
1733,697,36,12,0,1,0,0,1,1,"other",4
2232,178,26,12,1,0,0,0,1,1,"mp",4
2056,271,23,10,1,0,0,0,1,1,"other",4
325,313,32,12,0,3,0,0,1,1,"other",4
2070,396,26,16,0,0,0,0,0,0,"swcc",9
2500,400,51,12,0,0,0,0,1,1,"mp",5
1694,403,41,13,0,0,0,0,1,1,"mp",7
2178,280,48,17,0,0,0,0,1,1,"mp",3
0,110,38,9,0,0,2,1,1,1,"fr",3
0,140,32,12,0,2,0,1,0,0,"swcc",3
1976,293,45,15,0,0,1,0,1,1,"mp",6
682,430,39,12,0,1,0,0,1,0,"mp",6
2048,100,23,16,1,0,0,0,0,0,"swcc",10
1872,350,33,17,1,2,0,1,1,0,"other",10
2080,80,31,11,0,1,0,1,1,0,"other",5
2360,287,50,17,0,0,0,0,1,0,"other",7
1414,353,48,13,0,0,0,0,1,1,"mp",7
1916,267,40,12,0,1,1,0,1,1,"other",3
2000,460,35,16,1,1,0,0,1,1,"mp",6
1880,1000,61,12,0,0,0,0,1,0,"mp",4
0,600,37,17,1,1,0,0,1,1,"mp",6
2156,156,27,14,0,0,0,0,1,1,"mp",5
2726,185,31,14,0,0,0,0,1,1,"mp",5
3792,70,31,17,3,0,0,0,1,1,"other",6
1932,110,32,13,0,1,0,1,0,0,"other",6
1920,313,38,14,1,0,0,0,1,1,"swcc",9
0,360,30,12,1,2,0,0,1,1,"other",3
1109,433,56,12,0,0,0,0,1,1,"swcc",5
2250,259,21,14,0,0,0,0,0,0,"swcc",5
2142,233,34,12,0,0,0,0,1,1,"swcc",3
0,270,26,13,2,0,0,0,0,0,"other",6
1750,446,55,11,0,0,0,0,1,1,"mp",3
0,752,43,16,0,2,0,0,1,1,"mp",3
0,406,39,11,0,0,2,0,1,1,"other",3
2040,189,25,12,1,0,0,0,0,0,"mp",3
2208,51,24,15,0,0,0,0,0,0,"mp",5
1960,300,62,12,0,0,0,0,1,0,"mp",3
0,219,47,9,0,0,0,0,1,1,"other",3
2322,473,40,12,0,0,1,0,1,1,"mp",2
0,291,51,12,0,1,0,0,1,1,"other",8
630,270,29,12,3,0,0,0,0,0,"mp",8
0,930,35,16,1,1,0,0,1,1,"mp",4
2570,350,39,13,0,0,1,0,1,1,"mp",4
1970,61,22,13,0,0,0,0,0,0,"mp",4
0,590,43,14,0,1,0,0,1,1,"mp",4
511,320,44,14,0,2,1,0,1,1,"mp",5
2033,197,27,14,0,0,0,0,1,1,"swcc",9
390,151,23,10,2,0,0,0,0,0,"other",4
1680,280,34,12,0,2,1,0,1,1,"other",4
1120,129,29,12,2,1,0,0,0,0,"swcc",4
688,39,25,14,2,0,0,0,0,0,"other",9
0,88,39,9,0,0,0,0,1,1,"mp",9
1960,363,39,12,0,0,2,1,1,1,"other",9
0,358,48,15,0,0,0,0,1,1,"swcc",8
0,352,60,11,0,0,0,0,1,0,"swcc",4
2783,320,36,14,0,0,1,0,1,1,"swcc",4
1480,290,34,16,0,2,0,0,1,1,"mp",7
1480,185,33,12,1,0,0,0,0,0,"mp",5
1392,190,30,12,0,3,0,0,1,0,"other",7
1652,196,32,14,1,1,0,0,1,1,"other",7
1826,280,27,16,0,0,0,0,1,1,"mp",4
1600,260,49,17,0,0,0,0,1,1,"mp",7
1240,100,26,12,0,0,0,0,1,1,"mp",5
0,297,59,12,0,0,0,0,1,0,"other",6
456,242,30,14,1,2,0,0,1,1,"mp",9
1320,401,33,16,0,1,0,0,1,1,"mp",10
1882,250,28,12,1,0,0,0,0,0,"mp",5
263,254,40,12,1,3,0,0,0,0,"other",5
2683,333,31,16,0,0,0,0,0,0,"mp",5
1966,418,61,12,0,0,0,0,1,0,"mp",5
109,161,24,14,1,0,0,0,0,0,"mp",5
1920,42,28,13,0,0,0,0,0,0,"fr",5
0,265,26,13,1,0,0,0,0,0,"mp",6
856,172,52,16,0,0,0,0,1,1,"other",5
2040,71,27,16,0,0,0,0,0,0,"swcc",5
2088,1000,33,12,1,0,0,0,1,1,"mp",3
2066,188,20,12,0,0,0,0,1,1,"swcc",4
1560,178,28,12,0,3,0,0,0,0,"other",4
0,4553,45,14,0,0,1,0,1,0,"mp",3
1730,1087,49,12,0,0,0,0,1,1,"mp",3
1408,211,35,10,0,0,1,1,1,1,"other",6
1912,290,39,12,0,1,2,0,1,1,"swcc",6
2100,136,43,12,0,0,0,0,1,1,"swcc",5
2003,400,21,12,0,0,0,0,0,0,"mp",3
780,324,23,14,0,0,0,0,1,1,"mp",10
2000,360,43,12,0,0,0,0,1,0,"mp",5
250,2221,43,16,0,1,2,0,1,1,"mp",5
816,700,37,16,0,3,0,0,1,1,"mp",4
1387,423,40,16,0,1,1,0,1,1,"fr",5
0,713,31,17,2,0,0,0,1,1,"mp",3
0,470,28,13,1,0,0,0,1,1,"mp",3
0,186,62,12,0,0,0,0,1,0,"other",2
1696,181,21,12,1,0,0,0,0,0,"other",6
2568,293,40,12,0,0,2,0,1,0,"swcc",9
1503,111,21,12,1,0,0,0,0,0,"other",7
1984,40,50,12,0,1,0,0,0,0,"other",7
256,695,33,16,2,0,0,0,1,1,"mp",7
164,1608,39,17,0,2,0,0,1,1,"mp",4
0,272,64,16,0,0,0,0,1,0,"other",4
0,327,24,9,3,0,0,0,0,0,"swcc",5
2400,446,43,12,0,0,0,0,1,1,"other",5
1908,63,21,12,0,0,0,0,0,0,"other",5
2625,-73,41,15,0,0,1,0,1,1,"mp",7
2706,522,28,12,0,0,0,1,0,0,"mp",4
2071,178,21,13,0,0,0,0,1,1,"swcc",11
0,150,26,12,1,1,0,0,1,1,"other",7
1544,41,44,12,0,1,0,0,1,1,"fr",7
1491,177,30,16,0,0,0,0,1,1,"other",3
0,698,54,13,0,0,0,0,1,0,"mp",5
1744,370,41,16,0,2,0,0,1,1,"swcc",4
2000,379,41,10,0,0,0,0,1,0,"swcc",3
1214,140,21,16,1,0,0,0,1,1,"mp",2
1575,252,43,12,0,1,0,0,1,1,"swcc",3
1810,123,24,14,0,0,0,0,1,1,"other",3
694,357,47,9,0,1,0,0,1,1,"swcc",3
2070,125,22,12,0,0,0,0,1,0,"other",3
576,192,43,16,0,2,1,0,1,1,"mp",6
1276,654,42,17,0,1,1,0,1,1,"mp",5
1219,190,38,13,0,1,2,0,1,1,"mp",3
1150,208,43,12,0,1,1,0,1,0,"other",5
1920,423,56,12,0,0,0,0,1,1,"mp",5
0,480,27,12,1,0,0,0,1,1,"mp",5
1285,302,33,16,2,0,0,0,1,1,"mp",5
694,574,31,16,2,0,0,0,1,1,"mp",5
911,704,58,15,0,0,0,0,1,0,"other",5
1784,870,36,14,0,0,0,0,1,1,"swcc",5
1664,226,32,12,0,0,0,0,1,1,"swcc",6
1317,681,59,16,0,0,0,0,1,0,"mp",5
120,832,35,14,0,3,0,0,1,1,"mp",3
791,100,29,12,1,0,0,0,0,0,"other",3
1960,415,57,8,0,0,0,0,1,0,"other",5
1100,216,45,13,0,0,1,0,1,1,"mp",5
1653,231,29,12,0,0,0,0,1,1,"swcc",5
0,158,57,8,0,0,0,0,0,0,"other",5
1880,260,24,10,2,1,0,0,0,0,"other",2
0,290,22,10,1,0,0,0,0,0,"mp",4
0,309,23,11,2,0,0,0,1,1,"other",8
0,311,49,14,0,0,0,0,1,0,"other",5
2241,99,26,16,0,0,0,0,0,0,"swcc",5
1747,268,36,12,0,1,1,0,1,1,"swcc",3
2000,192,39,13,0,0,1,1,0,0,"mp",6
2040,430,34,10,0,1,1,0,1,1,"swcc",4
1266,407,41,14,1,0,1,0,1,1,"mp",2
0,177,19,14,1,0,0,0,0,0,"other",4
848,129,39,11,0,1,1,0,0,0,"other",9
2700,200,27,15,0,0,0,0,1,0,"other",9
0,606,32,17,3,1,0,0,1,1,"mp",6
2217,160,23,14,0,0,0,0,0,0,"other",9
1456,766,46,15,0,0,0,0,1,1,"mp",4
0,70,47,8,0,0,0,0,1,0,"other",8
1968,2,28,10,2,1,0,0,0,0,"other",7
88,48,59,7,0,0,1,0,0,0,"other",9
2250,264,20,12,0,0,0,0,0,0,"other",8
1280,585,46,14,0,0,0,1,1,1,"mp",7
1960,407,26,13,0,1,0,0,1,1,"swcc",7
1566,437,39,17,1,2,0,0,1,1,"mp",7
1494,310,38,16,0,2,1,0,1,0,"other",5
0,530,54,15,0,0,0,0,1,0,"swcc",8
1470,320,28,13,0,0,0,0,0,0,"swcc",7
1034,413,35,16,2,0,0,0,1,1,"mp",3
0,495,61,12,0,0,0,1,1,1,"other",3
1666,162,39,16,0,2,1,0,1,1,"mp",11
1768,254,40,17,0,2,0,1,1,1,"mp",5
0,220,21,11,2,0,1,0,1,1,"other",8
1955,284,49,12,0,0,0,0,1,0,"mp",5
2107,355,30,15,0,1,0,0,0,0,"swcc",6
1912,370,36,14,1,1,0,1,1,1,"mp",5
1750,215,22,12,0,0,0,0,1,1,"swcc",7
0,657,37,16,1,2,0,0,1,1,"swcc",3
0,280,31,15,2,0,0,0,0,0,"swcc",3
1610,383,55,12,0,0,0,0,1,1,"swcc",3
650,200,29,12,0,2,0,0,0,0,"mp",3
1112,187,28,12,1,2,0,0,1,1,"other",3
1384,340,30,15,2,0,0,0,1,1,"mp",3
1184,657,55,12,0,0,0,0,1,1,"swcc",7
94,353,30,12,0,2,0,0,1,1,"swcc",7
2048,291,41,16,0,1,0,0,1,1,"mp",4
0,527,60,12,0,0,0,0,1,0,"other",5
1960,56,33,12,1,0,0,0,1,1,"mp",5
0,315,30,12,0,2,0,0,1,1,"swcc",5
0,1063,50,16,0,0,1,0,1,1,"mp",2
1992,366,52,12,0,0,1,0,1,0,"other",2
1576,48,24,13,0,0,0,0,0,0,"swcc",4
2040,250,31,14,0,0,0,0,0,0,"mp",3
2024,113,19,12,0,0,0,0,0,0,"other",4
1501,321,39,17,0,2,0,0,1,1,"swcc",3
708,342,37,12,0,1,2,0,1,1,"swcc",4
1800,300,36,12,0,2,1,0,1,1,"mp",4
1832,461,39,12,0,0,0,0,1,1,"mp",4
2430,397,48,13,0,0,0,0,1,1,"mp",3
0,320,30,12,3,0,0,0,1,1,"mp",5
2205,437,37,12,0,1,1,0,0,0,"mp",5
0,322,30,16,1,0,0,0,1,1,"mp",5
312,570,52,12,0,1,0,0,1,1,"mp",5
1000,575,44,13,0,0,0,0,1,1,"mp",3
1408,410,41,12,0,0,0,0,1,1,"mp",4
2160,380,37,12,0,0,0,0,1,1,"mp",6
0,218,54,9,0,0,0,0,0,0,"other",6
1911,140,28,10,0,2,0,0,1,0,"swcc",6
832,69,32,11,0,1,1,0,1,1,"other",6
2103,277,35,13,0,2,0,0,1,1,"swcc",6
1912,348,34,14,0,1,1,0,1,1,"mp",6
0,232,49,11,0,0,0,0,0,0,"other",6
1556,185,37,14,0,2,1,0,1,1,"swcc",6
0,106,38,12,2,0,0,0,1,0,"other",2
0,270,24,12,1,0,0,0,1,1,"mp",2
0,91,25,12,1,0,0,0,0,0,"other",7
3060,162,27,13,0,0,0,0,0,0,"other",3
2144,290,27,11,1,1,1,0,1,1,"swcc",3
1444,108,26,12,1,0,0,0,1,1,"other",12
1912,338,39,12,0,3,2,0,1,1,"swcc",9
1152,320,54,8,2,2,1,1,1,0,"other",1
363,60,19,11,1,0,0,1,0,0,"mp",1
1831,217,38,12,0,2,0,0,0,0,"other",11
820,113,18,12,0,0,0,0,0,0,"swcc",9
1928,415,38,12,0,1,1,0,1,1,"mp",9
2450,400,26,10,1,1,0,1,1,1,"swcc",9
416,459,45,16,1,1,0,0,1,0,"swcc",9
600,210,24,9,2,0,0,0,0,0,"other",9
2352,129,55,12,0,0,0,0,1,1,"swcc",4
1430,154,24,17,0,0,0,0,0,0,"swcc",4
2340,253,38,12,0,1,2,0,1,1,"swcc",7
2050,206,31,12,1,1,0,0,1,1,"other",7
0,192,34,12,1,0,0,0,1,1,"other",7
0,440,41,12,0,0,0,0,1,0,"mp",5
1960,410,31,12,0,0,0,0,0,0,"swcc",5
0,601,56,14,0,0,0,0,0,0,"mp",5
1152,526,27,16,0,0,0,0,1,1,"swcc",4
576,600,33,17,1,0,0,0,1,1,"mp",5
0,890,37,14,1,3,0,0,1,1,"swcc",7
1428,600,34,16,2,0,0,0,1,1,"mp",6
1701,320,39,12,0,2,1,0,1,1,"mp",2
30,451,39,12,0,2,0,0,1,1,"mp",3
735,618,53,12,0,0,0,0,1,1,"fr",5
1080,110,32,14,0,2,0,0,0,0,"fr",5
390,170,25,12,0,1,0,0,0,0,"fr",5
870,247,31,16,2,0,0,0,1,1,"mp",7
1740,242,37,16,0,2,0,0,1,1,"mp",7
1638,289,27,16,0,0,0,0,0,0,"mp",10
1062,113,35,17,1,1,0,0,1,1,"fr",5
416,135,59,12,0,0,0,0,1,0,"mp",5
1734,220,28,12,1,0,0,0,1,1,"other",5
0,262,25,12,1,0,0,0,1,1,"swcc",5
0,606,49,8,0,0,0,0,1,1,"swcc",5
0,45,29,7,1,3,0,0,0,0,"other",5
60,46,22,8,2,0,0,0,0,0,"other",5
2000,88,56,9,0,0,0,0,1,0,"other",5
1656,254,35,12,0,3,1,0,1,1,"swcc",4
0,49,29,12,2,0,0,0,0,0,"other",5
2132,238,31,12,0,3,0,0,1,1,"swcc",5
2070,164,36,8,0,2,3,1,1,1,"other",10
2180,253,20,10,1,0,0,1,0,0,"other",7
1168,49,25,12,2,1,0,1,0,0,"other",10
0,354,48,11,0,0,0,0,1,1,"mp",10
0,1151,27,14,1,0,0,0,1,0,"fr",8
740,230,21,13,0,0,0,0,0,0,"swcc",11
0,335,46,14,0,0,0,0,1,1,"mp",6
2076,217,31,12,0,0,0,0,1,1,"mp",6
0,369,55,10,0,0,0,0,1,1,"other",11
600,415,38,16,0,2,0,0,1,1,"mp",5
2000,110,26,12,0,0,0,0,0,0,"other",11
0,486,58,12,0,0,0,0,1,0,"swcc",11
0,530,34,14,1,1,0,0,1,1,"swcc",11
1944,5,34,12,1,0,0,0,0,0,"other",2
2020,246,31,15,2,0,0,0,1,1,"mp",2
992,861,39,15,0,1,2,0,1,1,"mp",2
2080,412,40,16,0,1,1,0,1,1,"swcc",2
1724,198,31,12,0,0,1,0,1,1,"other",2
0,111,62,11,0,0,0,0,1,0,"mp",2
1960,157,26,12,2,0,0,0,1,1,"other",2
1480,213,29,12,2,0,0,0,1,1,"other",2
0,180,28,12,1,1,0,0,1,1,"other",2
1000,440,47,8,0,0,0,0,1,0,"other",2
357,294,54,16,0,0,1,0,1,0,"swcc",2
0,290,57,11,0,0,0,0,1,0,"mp",6
1960,284,27,13,0,0,0,0,1,1,"swcc",6
2000,590,33,12,0,0,0,0,1,0,"mp",8
344,383,35,12,0,2,0,0,1,1,"mp",8
1372,485,36,12,0,0,1,0,1,1,"swcc",6
0,750,38,16,0,1,1,0,1,1,"mp",8
1575,453,62,12,0,0,0,0,1,0,"swcc",5
1829,176,36,16,0,0,0,0,0,0,"other",4
940,277,59,12,0,0,0,0,0,0,"swcc",4
1801,635,55,12,0,0,0,0,1,1,"swcc",5
36,94,33,11,0,0,1,1,0,0,"swcc",6
0,45,55,9,0,0,0,0,1,0,"fr",5
860,311,25,12,0,1,0,0,0,0,"mp",6
2405,280,44,17,0,0,0,0,1,1,"fr",5
2061,330,23,16,0,0,0,0,0,0,"swcc",6
1095,370,29,14,0,0,0,0,0,0,"mp",4
0,363,27,12,2,0,0,0,0,0,"swcc",5
1608,109,56,12,0,0,0,0,1,1,"fr",2
312,302,37,16,1,1,0,0,1,1,"mp",7
1992,280,36,15,0,2,1,1,1,1,"mp",6
2496,490,31,12,1,1,0,1,1,1,"swcc",3
0,394,47,14,0,0,0,1,1,1,"mp",5
0,780,42,16,0,3,0,0,1,1,"swcc",4
1280,127,30,16,1,1,0,0,1,1,"fr",6
2000,285,37,12,1,1,2,0,1,1,"other",5
0,544,51,12,0,0,0,0,1,1,"mp",6
2160,346,24,16,0,0,0,0,1,1,"mp",6
2142,327,27,16,0,0,0,0,1,1,"mp",5
0,393,59,12,0,0,0,0,1,1,"swcc",4
1760,284,29,12,1,0,0,0,1,1,"other",7
0,214,61,12,0,0,0,0,1,1,"other",7
1410,289,57,16,0,0,0,0,1,1,"swcc",5
2315,464,28,16,0,0,0,0,1,1,"mp",5
1984,204,30,14,0,0,1,0,1,1,"other",6
1845,189,28,13,0,0,0,0,1,1,"swcc",6
1428,187,25,12,0,0,0,0,0,0,"swcc",6
1075,441,46,13,0,0,1,0,1,1,"swcc",6
1214,315,25,12,2,0,0,0,1,1,"swcc",10
1480,285,37,13,0,0,2,0,1,1,"swcc",8
1840,50,51,12,0,0,0,0,1,0,"other",3
1936,382,39,13,0,0,1,0,1,1,"mp",3
1453,240,40,16,0,2,0,0,0,0,"swcc",2
1435,123,38,17,1,1,0,0,1,1,"mp",3
2000,236,64,12,0,0,0,0,1,0,"mp",2
1813,272,28,16,1,0,0,0,1,1,"mp",2
1857,300,37,17,0,0,0,0,1,1,"mp",2
0,200,34,14,1,0,0,0,1,1,"mp",3
0,1116,38,17,1,1,0,0,1,1,"mp",5
0,334,32,17,1,1,0,0,1,1,"mp",3
2000,300,31,14,1,1,0,0,1,1,"other",5
0,136,59,5,0,0,0,0,1,1,"other",5
1850,545,37,17,0,2,1,0,1,1,"swcc",3
0,380,37,17,0,2,0,0,0,0,"mp",3
1836,58,24,16,0,0,0,0,0,0,"mp",6
2115,769,46,17,0,0,1,0,1,1,"mp",3
1000,815,29,15,1,0,0,0,1,1,"swcc",4
151,630,32,13,1,1,0,0,1,1,"mp",4
949,1830,54,12,0,0,0,0,1,1,"swcc",4
1141,320,34,17,0,2,0,0,1,1,"swcc",3
1468,670,34,16,1,1,0,0,1,1,"mp",5
0,401,27,13,1,0,0,0,1,1,"swcc",6
1561,485,42,12,0,0,1,0,1,1,"swcc",7
2060,165,21,12,2,0,0,0,1,1,"other",7
1764,97,59,12,0,0,0,0,1,0,"other",7
2040,65,63,8,0,0,0,0,1,0,"other",7
1902,351,25,16,2,0,0,0,1,1,"mp",3
1828,150,23,12,2,0,0,0,1,1,"other",8
1440,560,55,17,0,0,0,0,1,1,"mp",8
0,518,32,16,1,2,0,0,1,1,"mp",3
3000,60,57,12,0,0,0,0,0,0,"other",5
768,590,45,14,0,0,1,0,1,1,"swcc",2
0,130,32,12,0,2,0,0,0,0,"other",3
1816,395,57,14,0,0,0,1,1,1,"other",4
2080,240,27,13,1,0,0,1,0,0,"other",4
2120,218,46,16,0,0,0,0,1,1,"swcc",7
2073,437,56,13,0,0,3,0,1,1,"swcc",9
2562,236,25,12,0,0,0,0,0,0,"swcc",8
1853,380,42,13,0,1,0,0,1,0,"swcc",6
1825,309,43,12,0,0,0,0,1,1,"other",6
1080,670,42,12,0,0,1,0,1,1,"mp",8
2016,200,25,12,1,1,0,0,1,1,"other",3
1115,120,27,12,1,2,0,0,1,1,"mp",5
1696,304,34,11,0,1,2,0,1,1,"mp",3
0,300,30,12,2,1,0,0,1,1,"swcc",3
2362,190,27,10,0,3,0,0,1,1,"mp",3
704,226,27,12,2,0,0,0,1,1,"swcc",3
348,2340,58,17,0,0,0,0,1,1,"mp",2
0,251,58,17,0,0,0,0,1,0,"other",6
0,215,30,13,1,1,0,0,0,0,"swcc",5
0,127,61,10,0,0,0,0,1,0,"other",5
1576,369,46,11,0,0,0,0,1,0,"swcc",4
2221,184,25,12,0,0,0,0,1,1,"swcc",4
432,200,24,12,1,0,0,0,0,0,"other",9
2205,391,25,14,0,0,0,0,1,1,"mp",9
1733,225,37,12,2,1,1,0,1,1,"other",5
0,298,31,14,1,1,0,0,0,0,"mp",5
2085,430,56,17,0,0,0,0,1,1,"other",6
1780,261,36,16,0,2,0,0,1,1,"swcc",6
0,427,55,12,0,0,0,0,1,0,"swcc",6
0,752,34,15,0,2,0,0,1,1,"mp",3
0,102,41,5,0,0,0,0,1,0,"other",11
2281,137,24,12,1,0,0,0,1,1,"other",8
300,800,45,13,0,1,0,0,1,1,"mp",2
160,366,35,12,2,0,0,0,1,1,"other",4
396,131,32,12,1,2,0,0,0,0,"other",4
478,470,36,17,2,1,0,0,1,1,"mp",2
0,912,40,17,0,1,0,0,1,1,"mp",3
0,162,45,10,0,3,1,0,0,0,"other",10
1512,110,22,12,3,0,0,0,0,0,"other",10
1560,220,39,17,0,0,1,0,1,1,"mp",7
494,2099,37,16,2,1,0,0,1,1,"mp",7
0,267,34,9,0,1,1,0,1,1,"other",7
5,114,19,9,1,0,0,0,0,0,"other",7
1594,91,24,16,0,0,0,0,0,0,"mp",5
205,660,57,16,0,0,0,0,1,0,"mp",7
1378,230,30,12,1,0,0,0,1,1,"mp",7
1624,290,35,17,2,1,0,0,1,1,"mp",6
1149,270,22,11,1,0,0,0,0,0,"other",7
0,446,29,16,0,0,0,0,1,1,"swcc",7
0,307,24,11,2,0,0,0,0,0,"other",7
1816,720,32,13,1,0,0,0,1,1,"other",7
2160,46,29,16,0,0,0,0,1,0,"swcc",7
0,405,38,12,0,1,0,0,1,1,"mp",5
0,564,63,12,0,0,0,0,1,0,"other",5
1935,308,49,12,0,0,0,0,1,1,"other",5
425,280,38,12,0,1,1,0,1,1,"swcc",5
1717,188,24,12,0,0,0,0,0,0,"other",4
1400,90,23,12,0,0,0,0,0,0,"other",8
1715,215,23,13,2,0,0,1,1,1,"swcc",3
1048,290,33,16,2,1,0,1,0,0,"swcc",3
0,420,52,11,0,0,2,1,0,0,"other",3
1764,230,24,13,0,1,0,1,0,0,"other",3
0,351,47,11,0,0,0,0,1,1,"other",10
0,71,24,12,1,0,0,0,0,0,"other",10
0,232,63,12,0,0,0,0,1,0,"other",11
42,500,36,13,0,1,0,0,1,1,"swcc",11
0,625,38,17,1,1,0,0,1,1,"mp",6
962,280,38,12,0,1,0,0,1,1,"swcc",6
1890,300,26,16,0,0,0,0,0,0,"mp",3
1923,412,28,12,1,0,0,0,1,1,"swcc",6
1023,609,54,16,0,0,0,0,1,0,"mp",3
2080,309,26,14,0,0,0,0,1,1,"swcc",6
1750,255,38,14,1,0,1,0,1,1,"mp",6
0,336,41,16,0,3,2,0,1,1,"other",5
0,172,56,15,0,0,0,0,1,0,"other",4
0,840,59,17,0,0,0,1,1,1,"mp",4
1388,325,35,16,0,2,2,1,1,0,"swcc",5
2310,91,24,14,0,0,0,1,0,0,"other",7
0,207,60,12,0,0,0,0,1,0,"swcc",5
725,345,34,16,3,0,0,0,1,1,"swcc",5
290,221,31,12,2,1,0,0,1,1,"mp",5
1584,326,42,15,0,0,0,1,1,1,"mp",6
1848,122,27,12,1,0,0,0,0,0,"swcc",8
0,520,39,17,1,2,0,0,1,1,"mp",7
0,355,58,11,0,0,0,0,1,0,"other",7
0,281,35,12,0,2,0,0,1,1,"swcc",7
0,277,37,11,0,0,2,0,1,1,"mp",7
1972,101,27,12,1,0,0,0,1,0,"swcc",4
1586,69,61,12,0,0,0,0,1,0,"other",4
1702,122,27,12,2,0,0,0,1,1,"other",4
2040,135,24,12,0,0,0,0,0,0,"swcc",8
0,380,51,12,0,0,0,0,1,0,"fr",5
520,220,33,13,1,2,0,0,1,1,"swcc",2
1553,200,44,12,0,0,0,0,1,0,"swcc",2
0,332,23,12,1,0,0,0,1,1,"swcc",2
988,203,43,14,0,0,0,0,0,0,"swcc",7
1319,124,21,12,1,0,0,0,0,0,"swcc",9
854,327,42,12,0,0,0,0,1,0,"swcc",9
1660,189,23,12,0,0,0,0,1,1,"swcc",9
1840,172,21,12,0,0,0,0,0,0,"swcc",7
2480,366,40,12,0,0,2,0,1,1,"other",7
1470,354,41,13,0,2,0,0,1,1,"mp",8
0,255,39,10,0,0,1,0,1,0,"swcc",8
2379,586,46,16,0,0,1,0,1,1,"mp",6
1944,462,30,12,0,0,0,0,1,1,"other",6
0,313,62,17,0,0,0,0,1,0,"other",6
0,616,38,17,1,1,0,0,1,1,"mp",7
552,713,41,17,0,1,0,0,1,0,"mp",5
2250,2700,36,17,0,0,0,0,1,1,"mp",6
1388,584,41,12,0,1,0,0,1,0,"swcc",9
0,836,49,16,0,0,0,0,1,1,"mp",4
2560,292,25,16,1,0,0,0,0,0,"mp",5
2420,455,36,16,2,0,0,0,1,1,"mp",5
1242,368,30,16,2,0,0,0,1,1,"mp",4
1528,800,41,17,1,0,0,0,1,1,"mp",2
2480,0,26,16,0,0,0,0,0,0,"mp",5
2080,210,33,12,0,0,0,0,0,0,"swcc",5
1960,142,35,16,2,0,0,0,1,1,"mp",4
2400,458,39,12,0,0,1,0,1,1,"mp",4
2000,260,48,13,0,0,0,0,0,0,"swcc",3
2074,249,33,16,0,2,0,0,1,1,"swcc",4
1175,308,54,11,0,0,0,0,1,0,"other",5
1996,335,34,16,0,0,0,0,1,1,"mp",3
1953,96,48,14,0,0,0,0,1,1,"other",3
1992,456,49,12,0,0,0,0,1,1,"swcc",3
0,604,34,14,2,0,0,0,1,1,"swcc",7
0,334,32,12,2,2,0,0,1,1,"mp",7
0,360,32,12,2,1,0,0,1,1,"mp",7
0,897,55,13,0,0,1,0,1,0,"mp",7
2160,668,28,15,0,0,0,0,1,1,"mp",6
2214,218,51,14,0,0,0,0,1,1,"mp",6
1968,284,24,13,2,0,0,0,0,0,"other",9
2000,312,28,16,1,0,0,0,1,1,"mp",3
2000,260,26,14,1,0,0,0,1,1,"swcc",5
2805,223,27,12,0,0,0,0,1,1,"other",5
1750,456,27,14,1,0,0,0,1,1,"mp",3
0,500,47,12,0,1,0,0,1,1,"mp",3
1292,677,50,17,0,0,0,0,1,1,"mp",3
0,104,38,11,1,0,1,0,0,0,"fr",3
384,1456,52,12,0,0,0,0,1,1,"mp",6
1440,346,38,16,0,1,2,0,1,1,"mp",9
1744,253,29,16,1,0,0,0,1,1,"mp",4
0,248,63,10,0,0,0,0,1,0,"other",5
1245,427,38,12,0,0,2,0,1,0,"mp",5
990,224,35,12,0,1,0,0,1,1,"mp",5
780,150,33,12,1,2,1,0,1,1,"mp",5
1826,285,58,12,0,0,0,0,1,1,"mp",5
2080,50,47,11,0,0,0,1,1,1,"swcc",5
2000,144,25,12,1,0,0,1,1,1,"other",5
2000,170,30,12,1,1,0,1,1,1,"other",5
0,395,58,10,0,0,0,1,1,0,"other",5
192,211,35,12,0,2,0,1,0,0,"swcc",6
1992,70,31,12,1,1,0,1,1,1,"other",5
1192,500,25,11,0,1,0,1,0,0,"swcc",5
2000,327,46,11,0,0,1,1,1,1,"other",5
1944,337,38,16,2,1,1,0,1,1,"mp",6
2464,328,31,17,1,1,0,0,1,1,"mp",6
96,405,32,16,1,1,0,0,1,1,"swcc",5
1480,350,56,12,0,0,0,0,1,0,"swcc",6
0,703,37,16,0,2,0,0,1,1,"mp",4
792,436,47,12,0,1,2,0,1,1,"mp",5
0,988,56,12,0,0,0,0,1,0,"mp",5
1316,283,28,17,0,0,0,0,1,1,"mp",6
0,376,34,13,2,0,0,0,1,1,"mp",5
432,433,32,12,2,0,0,0,1,1,"mp",5
1715,1138,51,12,0,0,0,0,1,1,"swcc",3
0,84,63,12,0,0,0,0,0,0,"other",5
1680,364,29,16,0,0,0,0,1,1,"mp",5
1176,643,54,12,0,0,0,0,1,1,"mp",3
2000,262,64,12,0,0,0,0,1,0,"other",10
0,740,39,12,0,2,0,0,1,1,"mp",2
2461,130,31,12,0,1,0,0,1,1,"other",10
2000,301,53,12,0,0,0,0,1,0,"swcc",10
1999,200,25,12,0,0,0,0,0,0,"swcc",10
2012,264,23,14,0,0,0,0,1,0,"swcc",6
1710,303,29,13,1,0,0,0,1,1,"swcc",6
1960,612,55,13,1,0,0,0,1,0,"mp",6
