"race","age","educate","income","vote"
"white",41,12,4.4312,1
"white",50,6,1.2659,1
"white",64,17,7.5945,1
"white",56,7,6.6992,1
"white",48,13,8.7545,0
"white",59,8,3.064,1
"white",44,12,3.3834,1
"white",31,12,6.3304,1
"white",50,8,7.0036,1
"others",40,14,2.7031,1
"white",31,13,3.7042,1
"white",44,12,4.4312,1
"white",48,16,4.9624,1
"white",40,9,0.8284,0
"white",42,12,2.3866,1
"white",77,13,1.6049,1
"white",28,14,1.0942,0
"white",23,12,4.4312,0
"white",49,17,1.6472,1
"white",64,12,1.8967,0
"white",62,8,4.669,0
"white",30,14,3.2949,1
"white",33,12,5.3986,0
"white",52,16,0.1936,1
"others",61,3,1.3131,0
"white",45,12,2.1319,1
"white",25,12,4.4312,0
"white",64,10,1.3131,1
"white",53,10,9.1907,0
"white",66,16,2.4803,1
"white",42,16,5.1229,1
"white",52,11,1.5788,1
"white",45,12,4.3754,1
"white",75,9,1.1277,1
"others",32,17,4.4876,1
"white",48,11,6.9491,0
"others",74,3,3.4183,0
"white",64,12,3.8606,1
"others",82,3,0.9214,0
"others",51,12,1.4398,0
"white",52,12,4.4312,1
"white",89,12,0.7294,0
"white",75,16,0.7953,1
"white",65,12,14.9247,1
"white",62,11,1.2659,1
"others",43,7,2.4811,1
"white",82,8,0.8284,1
"others",28,13,4.6493,0
"others",42,11,1.8561,0
"white",48,14,2.3866,1
"white",39,14,5.9469,1
"white",35,8,3.58,0
"white",25,14,2.7852,0
"white",63,12,1.0942,1
"white",41,9,1.6218,0
"white",76,11,1.2868,1
"white",59,14,4.2857,0
"white",71,6,0.2649,1
"white",38,11,2.8311,0
"white",68,10,1.8429,0
"white",68,7,0.9689,0
"white",34,16,3.8606,1
"white",67,0,1.1277,1
"white",45,8,1.3257,1
"white",37,14,2.2788,1
"white",31,17,3.7435,1
"white",34,19,3.6476,1
"white",62,13,2.5545,1
"white",32,16,5.9469,1
"white",54,16,8.3565,1
"white",83,8,5.2331,1
"white",70,12,1.4927,0
"white",54,12,1.726,1
"white",52,10,3.4183,1
"white",25,14,0.7568,1
"white",26,10,0.9457,0
"others",22,12,0.8284,1
"white",33,17,2.8997,1
"white",34,6,1.1277,1
"white",65,12,0.7594,0
"others",44,11,0.7594,1
"white",62,5,1.1277,0
"white",65,14,2.7068,1
"white",64,16,5.8684,1
"others",51,8,0.253,1
"white",40,12,6.0903,1
"white",45,12,6.7838,1
"white",31,12,6.7838,1
"white",49,12,6.7838,1
"white",22,12,3.4183,0
"white",29,12,6.7838,1
"white",34,15,8.6696,0
"white",52,12,1.8561,1
"white",47,19,1.6218,1
"white",48,7,1.2094,0
"white",79,12,0.2162,1
"white",34,13,6.3352,1
"white",22,13,2.1309,1
"others",80,0,0.2917,1
"white",52,14,4.2857,1
"white",31,12,4.0702,1
"white",78,4,3.7972,1
"others",40,11,2.2788,0
"white",43,19,11.2351,1
"white",77,12,2.5545,1
"white",38,12,2.1309,1
"white",47,11,2.5196,1
"white",36,12,1.4398,1
"white",26,16,4.4876,1
"white",38,12,2.4803,1
"white",38,12,5.8684,1
"white",39,14,7.5945,1
"white",59,10,2.917,1
"white",30,9,1.8561,1
"others",44,11,0.6304,1
"others",29,12,1.3566,1
"white",21,11,0.6765,1
"others",59,11,7.5945,0
"white",62,9,1.8967,1
"white",36,10,2.0299,0
"white",22,14,5.1229,1
"white",41,12,6.3304,1
"white",19,12,2.4868,1
"white",58,9,1.8561,1
"white",52,19,9.5029,1
"white",28,13,3.8606,0
"white",24,19,3.46,1
"white",46,19,11.8939,1
"others",24,12,3.7042,0
"white",48,12,8.3565,1
"others",72,0,0.7953,0
"others",43,14,6.3304,1
"white",28,14,3.58,1
"white",28,14,0.9457,0
"white",87,14,7.5945,1
"white",53,10,7.0036,1
"white",27,14,5.178,1
"white",31,19,9.5029,1
"white",36,16,8.7517,1
"others",58,16,6.3304,1
"white",61,12,5.9111,1
"white",65,14,6.6298,1
"white",59,4,2.7852,1
"white",60,12,2.1309,1
"white",31,16,7.0036,0
"white",70,12,1.9045,1
"white",49,14,10.0376,1
"white",76,19,1.2094,1
"white",66,10,1.1277,1
"white",28,13,2.1885,1
"white",38,16,8.3565,1
"white",21,14,1.1277,1
"white",31,12,6.3304,1
"white",47,17,11.8908,1
"white",32,12,4.6493,1
"white",32,12,0.2364,0
"white",54,8,5.9469,1
"white",56,12,5.2331,1
"white",28,12,2.9072,1
"white",40,12,5.2331,1
"others",58,5,0.2649,0
"white",48,16,7.8949,1
"white",45,12,3.3834,1
"white",53,14,11.2351,1
"white",22,14,2.9072,1
"white",21,12,4.4312,0
"white",87,16,3.8606,1
"white",75,7,2.0299,1
"white",71,12,1.9703,1
"white",70,17,4.2313,1
"white",67,15,1.838,1
"white",38,8,2.4803,1
"white",84,8,1.6049,1
"white",65,12,1.6049,1
"white",72,12,7.0036,1
"white",48,19,13.6702,1
"white",30,12,6.3304,0
"white",67,5,0.1544,1
"others",60,17,1.1893,1
"white",46,12,2.2788,1
"white",28,12,2.917,1
"white",34,13,6.5589,1
"white",18,13,0.9214,1
"white",70,11,1.7723,1
"others",22,10,0.2253,1
"others",75,12,1.5788,1
"white",47,10,3.1676,0
"white",49,12,3.7972,1
"white",40,12,5.8684,1
"white",32,15,4.4876,1
"white",79,5,0.7594,0
"white",30,12,3.4183,1
"white",28,16,6.5589,1
"white",41,12,1.8429,0
"others",21,11,0.7568,1
"white",44,12,3.7435,1
"white",64,8,0.5813,0
"white",33,8,2.1885,1
"white",26,11,1.261,1
"others",59,8,0.8284,1
"white",54,19,5.178,1
"white",31,12,2.9161,0
"white",22,14,6.0903,1
"white",45,16,7.8949,1
"white",33,10,2.9072,0
"white",35,12,3.46,1
"white",47,10,5.9111,1
"white",52,5,2.9072,0
"white",33,19,5.6622,1
"white",22,11,5.4713,0
"others",27,11,4.8954,1
"others",80,12,3.3458,1
"white",42,10,2.9161,0
"others",33,11,1.6702,0
"white",64,8,1.8967,1
"white",54,14,3.2949,1
"white",82,8,1.0212,0
"white",54,14,6.5589,1
"white",50,12,8.3565,1
"white",21,12,7.5945,0
"others",36,12,1.0942,0
"white",26,12,4.6408,1
"white",22,14,1.1277,0
"white",28,12,5.3986,1
"others",62,10,2.3866,1
"white",22,12,1.7723,1
"white",68,5,1.3257,1
"others",54,9,9.1907,1
"others",29,12,4.0702,0
"white",54,12,3.58,1
"white",48,8,11.8939,0
"white",24,12,0.2364,0
"white",50,12,11.8939,0
"white",39,16,8.722,1
"white",40,12,1.864,0
"white",70,0,1.7723,1
"others",60,6,1.8967,1
"white",25,16,2.4189,1
"white",67,19,11.2307,1
"white",32,5,1.864,1
"white",51,10,3.8797,1
"white",69,8,2.4193,1
"white",49,12,0.2071,1
"others",26,10,2.1885,0
"white",47,12,5.2331,1
"others",48,10,1.5788,0
"white",65,12,2.4189,1
"others",40,9,6.7838,0
"white",63,12,2.4193,1
"others",41,12,6.274,1
"white",50,5,2.5545,0
"white",40,12,4.0702,1
"others",32,9,3.2949,1
"white",80,11,0.2649,0
"white",25,16,7.4874,0
"others",59,9,4.0702,0
"white",41,16,7.7751,1
"white",21,14,0.6765,1
"white",35,14,1.2868,1
"white",40,12,5.3986,1
"white",46,12,7.8949,1
"white",30,16,4.4312,1
"white",78,17,4.3348,1
"white",18,10,3.1356,0
"others",45,12,0.4607,1
"white",50,12,4.669,1
"white",42,19,11.2351,1
"white",28,12,6.3352,1
"others",38,14,2.9161,1
"white",38,14,4.3348,0
"white",74,10,0.7294,1
"white",33,16,10.0376,0
"white",51,12,7.7751,1
"white",46,19,3.1676,1
"others",65,19,11.6294,1
"others",52,11,0.7594,1
"white",82,10,0.9689,1
"white",39,14,11.2351,1
"white",83,7,1.2094,0
"white",35,12,6.7838,1
"white",56,12,5.3986,1
"others",22,12,1.3117,1
"white",74,4,1.3257,1
"white",26,14,7.0281,0
"white",71,16,3.7042,1
"others",51,12,2.0021,0
"white",36,17,11.8908,1
"white",59,12,1.4974,1
"white",35,12,4.3195,1
"white",51,12,9.3205,1
"white",66,6,1.3566,0
"white",61,8,0.7594,0
"others",39,19,9.3205,1
"white",24,14,5.1229,1
"others",41,14,2.1309,0
"white",28,13,2.9161,1
"others",24,16,5.3986,1
"white",37,16,3.9394,1
"others",71,8,1.261,1
"others",20,14,3.2949,0
"white",50,5,7.5945,1
"white",57,10,4.2313,1
"white",67,16,6.274,1
"white",28,10,2.3866,1
"white",58,10,1.1046,1
"white",34,16,3.6476,0
"white",41,19,5.9469,1
"others",52,12,0.8284,1
"white",20,12,4.4876,0
"white",25,14,3.3834,1
"white",45,15,4.3348,1
"white",81,8,0.2649,0
"white",20,12,3.3102,0
"white",60,12,7.5945,0
"white",88,9,0.6177,1
"white",57,16,4.0702,1
"white",45,15,9.1907,1
"white",61,8,2.917,1
"white",60,8,0.6765,0
"white",47,14,6.7838,1
"white",56,5,0.7953,1
"white",54,9,3.8606,0
"white",62,14,2.3866,1
"white",48,15,6.9491,1
"white",39,14,3.8606,1
"white",23,12,2.7722,1
"white",24,16,6.7838,1
"others",45,14,5.178,1
"white",26,16,2.9072,1
"white",23,12,1.6049,1
"white",72,8,2.0021,1
"white",47,12,5.2331,1
"white",35,14,8.7517,1
"others",35,17,2.4803,1
"white",29,14,1.6049,1
"white",51,12,2.7852,0
"white",26,12,1.6049,0
"white",42,12,4.0702,1
"white",77,9,1.7443,0
"white",41,16,5.6622,1
"white",52,8,3.58,1
"white",42,8,1.2659,0
"white",37,16,8.3565,1
"others",41,15,0.6304,0
"white",57,8,1.7723,1
"white",63,6,5.3986,1
"others",46,9,1.8429,0
"white",21,7,2.1885,0
"white",58,3,0.7594,1
"white",24,16,2.7031,1
"white",62,12,1.4974,1
"white",36,19,8.6696,1
"white",70,16,2.8311,1
"white",31,12,2.917,1
"white",55,16,4.6408,1
"white",36,9,1.8967,1
"white",37,13,5.9469,1
"white",66,12,0.5523,0
"white",29,19,3.8606,1
"white",26,16,3.2949,1
"white",43,12,7.8949,1
"white",38,9,2.4868,1
"white",35,12,3.3558,1
"white",44,8,6.7838,1
"white",77,8,1.655,0
"white",44,14,10.0376,1
"white",56,7,0.2649,1
"white",27,6,0.6911,0
"white",39,16,1.8429,1
"others",51,15,5.6622,1
"white",44,12,2.4811,1
"white",35,19,3.064,1
"white",60,12,5.3986,1
"white",53,12,1.3566,1
"white",43,16,7.7751,1
"others",21,14,1.3566,1
"white",36,12,3.58,1
"white",76,10,1.2659,1
"white",35,12,2.917,1
"white",56,7,3.3458,1
"others",82,12,1.5788,1
"others",23,8,0.7953,0
"others",25,12,3.8797,1
"white",39,12,4.4312,1
"white",52,8,2.7852,1
"white",51,14,4.8954,1
"white",64,7,1.8429,1
"white",32,8,3.46,0
"white",20,12,3.7042,1
"white",75,0,2.3866,1
"white",29,16,2.2092,1
"white",62,14,1.4927,1
"white",60,12,6.7838,1
"white",55,14,5.6622,1
"white",30,9,0.9214,0
"white",20,13,1.1893,1
"white",34,17,9.5029,0
"white",44,12,4.0702,1
"white",67,6,1.6049,0
"white",40,8,2.4811,1
"white",38,13,5.6622,1
"white",50,12,2.4803,0
"white",60,10,2.3866,1
"white",53,12,4.669,1
"white",29,14,4.4578,0
"others",80,5,0.7294,0
"others",39,16,2.1319,1
"white",34,12,2.7852,1
"white",48,9,0.973,1
"white",39,12,8.722,1
"white",57,6,1.5879,1
"white",72,0,0.253,0
"white",75,13,0.2364,1
"white",33,14,1.6218,0
"white",52,8,4.669,0
"white",23,10,3.58,0
"others",34,9,3.58,1
"white",31,9,0.6765,1
"white",32,12,5.3986,1
"white",86,9,0.4118,0
"white",35,14,1.655,0
"white",57,10,6.3304,1
"white",35,14,3.58,1
"white",35,12,7.8949,1
"white",52,8,5.1229,1
"white",39,14,3.1676,1
"white",52,9,3.7042,1
"others",23,14,0.9457,1
"white",63,14,8.7545,0
"others",56,14,3.4183,1
"white",59,12,3.46,1
"white",29,14,8.4934,1
"white",58,10,0.9689,1
"white",30,11,3.4183,1
"white",34,11,2.3866,1
"white",33,15,6.274,1
"white",37,16,12.4066,1
"white",42,12,8.722,1
"others",57,17,4.8901,1
"white",31,12,1.2659,1
"white",40,16,2.8311,1
"white",21,14,0.5813,1
"white",24,12,1.0212,0
"white",34,12,3.7042,1
"white",21,14,3.2949,0
"white",54,12,10.64,1
"others",24,12,3.7042,0
"others",19,12,1.8127,1
"white",30,13,4.8954,1
"white",27,13,4.2313,1
"white",37,12,1.4974,0
"white",72,12,3.8606,1
"white",30,10,2.3866,1
"white",78,8,0.2253,0
"others",26,12,3.2449,0
"white",24,16,2.917,1
"white",30,16,11.8939,1
"white",65,5,1.8561,1
"white",67,12,2.1279,1
"white",72,12,2.2706,1
"white",36,19,8.4934,1
"white",51,11,1.6472,0
"white",65,13,1.5879,1
"white",47,12,11.2351,1
"others",64,6,2.9193,1
"white",72,19,4.0702,1
"white",33,16,3.9394,1
"white",65,10,8.6696,1
"white",60,19,13.3041,1
"white",88,14,0.978,1
"white",56,9,1.3131,1
"white",50,16,7.7751,1
"white",66,14,0.7953,1
"white",37,12,3.3834,1
"white",36,12,2.2092,0
"others",20,12,4.2313,0
"white",67,13,8.7545,1
"white",27,10,4.6408,1
"white",45,12,7.5945,1
"white",27,13,3.7042,0
"white",38,8,3.4183,1
"white",61,8,3.4183,1
"white",52,12,6.274,1
"white",37,10,4.4312,1
"white",46,12,7.8949,1
"white",57,12,3.7435,1
"white",49,13,9.5029,1
"white",21,13,1.8429,0
"white",35,14,7.5945,1
"white",25,12,6.9491,1
"white",21,10,7.0036,0
"white",29,12,7.7751,1
"white",48,15,3.46,1
"white",29,12,1.2094,0
"white",49,14,5.9469,1
"white",66,14,7.5945,0
"white",33,12,4.0006,0
"others",23,12,3.2449,0
"white",28,14,2.4193,1
"white",77,8,1.8967,1
"white",46,17,6.274,0
"white",60,8,0.7294,0
"white",37,16,7.7751,1
"white",80,9,1.261,1
"white",70,8,2.5545,1
"white",22,12,1.7443,1
"white",80,12,3.8797,1
"white",28,16,4.669,1
"white",24,11,4.4312,1
"others",62,10,1.0942,0
"white",25,12,4.0702,1
"white",75,9,1.4055,0
"white",31,11,2.4803,1
"white",84,7,1.3566,1
"white",81,16,1.261,1
"white",68,17,13.3041,1
"white",50,10,3.3834,1
"white",56,12,0.7953,1
"white",33,12,1.1893,1
"white",20,12,5.4713,1
"white",41,14,6.3304,1
"white",40,14,2.7068,1
"white",52,12,0.6177,0
"white",69,17,13.3041,1
"others",74,4,1.3131,1
"white",54,12,3.3834,0
"white",44,12,8.722,1
"white",29,13,2.4868,1
"white",24,13,2.2856,0
"white",30,13,1.1046,0
"white",41,14,2.7852,1
"white",39,19,11.3918,1
"white",54,12,5.2331,0
"white",46,19,11.6294,1
"white",33,8,6.6298,1
"others",65,7,0.7594,0
"white",59,10,1.655,0
"white",45,12,6.3352,1
"white",32,12,6.0903,1
"white",86,7,0.7568,1
"white",52,6,0.9214,1
"white",41,11,2.3866,1
"others",37,12,3.3102,1
"white",48,8,2.2788,1
"white",35,14,5.6622,1
"others",26,4,1.2659,1
"white",38,13,3.7435,1
"white",35,12,8.7517,1
"others",41,16,5.9469,1
"white",33,14,4.9624,1
"white",48,12,6.6992,1
"white",41,19,7.8949,1
"others",41,12,2.7068,1
"white",64,12,2.1279,1
"white",26,12,2.7852,1
"white",28,12,4.6493,1
"white",45,15,5.6622,1
"white",44,12,2.2788,1
"others",19,12,4.4876,0
"white",50,16,11.3918,1
"others",23,12,1.0212,0
"others",43,8,0.253,1
"white",51,15,4.8954,1
"white",41,16,2.5196,0
"white",38,12,3.4183,1
"white",50,14,11.2351,1
"white",42,19,4.8954,1
"white",31,12,4.4876,0
"white",63,17,1.8967,1
"white",36,13,6.3352,1
"white",43,12,6.3304,1
"white",77,6,1.261,0
"others",39,3,1.8429,0
"others",51,12,3.1356,1
"white",63,12,0.7953,0
"white",27,11,6.6298,0
"white",58,9,6.3304,1
"white",54,12,2.2706,1
"others",39,16,6.7838,1
"white",35,12,4.6493,0
"white",29,12,4.2313,1
"white",25,14,3.3834,1
"white",52,7,2.2788,1
"white",21,14,1.7443,1
"white",53,12,6.7838,1
"white",21,15,0.1544,1
"white",47,12,14.9247,1
"white",80,12,1.3131,1
"others",92,2,1.4498,1
"white",31,14,5.1229,1
"white",63,11,3.3102,1
"white",31,12,4.9624,0
"white",72,4,0.5813,0
"white",33,16,3.3102,1
"others",31,16,3.9394,1
"white",53,12,6.3352,1
"white",65,12,0.8284,0
"white",34,12,3.3834,1
"white",28,12,8.7545,0
"white",27,12,1.4398,0
"others",67,1,0.253,0
"white",65,10,1.8967,0
"others",19,12,2.1885,0
"white",24,13,4.3348,1
"white",33,12,4.8901,1
"white",37,16,3.3458,0
"white",44,12,2.3866,1
"white",64,12,4.4578,0
"white",36,11,2.4189,0
"white",67,12,1.4498,1
"white",21,14,7.7751,1
"white",34,15,11.2307,1
"white",52,9,3.6476,1
"white",70,10,2.3866,1
"white",36,12,4.0702,1
"white",23,10,1.3566,0
"white",61,12,2.0021,1
"white",48,16,8.3565,1
"white",37,14,4.3754,1
"white",57,10,1.8429,1
"white",21,15,3.7435,1
"white",32,11,2.7068,0
"white",82,9,0.4607,1
"white",31,14,4.4312,1
"white",25,14,4.2313,1
"white",67,12,2.2706,0
"white",36,8,1.8561,0
"white",28,12,5.4713,1
"white",46,14,4.6408,1
"white",52,12,9.5029,1
"white",62,19,2.8311,1
"white",33,13,1.4498,1
"white",20,14,2.1319,1
"others",34,16,3.4183,1
"white",45,16,6.3352,0
"white",61,9,2.8997,1
"others",50,8,0.6911,0
"white",21,12,3.7435,1
"white",19,13,0.6177,1
"white",34,12,3.7042,1
"white",53,7,0.7594,1
"white",28,9,2.4803,0
"white",57,8,3.2949,0
"white",66,16,5.2331,1
"white",40,14,6.6298,1
"white",58,10,4.4312,1
"white",58,12,9.1907,1
"white",69,8,1.3566,0
"others",46,14,1.555,1
"white",60,11,1.0942,1
"white",50,16,11.2351,1
"others",40,13,3.7435,1
"white",36,13,0.2917,1
"white",26,14,4.3348,1
"others",22,12,0.6304,1
"others",69,4,0.7594,0
"white",42,10,3.9394,0
"others",42,17,11.2307,1
"white",34,9,3.8797,1
"white",36,8,2.7852,0
"others",45,17,8.7545,1
"white",66,7,3.3834,1
"white",36,19,4.4876,1
"white",41,12,4.4578,1
"white",54,9,4.4312,1
"white",19,12,8.722,1
"white",29,12,5.4713,1
"white",35,12,3.7042,1
"white",49,12,5.2331,1
"white",82,10,0.8284,0
"white",36,13,3.1676,1
"white",31,16,8.7517,1
"white",67,12,4.4578,1
"others",35,6,2.7852,0
"others",22,11,2.5196,0
"white",70,14,5.8684,1
"white",62,13,5.9469,1
"others",48,7,3.4183,1
"white",31,12,4.8954,1
"white",72,11,1.1893,1
"white",54,11,3.3558,1
"white",33,14,2.2856,1
"white",72,7,1.0212,0
"white",25,14,3.7042,0
"white",77,9,0.2253,0
"white",37,14,5.1229,1
"others",67,10,0.5813,1
"white",27,15,1.5879,1
"others",33,17,4.8954,1
"white",45,16,8.7517,1
"white",79,12,1.0212,1
"white",25,14,6.7838,0
"white",72,12,2.0299,1
"white",37,12,3.4183,0
"white",45,17,9.5029,1
"white",49,12,2.4189,0
"others",55,6,0.253,0
"white",63,11,1.4055,1
"white",47,6,1.7723,0
"white",26,12,0.6765,1
"others",36,12,3.7042,1
"white",70,8,1.7443,1
"white",39,12,4.4312,1
"white",23,16,3.2949,1
"others",34,14,2.7852,1
"white",35,13,4.3754,0
"white",58,12,6.3352,1
"white",51,12,4.3348,1
"white",22,14,4.9624,0
"white",28,16,7.0036,1
"white",37,16,6.3304,1
"white",24,12,3.7972,0
"white",67,19,5.1229,1
"white",23,10,2.3866,0
"others",30,8,8.7545,1
"white",50,10,4.2857,1
"white",22,13,0.7568,1
"white",26,11,3.064,0
"white",68,13,3.7435,1
"white",50,11,4.0702,1
"white",32,19,14.9247,1
"white",83,7,0.7953,0
"white",77,12,0.978,1
"white",45,14,4.8901,1
"white",32,16,2.4868,1
"white",43,12,5.178,0
"white",51,12,4.6408,1
"white",78,9,1.6472,1
"white",42,13,5.8684,1
"white",74,12,1.726,1
"white",75,4,0.7594,1
"white",87,10,0.5813,1
"white",28,12,3.2949,0
"others",46,7,0.7594,1
"white",45,12,2.9161,1
"white",52,12,3.6476,1
"white",50,12,3.4183,1
"white",84,9,1.1277,0
"white",86,8,0.2253,0
"white",29,11,3.9394,1
"white",36,17,4.3348,1
"white",26,12,3.7042,1
"white",78,16,1.3131,1
"white",29,13,3.064,0
"white",32,17,4.3195,1
"white",25,12,4.0702,1
"white",79,8,1.261,1
"white",72,8,4.4312,0
"white",69,12,8.3565,1
"others",26,12,1.8967,1
"white",69,12,2.522,1
"white",49,14,11.2307,1
"white",43,9,0.9689,1
"white",18,10,0.2364,1
"white",42,19,4.4876,1
"white",37,14,2.8311,1
"others",24,12,7.0281,1
"white",57,16,3.8606,0
"white",39,14,8.722,1
"others",22,13,4.6493,0
"others",42,12,1.7723,1
"white",42,12,3.4183,1
"white",53,19,10.1506,1
"white",23,12,1.3566,0
"white",30,13,5.178,0
"white",54,19,9.5029,1
"white",23,16,0.2364,1
"white",40,12,0.2649,1
"white",43,12,8.7517,1
"others",59,12,0.2917,0
"white",30,11,3.8797,1
"white",49,14,2.4193,0
"others",26,12,1.5788,0
"white",63,4,2.2092,0
"white",59,10,2.0299,1
"white",21,12,1.8561,1
"white",71,8,2.5545,1
"white",64,14,3.3458,1
"white",18,11,3.6476,0
"others",21,8,2.7852,0
"white",25,11,2.0543,0
"white",37,12,6.7838,1
"white",63,8,3.9394,1
"white",56,15,3.46,1
"white",23,16,0.2071,1
"white",66,16,4.6408,1
"white",47,16,8.3565,1
"white",39,17,10.0376,1
"white",46,14,11.8908,1
"others",39,15,6.9491,1
"others",60,8,2.5545,1
"white",82,10,1.5788,0
"white",67,8,1.3257,1
"white",52,12,3.1676,0
"others",24,10,0.7594,0
"others",26,11,1.3257,1
"others",21,14,1.2094,1
"white",26,9,2.7852,1
"white",31,17,4.4876,0
"white",58,12,9.1907,1
"others",34,16,5.4713,1
"white",47,16,7.5945,1
"white",57,12,4.4312,1
"white",21,12,1.2094,1
"white",31,11,2.7068,0
"white",31,12,2.4803,1
"white",57,12,1.4055,1
"white",52,13,2.522,1
"white",41,12,2.2788,0
"white",41,9,4.6408,1
"white",27,12,4.8901,0
"white",51,13,7.7751,1
"white",75,12,3.1676,1
"white",21,12,2.9072,0
"white",47,8,2.7852,1
"white",42,19,8.7517,1
"white",72,14,4.8954,1
"white",46,12,4.6493,0
"white",29,12,5.3986,1
"white",82,8,0.8284,0
"white",45,12,6.6298,1
"white",32,16,1.5879,1
"white",65,9,2.3866,1
"white",21,12,2.7852,1
"white",66,17,8.4934,1
"white",26,16,1.8967,0
"white",40,13,6.274,1
"white",29,12,4.2313,1
"white",71,12,0.9689,0
"others",28,13,9.3205,1
"white",57,8,3.3558,0
"white",23,12,2.1319,1
"white",40,13,0.4607,0
"white",79,5,0.5813,1
"white",46,19,11.8908,1
"white",24,12,0.9689,0
"white",22,12,3.7042,0
"others",54,7,0.2364,1
"white",79,16,1.9045,1
"white",39,19,6.3352,1
"white",77,14,1.3566,1
"white",69,12,1.6218,1
"white",19,12,2.5196,0
"white",20,13,0.4118,0
"white",23,12,1.7723,0
"white",36,14,6.9491,1
"white",22,12,9.1907,1
"white",29,12,5.9469,1
"white",65,0,0.2253,0
"white",22,16,0,1
"white",70,14,2.522,1
"white",71,7,0.7294,1
"white",32,12,3.064,0
"others",23,12,1.655,1
"white",54,10,1.2659,1
"white",65,12,11.2351,1
"others",83,10,0.7568,0
"white",32,16,6.7838,1
"others",47,12,5.9111,0
"white",28,17,5.9111,1
"white",50,12,3.8797,1
"white",45,19,11.8908,1
"white",45,19,5.6622,1
"white",25,12,4.3348,1
"white",21,10,2.4189,0
"white",46,12,5.2331,1
"white",62,14,2.9072,1
"white",72,10,1.3246,0
"white",55,12,3.7435,1
"white",68,13,3.2449,1
"white",39,12,4.4312,1
"white",28,14,4.669,1
"others",48,6,0.5523,0
"white",35,12,1.3246,1
"white",40,14,3.3834,0
"others",62,4,0.7594,1
"white",36,16,11.2307,1
"white",22,14,0.2364,1
"white",27,9,11.6294,0
"others",55,12,4.6493,1
"white",41,19,11.8908,1
"others",75,0,0.2649,0
"white",59,12,3.46,1
"white",25,13,3.8606,1
"white",53,8,6.3304,1
"white",26,12,5.2331,1
"white",56,12,6.0903,0
"white",25,19,3.3834,1
"white",42,12,5.9111,1
"white",69,5,0.7294,1
"white",33,11,1.1839,0
"white",21,12,2.5196,1
"white",73,12,1.9045,1
"white",46,13,5.3986,1
"white",42,10,3.3834,0
"white",66,19,7.5945,1
"white",22,16,9.5029,1
"white",73,16,2.4189,0
"white",58,16,6.3352,1
"white",46,16,4.3754,1
"white",29,12,4.0006,0
"white",61,6,6.6992,1
"white",78,8,0.9689,0
"white",30,16,6.3352,0
"white",32,13,2.2092,1
"white",58,12,3.7435,1
"white",39,8,3.2949,1
"others",82,13,0.7568,0
"others",29,12,0.2364,1
"white",35,13,11.2351,1
"white",56,7,1.8561,0
"white",28,12,3.4183,0
"white",25,12,3.3102,0
"white",31,14,3.1356,0
"white",51,19,11.2351,1
"others",38,7,3.4183,1
"white",46,12,12.4066,1
"white",50,12,2.522,1
"white",53,16,1.7723,1
"white",42,8,5.2331,0
"white",22,9,1.3566,0
"white",44,11,2.917,0
"white",26,14,3.4183,1
"white",34,12,3.2949,0
"white",64,14,2.4189,1
"others",38,7,1.5788,0
"white",46,12,5.3986,1
"others",53,12,1.3131,0
"white",28,12,5.9111,0
"white",36,12,4.669,0
"white",43,8,12.4066,0
"others",26,12,3.1676,1
"white",53,12,1.6472,0
"white",67,9,5.178,1
"white",82,8,1.261,1
"white",69,8,2.2706,1
"white",79,12,1.9703,1
"white",70,7,2.2788,1
"white",23,12,1.8967,1
"white",41,12,5.2331,1
"white",29,16,2.2856,1
"white",78,16,2.3866,1
"white",33,16,3.6476,1
"white",64,10,1.6472,1
"white",38,11,4.2313,1
"white",56,12,4.4312,1
"others",68,6,0.7594,0
"white",75,14,3.8606,1
"white",41,19,14.9247,1
"white",37,16,11.2307,1
"white",52,10,1.5788,1
"white",67,6,2.7068,1
"white",43,14,6.3304,1
"white",35,12,0.5523,0
"white",63,12,1.1277,1
"white",48,16,6.5589,0
"white",23,16,2.4189,1
"white",56,12,6.9491,1
"white",52,12,5.4713,1
"white",73,12,1.9703,1
"white",30,16,3.6476,1
"white",28,11,2.1309,0
"white",44,14,8.722,1
"white",57,17,2.8997,1
"white",24,16,6.9491,1
"white",71,14,6.7838,1
"others",30,19,4.2857,1
"white",66,12,9.1907,1
"white",37,14,3.3102,1
"others",24,12,0.1727,0
"white",27,14,6.0903,1
"white",32,12,2.5196,0
"white",47,12,2.7852,0
"white",51,14,4.0702,0
"white",60,11,1.3566,1
"others",43,11,1.5788,1
"white",26,13,4.8954,1
"white",50,8,2.2788,1
"white",39,12,3.4183,1
"white",78,8,1.3566,1
"white",24,11,3.4183,1
"others",62,9,0.7294,0
"white",74,12,2.8311,1
"white",48,9,2.2788,1
"white",76,7,1.3566,1
"white",30,19,3.58,1
"white",28,12,6.3304,1
"white",58,12,0.1936,0
"white",22,7,0.2364,0
"white",26,16,3.3834,0
"white",34,12,2.917,1
"white",51,16,7.8949,1
"white",22,10,2.4811,0
"white",59,10,0.5523,0
