"vote","dem","rep","female","persfinance","natlecon","clintondis","bushdis","perotdis"
"Bush",0,0,1,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,1,-1,-1,9.1204,0.4624,2.2801
"Perot",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,-1,0,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,0,9.1204,0.4624,2.2801
"Bush",0,1,0,1,-1,16.16,2.8224,6.3001
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,-1,-1,16.16,2.8224,6.3001
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,-1,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,-1,0,4.0804,0.1024,0.2601
"Clinton",1,0,1,-1,0,4.0804,0.1024,0.2601
"Perot",0,1,1,-1,-1,4e-04,5.3824,2.2201
"Perot",0,1,1,0,-1,1.0404,1.7424,0.2401
"Perot",0,1,0,0,-1,9.1204,0.4624,2.2801
"Perot",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",0,1,0,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Perot",1,0,1,-1,-1,3.9204,18.662,12.18
"Clinton",1,0,1,1,-1,1.0404,1.7424,0.2401
"Perot",0,0,1,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,0.9604,11.022,6.2001
"Perot",0,0,0,1,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,0,-1,16.16,2.8224,6.3001
"Bush",0,1,0,1,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,1,1,1.0404,1.7424,0.2401
"Bush",0,1,1,0,1,9.1204,0.4624,2.2801
"Clinton",0,1,0,1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Perot",1,0,1,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Clinton",0,1,0,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,-1,-1,4.0804,0.1024,0.2601
"Bush",0,1,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,4e-04,5.3824,2.2201
"Perot",0,0,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,1,4e-04,5.3824,2.2201
"Bush",0,1,1,0,-1,16.16,2.8224,6.3001
"Bush",0,1,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,0,0,-1,4e-04,5.3824,2.2201
"Perot",1,0,0,0,-1,0.9604,11.022,6.2001
"Perot",0,1,0,1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",1,0,1,0,-1,1.0404,1.7424,0.2401
"Bush",0,0,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,1.0404,1.7424,0.2401
"Perot",0,1,0,0,-1,16.16,2.8224,6.3001
"Clinton",0,1,1,1,-1,4.0804,0.1024,0.2601
"Perot",0,1,1,1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Perot",1,0,0,1,0,4.0804,0.1024,0.2601
"Perot",0,1,0,1,-1,9.1204,0.4624,2.2801
"Perot",1,0,1,-1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,3.9204,18.662,12.18
"Bush",0,1,0,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,0,1.0404,1.7424,0.2401
"Bush",0,1,1,1,-1,9.1204,0.4624,2.2801
"Perot",1,0,0,0,-1,9.1204,0.4624,2.2801
"Perot",0,1,0,1,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Perot",0,1,0,1,1,4.0804,0.1024,0.2601
"Perot",0,0,1,-1,0,1.0404,1.7424,0.2401
"Bush",0,1,1,-1,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Perot",0,1,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Perot",0,1,0,0,0,4.0804,0.1024,0.2601
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Bush",0,1,0,-1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,1,1,0,4.0804,0.1024,0.2601
"Perot",1,0,1,1,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,0,4.0804,0.1024,0.2601
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Perot",0,1,0,1,-1,4.0804,0.1024,0.2601
"Perot",0,1,1,1,-1,4e-04,5.3824,2.2201
"Perot",1,0,0,-1,-1,0.9604,11.022,6.2001
"Bush",0,1,1,-1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,0,-1,4e-04,5.3824,2.2201
"Perot",1,0,1,0,-1,4e-04,5.3824,2.2201
"Perot",0,0,0,-1,-1,1.0404,1.7424,0.2401
"Perot",0,0,0,0,0,1.0404,1.7424,0.2401
"Perot",0,1,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",0,0,1,1,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,4.0804,0.1024,0.2601
"Bush",0,1,0,1,1,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,4.0804,0.1024,0.2601
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,0,0,1.0404,1.7424,0.2401
"Bush",0,1,0,0,-1,1.0404,1.7424,0.2401
"Perot",1,0,0,1,-1,3.9204,18.662,12.18
"Bush",0,1,0,0,0,4.0804,0.1024,0.2601
"Bush",0,1,0,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,0,9.1204,0.4624,2.2801
"Bush",0,1,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Perot",1,0,0,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,0,0,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,1,4e-04,5.3824,2.2201
"Bush",0,1,0,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Perot",0,0,1,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,1,1,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",0,0,0,1,0,4.0804,0.1024,0.2601
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Perot",1,0,1,1,-1,1.0404,1.7424,0.2401
"Clinton",0,1,0,0,0,4.0804,0.1024,0.2601
"Perot",0,1,1,-1,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,-1,-1,9.1204,0.4624,2.2801
"Perot",0,1,1,-1,-1,4e-04,5.3824,2.2201
"Clinton",0,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,0,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",0,0,0,0,-1,0.9604,11.022,6.2001
"Bush",0,1,0,0,0,16.16,2.8224,6.3001
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",1,0,1,1,1,4.0804,0.1024,0.2601
"Bush",1,0,1,-1,0,9.1204,0.4624,2.2801
"Bush",0,1,1,-1,-1,4.0804,0.1024,0.2601
"Bush",0,1,1,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Clinton",0,0,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,-1,4.0804,0.1024,0.2601
"Bush",0,1,1,-1,0,4.0804,0.1024,0.2601
"Clinton",1,0,0,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,-1,0,1.0404,1.7424,0.2401
"Bush",0,1,1,0,0,9.1204,0.4624,2.2801
"Perot",0,1,0,1,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Perot",1,0,0,-1,0,0.9604,11.022,6.2001
"Bush",1,0,1,0,-1,9.1204,0.4624,2.2801
"Perot",1,0,0,1,-1,0.9604,11.022,6.2001
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,1,1,9.1204,0.4624,2.2801
"Bush",0,1,0,0,1,9.1204,0.4624,2.2801
"Bush",0,1,1,1,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Perot",0,1,0,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,3.9204,18.662,12.18
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Perot",0,0,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,0.9604,11.022,6.2001
"Perot",0,1,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Bush",0,1,0,1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Bush",1,0,0,1,0,9.1204,0.4624,2.2801
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Bush",0,1,0,1,-1,16.16,2.8224,6.3001
"Bush",0,1,1,0,0,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,9.1204,0.4624,2.2801
"Clinton",0,0,0,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,0,4e-04,5.3824,2.2201
"Bush",0,1,0,-1,-1,4.0804,0.1024,0.2601
"Perot",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,0,-1,-1,16.16,2.8224,6.3001
"Clinton",0,1,1,-1,-1,4e-04,5.3824,2.2201
"Perot",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Perot",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Perot",0,1,0,-1,0,4.0804,0.1024,0.2601
"Bush",0,1,1,-1,0,9.1204,0.4624,2.2801
"Perot",0,1,1,1,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,1,0,4.0804,0.1024,0.2601
"Perot",0,1,0,0,0,0.9604,11.022,6.2001
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,1,-1,1.0404,1.7424,0.2401
"Clinton",0,0,0,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,-1,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,1,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,-1,-1,9.1204,0.4624,2.2801
"Perot",1,0,0,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,0,0,4.0804,0.1024,0.2601
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,1,1,-1,4e-04,5.3824,2.2201
"Clinton",0,1,1,1,0,4e-04,5.3824,2.2201
"Perot",0,1,1,1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Perot",0,1,0,-1,-1,4.0804,0.1024,0.2601
"Perot",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Perot",0,1,0,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,0.9604,11.022,6.2001
"Perot",0,1,1,0,-1,1.0404,1.7424,0.2401
"Perot",0,1,1,1,-1,16.16,2.8224,6.3001
"Perot",0,0,1,1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Perot",0,1,1,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,0,-1,1.0404,1.7424,0.2401
"Clinton",0,1,0,1,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,0,0,9.1204,0.4624,2.2801
"Bush",0,1,1,-1,0,1.0404,1.7424,0.2401
"Perot",1,0,1,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,3.9204,18.662,12.18
"Clinton",0,0,0,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",0,0,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,3.9204,18.662,12.18
"Bush",0,1,0,1,0,4.0804,0.1024,0.2601
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Bush",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,0.9604,11.022,6.2001
"Perot",0,1,0,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,1,-1,4.0804,0.1024,0.2601
"Clinton",0,0,0,-1,-1,1.0404,1.7424,0.2401
"Perot",1,0,0,0,-1,4e-04,5.3824,2.2201
"Perot",0,1,0,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,0,0,9.1204,0.4624,2.2801
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,-1,0,0.9604,11.022,6.2001
"Bush",0,1,1,-1,-1,9.1204,0.4624,2.2801
"Perot",0,1,0,-1,-1,9.1204,0.4624,2.2801
"Clinton",0,1,1,-1,0,9.1204,0.4624,2.2801
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Bush",0,1,1,0,-1,4.0804,0.1024,0.2601
"Perot",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Perot",1,0,0,1,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,16.16,2.8224,6.3001
"Bush",0,1,1,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Perot",1,0,1,1,0,1.0404,1.7424,0.2401
"Bush",0,1,0,-1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Bush",0,1,0,1,-1,4.0804,0.1024,0.2601
"Perot",0,1,1,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,1,0,0,1.0404,1.7424,0.2401
"Clinton",0,0,1,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,0,1,9.1204,0.4624,2.2801
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Perot",0,1,1,-1,1,4.0804,0.1024,0.2601
"Perot",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Bush",1,0,1,1,1,4.0804,0.1024,0.2601
"Bush",0,0,1,-1,-1,4.0804,0.1024,0.2601
"Bush",0,1,0,1,0,4.0804,0.1024,0.2601
"Clinton",1,0,0,-1,0,0.9604,11.022,6.2001
"Bush",0,1,0,1,-1,4.0804,0.1024,0.2601
"Bush",0,1,0,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,1,0,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,0,0,-1,-1,4.0804,0.1024,0.2601
"Bush",0,1,0,-1,0,16.16,2.8224,6.3001
"Clinton",0,1,0,-1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,4.0804,0.1024,0.2601
"Bush",1,0,1,-1,-1,4.0804,0.1024,0.2601
"Perot",0,1,0,-1,0,1.0404,1.7424,0.2401
"Bush",0,1,0,1,1,9.1204,0.4624,2.2801
"Clinton",0,1,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,-1,4e-04,5.3824,2.2201
"Perot",1,0,0,0,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,1,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,1.0404,1.7424,0.2401
"Perot",0,1,1,1,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,4e-04,5.3824,2.2201
"Perot",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,-1,4.0804,0.1024,0.2601
"Perot",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Bush",1,0,1,1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,-1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,-1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,4.0804,0.1024,0.2601
"Perot",1,0,0,1,-1,4.0804,0.1024,0.2601
"Bush",0,1,0,1,1,9.1204,0.4624,2.2801
"Perot",0,1,0,0,-1,9.1204,0.4624,2.2801
"Perot",1,0,0,-1,0,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,-1,0,9.1204,0.4624,2.2801
"Clinton",0,1,0,1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,1,-1,3.9204,18.662,12.18
"Bush",0,1,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Perot",0,1,0,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,0,1,-1,1.0404,1.7424,0.2401
"Perot",0,1,1,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,1,0,1.0404,1.7424,0.2401
"Perot",1,0,0,0,0,1.0404,1.7424,0.2401
"Bush",1,0,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,4.0804,0.1024,0.2601
"Perot",0,0,1,0,-1,1.0404,1.7424,0.2401
"Perot",0,1,0,1,-1,4.0804,0.1024,0.2601
"Bush",0,0,0,-1,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,0,0.9604,11.022,6.2001
"Perot",1,0,0,1,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Bush",0,0,1,-1,-1,1.0404,1.7424,0.2401
"Perot",1,0,0,1,1,4.0804,0.1024,0.2601
"Clinton",1,0,0,-1,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,0,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,1,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Bush",0,1,1,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Perot",0,1,0,-1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Bush",0,1,0,-1,-1,9.1204,0.4624,2.2801
"Clinton",0,0,0,1,1,9.1204,0.4624,2.2801
"Bush",0,1,1,0,-1,9.1204,0.4624,2.2801
"Bush",0,1,1,1,-1,9.1204,0.4624,2.2801
"Perot",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,-1,4e-04,5.3824,2.2201
"Bush",0,1,1,0,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,4.0804,0.1024,0.2601
"Clinton",1,0,0,0,1,0.9604,11.022,6.2001
"Bush",0,1,0,0,-1,9.1204,0.4624,2.2801
"Bush",0,1,0,-1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,-1,3.9204,18.662,12.18
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,0,-1,4e-04,5.3824,2.2201
"Bush",1,0,0,1,1,9.1204,0.4624,2.2801
"Clinton",1,0,0,1,-1,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,0,4.0804,0.1024,0.2601
"Bush",0,1,0,0,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,-1,1,4e-04,5.3824,2.2201
"Perot",1,0,0,0,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,0,0,1.0404,1.7424,0.2401
"Bush",0,1,0,0,0,1.0404,1.7424,0.2401
"Clinton",0,1,1,0,-1,1.0404,1.7424,0.2401
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,1,0,0,0.9604,11.022,6.2001
"Perot",0,1,1,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,0,-1,1.0404,1.7424,0.2401
"Clinton",1,0,0,0,-1,0.9604,11.022,6.2001
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,0,0,1.0404,1.7424,0.2401
"Clinton",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,-1,-1,4e-04,5.3824,2.2201
"Perot",0,0,0,1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,1,0,-1,0.9604,11.022,6.2001
"Bush",0,1,1,-1,0,1.0404,1.7424,0.2401
"Bush",0,1,1,0,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,1,-1,1.0404,1.7424,0.2401
"Bush",0,1,1,0,0,9.1204,0.4624,2.2801
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Bush",0,1,0,0,0,4.0804,0.1024,0.2601
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Bush",0,1,0,1,0,9.1204,0.4624,2.2801
"Bush",0,1,0,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,4.0804,0.1024,0.2601
"Perot",1,0,0,1,-1,4.0804,0.1024,0.2601
"Perot",0,1,0,1,-1,1.0404,1.7424,0.2401
"Perot",0,0,0,0,0,4.0804,0.1024,0.2601
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Bush",0,1,0,-1,1,9.1204,0.4624,2.2801
"Clinton",1,0,0,0,-1,0.9604,11.022,6.2001
"Perot",0,0,1,-1,-1,4.0804,0.1024,0.2601
"Bush",0,1,0,1,1,1.0404,1.7424,0.2401
"Clinton",1,0,1,1,-1,0.9604,11.022,6.2001
"Perot",0,1,0,-1,-1,1.0404,1.7424,0.2401
"Perot",0,0,1,1,0,4e-04,5.3824,2.2201
"Bush",0,1,1,0,-1,9.1204,0.4624,2.2801
"Perot",0,1,0,1,1,1.0404,1.7424,0.2401
"Bush",1,0,0,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,4e-04,5.3824,2.2201
"Perot",0,1,0,1,-1,4.0804,0.1024,0.2601
"Clinton",1,0,0,1,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,0,-1,4e-04,5.3824,2.2201
"Clinton",1,0,1,1,-1,9.1204,0.4624,2.2801
"Clinton",1,0,1,-1,-1,3.9204,18.662,12.18
"Clinton",1,0,1,-1,-1,0.9604,11.022,6.2001
"Bush",0,1,0,0,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,0,4e-04,5.3824,2.2201
"Clinton",1,0,0,1,-1,0.9604,11.022,6.2001
"Bush",0,1,1,1,0,9.1204,0.4624,2.2801
"Clinton",1,0,0,-1,-1,1.0404,1.7424,0.2401
"Perot",0,0,1,-1,-1,0.9604,11.022,6.2001
