"wage76","grade76","exp76","black","south76","smsa76","region","smsa66","momdad14","sinmom14","nodaded","nomomed","daded","momed","famed","age76","col4"
NA,NA,NA,1,NA,0,3,1,0,1,1,0,9.9372,11,9,27,1
NA,NA,NA,1,NA,0,3,1,0,0,1,1,9.9372,10.251,9,24,1
2.6686,18,10,1,0,1,3,1,1,0,0,0,10,11,7,34,1
NA,NA,NA,1,NA,0,3,0,0,0,1,1,9.9372,10.251,9,27,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,12,12,3,28,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,10,14,6,24,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,11,13,6,25,1
NA,NA,NA,1,NA,0,3,1,0,0,0,0,8,9,8,26,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,11,12,6,27,1
NA,12,7,1,0,1,3,1,1,0,0,0,11,12,6,25,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,11,12,6,24,1
NA,14,5,0,0,1,3,1,0,0,0,0,12,12,3,25,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,8,12,6,32,1
1.6658,18,8,0,0,1,3,1,1,0,0,0,16,10,5,32,1
NA,11,14,1,0,1,3,1,1,0,0,0,8,12,6,31,1
1.9459,14,7,1,0,1,3,1,1,0,0,0,9,11,7,27,1
1.9095,8,20,1,0,1,3,1,0,0,1,0,9.9372,4,9,34,1
1.5974,18,1,0,0,1,3,1,1,0,0,0,8,10,8,25,1
NA,17,10,0,0,1,3,1,1,0,0,0,8,6,8,33,1
1.6094,12,6,0,0,1,3,1,1,0,0,0,12,8,5,24,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,2,5,8,31,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,7,10,8,26,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,11,10,7,29,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,11,10,7,24,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,29,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,16,12,2,28,1
NA,13,9,1,0,1,3,1,1,0,0,0,4,4,8,28,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,4,5,8,26,1
1.5041,16,2,1,0,1,3,1,1,0,1,1,9.9372,10.251,9,24,1
1.7934,13,6,1,0,1,3,1,0,1,1,0,9.9372,8,9,25,1
NA,NA,NA,1,NA,0,3,1,1,0,1,1,9.9372,10.251,9,27,1
NA,NA,NA,1,NA,0,3,1,0,1,1,0,9.9372,8,9,29,1
1.9699,13,9,1,0,1,3,1,1,0,0,0,9,12,6,28,1
1.7492,12,11,1,0,1,3,1,1,0,0,0,9,10,7,29,1
1.2528,12,7,1,0,1,3,1,1,0,0,0,9,10,7,25,1
1.2528,12,6,1,0,1,3,1,1,0,0,0,9,10,7,24,1
NA,NA,NA,1,NA,0,3,1,0,0,1,1,9.9372,10.251,9,26,1
1.861,16,7,0,0,1,3,1,1,0,0,0,12,12,3,29,1
1.9095,15,3,0,0,1,3,1,1,0,0,0,10,12,6,24,1
1.9155,15,7,0,0,1,3,1,1,0,0,0,12,12,3,28,1
1.6752,12,9,0,0,1,3,1,1,0,0,0,12,9,5,27,1
1.6563,16,9,0,0,1,3,1,1,0,0,0,12,10,5,31,1
1.8976,16,6,0,1,1,3,0,1,0,0,0,10,10,7,28,1
1.3083,14,6,0,0,1,3,1,1,0,0,1,12,10.251,5,26,1
1.884,15,5,0,0,1,3,1,1,0,0,0,12,12,3,26,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,8,8,8,29,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,8,8,8,25,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,5,6,8,34,1
NA,NA,NA,1,NA,0,3,1,0,0,1,1,9.9372,10.251,9,26,1
NA,14,11,1,0,1,3,1,1,0,0,0,9,9,7,31,1
1.9459,12,16,1,0,1,3,1,1,0,1,1,9.9372,10.251,9,34,1
NA,NA,NA,1,NA,0,3,1,0,1,1,1,9.9372,10.251,9,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,1,12,10.251,5,33,1
1.1346,18,3,0,0,1,3,1,1,0,0,0,9,12,6,27,1
2.1294,9,18,0,0,1,3,1,0,1,1,0,9.9372,9,9,33,1
NA,NA,NA,0,NA,0,3,1,0,1,1,0,9.9372,12,4,32,1
1.8871,14,11,0,0,1,3,1,1,0,0,0,10,12,6,31,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,4,8,8,33,1
1.9344,16,9,0,0,1,3,1,1,0,0,0,8,9,8,31,1
NA,16,6,0,0,1,3,1,1,0,0,0,8,9,8,28,1
NA,NA,NA,0,NA,0,3,1,0,0,0,0,7,9,8,27,1
1.7527,15,7,0,0,1,3,1,1,0,1,0,9.9372,7,9,28,1
NA,NA,NA,1,NA,0,3,1,0,1,1,0,9.9372,9,9,26,1
NA,NA,NA,1,NA,0,3,1,0,1,1,0,9.9372,9,9,27,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,6,7,8,29,1
NA,NA,NA,1,NA,0,3,1,0,1,1,0,9.9372,12,4,28,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,12,11,5,27,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,12,11,5,24,1
1.953,17,3,0,0,1,3,1,0,0,0,0,9,12,6,26,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,9,11,7,27,1
1.0716,16,5,0,1,1,3,1,1,0,0,0,5,8,8,27,1
2.0149,13,7,0,0,1,3,1,1,0,0,0,8,11,8,26,1
NA,NA,NA,0,NA,0,3,1,1,0,0,1,12,10.251,5,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,9,9,7,33,1
2.6686,16,12,0,0,1,3,1,1,0,0,0,12,12,3,34,1
2.4866,16,11,0,0,1,3,1,1,0,0,0,16,16,1,33,1
2.7745,15,12,0,1,1,3,1,1,0,1,0,9.9372,8,9,33,1
NA,14,13,0,0,1,3,1,1,0,0,0,18,12,2,33,1
2.0399,14,12,0,1,1,3,1,1,0,1,0,9.9372,12,4,32,1
NA,NA,NA,1,NA,0,3,1,0,0,1,1,9.9372,10.251,9,24,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,10,11,7,31,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,8,5,8,25,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,14,12,2,25,1
1.2892,16,2,0,0,1,3,1,1,0,0,0,8,8,8,24,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,9,12,6,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,9,12,6,27,1
1.6351,16,9,0,0,1,3,1,1,0,0,0,14,16,1,31,1
2.0857,12,13,0,0,1,3,1,0,1,1,0,9.9372,8,9,31,1
2.2638,17,11,0,0,1,3,1,1,0,0,0,8,8,8,34,1
NA,12,8,0,0,1,3,1,1,0,0,0,16,16,1,26,1
1.9095,12,7,0,0,1,3,1,1,0,0,0,16,16,1,25,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,15,12,2,34,1
1.3813,13,5,0,0,1,3,1,1,0,0,0,8,8,8,24,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,10,5,26,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,25,1
2.1459,14,13,0,0,1,3,1,1,0,0,0,12,12,3,33,1
NA,NA,NA,1,NA,0,3,1,1,0,1,1,9.9372,10.251,9,24,1
NA,NA,NA,1,NA,0,3,1,0,1,0,0,6,9,8,26,1
NA,14,5,1,0,1,3,1,0,1,0,0,6,9,8,25,1
NA,NA,NA,1,NA,0,3,1,1,0,1,0,9.9372,12,4,26,1
1.9359,11,8,1,0,1,3,1,0,1,1,0,9.9372,9,9,25,1
1.8579,11,7,1,0,1,3,1,1,0,0,0,8,9,8,24,1
1.2384,13,8,1,0,1,3,1,1,0,0,0,10,8,8,27,1
1.7246,12,9,1,0,1,3,1,1,0,1,1,9.9372,10.251,9,27,1
1.9228,12,6,1,0,1,3,1,1,0,0,0,9,11,7,24,1
NA,13,6,1,0,1,3,1,1,0,0,0,9,8,8,25,1
NA,NA,NA,1,NA,0,3,1,0,0,0,0,10,12,6,28,1
1.5454,16,7,0,1,1,3,1,1,0,0,0,16,16,1,29,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,28,1
1.0986,16,4,0,0,1,3,1,0,0,0,0,12,12,3,26,1
1.9066,18,1,0,0,1,3,1,1,0,0,0,12,9,5,25,1
1.3481,16,2,0,0,1,3,1,1,0,0,0,12,9,5,24,1
NA,NA,NA,0,NA,0,3,1,1,0,1,0,9.9372,12,4,33,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,8,12,6,31,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,9,12,6,27,1
2.0894,16,11,0,0,1,3,1,1,0,0,0,8,6,8,33,1
NA,12,14,0,0,1,3,1,1,0,0,0,12,12,3,32,1
1.7011,17,1,0,0,1,3,1,1,0,0,0,12,12,3,24,1
1.6094,16,4,0,0,1,3,1,1,0,0,0,12,12,3,26,1
1.9838,13,10,0,0,1,3,1,1,0,0,0,11,12,6,29,1
1.6563,16,6,0,0,1,3,0,1,0,0,0,11,12,6,28,1
NA,NA,NA,1,NA,0,3,1,1,0,1,0,9.9372,10,9,29,1
NA,NA,NA,1,NA,0,3,1,1,0,1,0,9.9372,12,4,31,1
NA,11,7,1,0,1,3,1,0,1,1,0,9.9372,8,9,24,1
1.5041,15,3,1,0,1,3,1,1,0,0,0,2,8,8,24,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,8,11,8,33,1
1.7281,NA,NA,1,1,0,3,1,1,0,0,0,6,8,8,29,1
2.0215,12,10,1,0,1,3,1,1,0,0,0,6,8,8,28,1
1.8563,12,6,1,0,1,3,1,0,0,0,1,11,10.251,9,24,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,8,12,6,28,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,6,9,8,33,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,6,9,8,30,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,10,11,7,29,1
1.141,12,6,1,0,1,3,1,1,0,0,0,10,12,6,24,1
NA,NA,NA,1,NA,0,3,1,0,1,1,1,9.9372,10.251,9,33,1
NA,NA,NA,1,NA,0,3,1,0,0,0,0,12,9,5,27,1
NA,NA,NA,1,NA,0,3,1,0,1,1,0,9.9372,12,4,24,1
2.6568,12,11,0,0,1,3,1,1,0,0,0,12,12,3,29,1
2.0295,12,10,0,0,1,3,1,1,0,0,0,11,5,8,28,1
1.7918,12,8,0,0,1,3,1,1,0,0,0,11,5,8,26,1
2.4078,16,10,0,0,1,3,1,1,0,0,0,12,15,2,32,1
2.0321,16,11,0,0,1,3,1,1,0,0,0,13,17,1,33,1
1.8718,12,14,0,0,1,3,1,1,0,0,0,8,8,8,32,1
2.4467,14,7,0,0,1,3,1,1,0,0,0,16,16,1,27,1
1.7918,12,6,0,0,1,3,1,1,0,0,0,9,12,6,24,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,8,10,8,25,1
1.7138,12,11,0,0,1,3,1,1,0,0,0,11,11,7,29,1
1.6919,11,11,0,0,1,3,1,1,0,0,0,11,11,7,28,1
1.7047,11,8,0,0,1,3,1,1,0,0,0,11,11,7,25,1
2.0794,11,14,0,0,1,3,1,0,0,1,1,9.9372,10.251,9,31,1
NA,NA,NA,0,NA,0,3,1,0,1,0,0,10,11,7,27,1
2.3026,11,9,0,0,1,3,1,1,0,0,0,10,11,7,26,1
NA,10,11,0,0,1,3,1,1,0,0,0,8,8,8,27,1
2.1564,12,13,0,0,1,3,1,1,0,0,0,13,11,5,31,1
1.8132,13,13,0,0,1,3,1,0,0,1,0,9.9372,6,9,32,1
1.6467,16,2,0,0,1,3,1,1,0,0,0,12,12,3,24,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,7,7,8,25,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,15,14,1,25,1
NA,NA,NA,1,NA,0,3,1,0,0,1,0,9.9372,12,4,32,1
1.9559,13,11,1,0,1,3,1,1,0,1,1,9.9372,10.251,9,30,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,8,10,8,28,1
NA,NA,NA,1,NA,0,3,1,0,0,1,1,9.9372,10.251,9,26,1
NA,NA,NA,1,NA,0,3,1,0,0,1,1,9.9372,10.251,9,24,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,10,10,7,27,1
2.1017,13,7,1,0,1,3,1,1,0,0,0,10,10,7,26,1
1.0986,10,9,1,0,1,3,1,1,0,0,0,10,12,6,25,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,16,12,2,33,1
NA,18,9,0,0,1,3,1,1,0,0,0,13,16,1,33,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,14,12,2,30,1
1.9488,16,8,0,0,1,3,1,1,0,0,0,9,9,7,30,1
2.5817,16,12,0,0,1,3,1,0,1,1,0,9.9372,12,4,34,1
1.335,12,9,1,0,1,3,1,0,1,1,0,9.9372,12,4,27,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,12,11,5,25,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,12,11,5,24,1
1.3863,11,9,1,0,1,3,1,0,0,1,1,9.9372,10.251,9,26,1
1.6054,11,8,1,0,1,3,1,0,1,1,1,9.9372,10.251,9,25,1
1.8916,10,17,1,0,1,3,1,0,1,1,0,9.9372,11,9,33,1
1.7918,10,17,1,0,1,3,1,1,0,0,0,8,11,8,33,1
2.336,18,8,0,1,0,3,1,1,0,0,0,16,12,2,32,1
NA,15,5,0,0,1,3,1,1,0,0,0,16,12,2,26,1
NA,14,7,0,0,1,3,1,1,0,0,0,12,12,3,27,1
2.3786,14,5,0,0,1,3,1,1,0,0,0,12,12,3,25,1
1.3863,18,0,0,1,1,3,1,1,0,0,0,12,12,3,24,1
1.8579,16,11,0,0,1,3,1,1,0,0,0,13,12,2,33,1
NA,NA,NA,0,NA,0,3,1,1,0,0,1,16,10.251,5,25,1
1.8245,12,14,0,0,1,3,1,0,0,1,0,9.9372,8,9,32,1
NA,NA,NA,1,NA,0,3,1,0,1,1,0,9.9372,10,9,26,1
1.5707,17,7,0,0,1,3,1,0,0,0,0,12,11,5,30,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,26,1
2.359,16,11,0,0,1,3,1,1,0,0,0,8,8,8,33,1
1.6956,12,8,0,0,1,3,1,1,0,0,0,8,12,6,26,1
2.0618,14,6,0,0,1,3,1,1,0,0,0,12,12,3,26,1
1.579,18,1,0,0,1,3,1,1,0,0,0,12,12,3,25,1
1.9769,14,14,0,0,1,3,1,1,0,0,0,11,11,7,34,1
1.9387,15,7,0,0,1,3,1,1,0,0,0,12,12,3,28,1
1.7029,15,13,0,0,1,3,1,1,0,0,0,12,12,3,34,1
2.0707,15,11,0,0,1,3,1,1,0,0,0,15,12,2,32,1
2.9565,16,11,0,1,1,3,1,1,0,0,0,18,16,1,33,1
NA,16,11,0,0,0,3,1,1,0,0,0,10,8,8,33,1
2.0707,15,12,0,0,1,3,1,1,0,0,0,12,12,3,33,1
2.1972,15,7,0,0,1,3,1,0,0,1,1,9.9372,10.251,9,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,5,5,32,1
1.8779,14,12,0,0,1,3,1,1,0,0,0,8,8,8,32,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,10,12,6,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,10,12,6,26,1
1.6351,12,9,0,0,1,3,1,1,0,0,0,12,12,3,27,1
NA,16,3,0,0,1,3,1,1,0,0,0,12,12,3,25,1
1.3455,14,9,0,0,1,3,1,0,1,1,0,9.9372,12,4,29,1
1.6094,16,5,0,1,0,3,1,1,0,0,0,16,16,1,27,1
1.7934,15,4,0,0,1,3,1,1,0,0,0,12,11,5,25,1
1.477,12,9,0,0,1,3,1,1,0,0,0,12,12,3,27,1
1.6094,12,7,0,0,1,3,1,1,0,0,0,12,12,3,25,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,13,8,5,25,1
NA,12,7,1,0,1,3,1,1,0,0,0,7,2,8,25,1
2.5369,18,9,0,0,1,3,1,0,1,1,0,9.9372,18,4,33,1
2.0109,14,6,0,1,1,3,1,1,0,0,0,12,14,2,26,1
1.6351,14,7,0,0,1,3,1,1,0,0,0,12,12,3,27,1
NA,NA,NA,0,NA,0,3,1,0,1,1,0,9.9372,8,9,31,1
1.9459,12,15,0,1,1,3,1,0,1,1,1,9.9372,10.251,9,33,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,13,12,2,24,1
1.9051,16,7,0,0,1,3,1,1,0,0,0,14,12,2,29,1
2.2854,17,7,0,0,1,3,1,1,0,1,1,9.9372,10.251,9,30,1
0.7885,13,10,0,0,0,3,1,1,0,0,0,12,12,3,29,1
2.4866,18,9,0,0,1,3,1,1,0,0,0,12,12,3,33,1
1.8976,12,12,0,0,0,3,1,1,0,0,0,12,12,3,30,1
NA,NA,NA,1,NA,0,3,1,1,0,1,0,9.9372,10,9,31,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,3,4,8,34,1
2.1258,14,8,1,0,1,3,1,0,0,1,1,9.9372,10.251,9,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,11,5,27,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,27,1
1.4907,15,4,0,0,1,3,1,1,0,0,0,12,12,3,25,1
NA,12,6,0,0,0,3,1,1,0,0,0,12,12,3,24,1
NA,16,5,0,0,1,3,1,1,0,0,0,10,12,6,27,1
1.6919,12,7,0,0,1,3,1,1,0,0,0,10,12,6,25,1
1.6194,14,10,0,1,1,3,1,1,0,0,0,12,12,3,30,1
2.0757,12,13,0,0,0,3,1,0,0,1,1,9.9372,10.251,9,31,1
1.2726,9,9,0,0,1,3,1,1,0,0,0,10,8,8,24,1
1.6094,12,9,0,0,1,3,1,1,0,0,0,12,8,5,27,1
2.2638,12,16,0,0,1,3,1,0,1,1,0,9.9372,8,9,34,1
1.2528,11,11,0,0,1,3,1,1,0,0,0,6,5,8,28,1
1.141,15,3,0,0,1,3,1,1,0,0,0,6,5,8,24,1
0.157,16,2,0,1,1,3,1,1,0,0,0,17,13,1,24,1
1.9824,12,15,0,0,1,3,1,1,0,0,0,10,8,8,33,1
1.679,13,14,1,0,1,3,1,1,0,1,0,9.9372,11,9,33,1
1.6715,13,7,1,1,1,3,1,1,0,0,0,12,12,3,26,1
1.454,17,5,1,1,1,3,1,0,0,1,1,9.9372,10.251,9,28,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,4,11,8,25,1
NA,12,12,0,1,0,3,1,0,1,1,1,9.9372,10.251,9,30,1
2.3924,16,12,0,0,1,3,1,1,0,0,0,15,13,1,34,1
2.9575,12,15,0,0,1,3,1,0,1,1,0,9.9372,9,9,33,1
2.1401,18,8,0,1,1,3,1,1,0,0,0,10,12,6,32,1
NA,NA,NA,0,NA,0,3,0,1,0,0,0,16,15,1,30,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,16,15,1,27,1
1.2947,12,6,0,0,1,3,1,1,0,0,0,11,11,7,24,1
1.556,16,4,0,0,1,3,1,1,0,0,0,12,8,5,26,1
1.881,13,7,0,0,1,3,1,1,0,0,0,11,10,7,26,1
1.4816,12,7,0,0,1,3,1,1,0,0,0,11,10,7,25,1
1.5304,14,5,0,0,1,3,1,1,0,0,0,10,11,7,25,1
1.9066,16,6,0,0,1,3,1,0,0,0,1,9,10.251,9,28,0
2.4423,12,6,0,0,1,3,1,1,0,0,0,12,12,3,24,0
NA,16,2,0,0,1,3,1,0,1,1,0,9.9372,12,4,24,0
2.0794,12,13,0,0,1,3,1,0,0,1,1,9.9372,10.251,9,31,0
NA,NA,NA,0,NA,0,3,1,0,0,1,1,9.9372,10.251,9,33,0
1.5261,12,7,0,0,1,3,1,0,1,1,0,9.9372,12,4,25,0
NA,11,12,0,0,1,3,1,1,0,0,0,6,12,6,29,0
1.206,12,8,0,0,1,3,1,0,0,1,1,9.9372,10.251,9,26,0
1.9488,13,7,0,0,1,3,1,1,0,0,0,6,8,8,26,0
1.6563,12,7,0,0,1,3,1,1,0,0,0,6,8,8,25,0
NA,18,9,0,0,1,4,1,1,0,0,0,9,10,7,33,1
NA,NA,NA,0,NA,0,4,1,1,0,0,0,12,13,2,34,1
1.8976,7,20,0,0,0,4,1,0,0,1,0,9.9372,8,9,33,1
NA,12,15,0,0,0,4,1,1,0,0,0,12,12,3,33,1
NA,12,10,0,0,1,4,1,1,0,0,0,6,12,6,28,1
1.8579,18,2,0,0,1,3,1,1,0,0,0,12,12,3,26,1
2.0794,12,6,0,0,1,3,1,1,0,0,0,12,12,3,24,1
NA,13,7,0,0,1,3,1,1,0,0,0,17,12,2,26,1
1.7527,12,14,0,0,1,3,1,1,0,1,0,9.9372,12,4,32,1
NA,18,10,0,0,0,3,1,1,0,0,0,10,9,7,34,1
1.4422,18,8,0,0,0,3,1,1,0,0,0,12,12,3,32,1
2.1679,18,5,0,0,1,3,1,0,0,1,1,9.9372,10.251,9,29,1
1.8563,15,7,0,0,1,3,1,0,1,1,0,9.9372,12,4,28,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,11,11,7,30,1
NA,NA,NA,1,NA,0,3,1,1,0,0,0,11,11,7,27,1
2.3988,16,7,0,1,1,4,1,1,0,0,0,12,14,2,29,0
1.8703,16,4,0,0,1,4,1,1,0,0,0,12,14,2,26,0
1.5041,12,8,0,1,1,4,1,1,0,0,0,8,8,8,26,0
2.2235,12,15,0,0,1,4,1,1,0,1,0,9.9372,9,9,33,0
1.943,11,10,0,0,1,4,1,0,1,1,0,9.9372,9,9,27,0
1.6194,15,13,1,0,1,4,1,1,0,1,1,9.9372,10.251,9,34,0
1.7156,16,6,0,1,1,4,1,1,0,0,0,12,13,2,28,0
1.3218,17,2,0,0,0,4,1,1,0,0,0,12,13,2,25,0
1.9066,15,7,0,1,1,4,1,1,0,0,0,12,12,3,28,0
1.1249,13,11,0,0,1,4,1,1,0,0,0,8,8,8,30,0
1.7664,12,16,0,0,1,4,1,1,0,0,0,12,12,3,34,0
2.0554,12,6,0,0,1,4,1,1,0,0,0,12,13,2,24,0
NA,NA,NA,0,NA,0,4,1,1,0,0,1,8,10.251,9,34,0
1.7918,13,6,0,0,1,3,1,1,0,0,0,14,14,1,25,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,28,1
NA,NA,NA,0,NA,0,3,1,0,1,1,0,9.9372,8,9,32,1
1.881,12,9,0,0,1,3,1,0,1,1,0,9.9372,8,9,27,1
1.4422,12,10,0,0,1,3,1,1,0,0,0,8,5,8,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,8,5,8,26,1
NA,12,11,0,0,1,3,1,0,1,1,1,9.9372,10.251,9,29,1
2.551,16,6,0,0,1,3,1,1,0,0,0,12,12,3,28,1
NA,NA,NA,0,NA,0,3,1,0,0,1,0,9.9372,8,9,32,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,27,1
2.2638,12,7,0,0,1,3,1,0,0,0,0,11,12,6,25,1
2.0794,12,12,0,0,1,3,1,1,0,0,0,4,16,6,30,1
NA,14,8,0,0,1,3,1,1,0,0,0,12,12,3,28,1
2.0149,12,15,0,0,1,3,1,1,0,0,0,12,12,3,33,1
1.8672,18,5,0,0,1,3,1,1,0,0,0,12,12,3,29,1
2.2386,12,11,0,0,1,3,1,1,0,0,0,10,12,6,29,1
1.6808,17,5,0,0,1,3,0,1,0,0,0,17,12,2,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,18,12,2,24,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,12,12,3,26,1
NA,8,15,0,0,1,3,1,0,1,1,0,9.9372,8,9,29,1
1.0647,15,3,0,0,1,3,1,1,0,0,0,13,16,1,24,1
0.6523,12,11,0,1,0,5,0,1,0,0,0,6,8,8,29,1
2.1017,18,6,0,0,1,3,1,0,0,1,1,9.9372,10.251,9,30,1
2.0956,18,6,0,0,1,3,1,0,0,1,0,9.9372,13,4,30,1
1.9838,12,11,0,0,1,3,1,1,0,0,0,10,12,6,29,1
NA,NA,NA,0,NA,0,3,1,0,0,1,1,9.9372,10.251,9,32,1
2.4204,12,6,0,0,1,3,1,1,0,0,0,10,12,6,24,1
NA,11,13,1,0,1,3,1,0,0,1,1,9.9372,10.251,9,30,1
1.8165,17,5,1,0,1,3,1,0,0,0,1,14,10.251,5,28,1
1.3938,12,8,1,0,1,3,1,0,0,0,1,14,10.251,5,26,1
1.953,11,9,0,0,1,3,1,1,0,0,0,8,9,8,26,1
1.2149,15,6,0,0,1,3,1,1,0,0,0,11,12,6,27,1
2.1199,17,5,0,0,1,3,1,1,0,0,0,11,12,6,28,1
0.6523,17,3,0,0,1,3,1,1,0,0,0,11,12,6,26,1
NA,12,10,0,0,1,3,1,1,0,0,0,6,7,8,28,1
NA,NA,NA,0,NA,0,3,1,1,0,0,0,6,7,8,26,1
1.9879,12,8,0,0,1,3,1,1,0,0,0,12,12,3,26,1
1.6901,10,10,0,0,1,3,1,1,0,0,0,9,11,7,26,1
2.1078,12,10,0,0,0,3,0,1,0,0,0,11,11,7,28,1
1.477,12,8,0,1,1,3,0,1,0,0,0,11,11,7,26,1
1.9947,14,4,0,1,1,3,0,1,0,0,0,11,11,7,24,1
1.4516,16,2,0,0,1,3,0,1,0,0,0,14,12,2,24,1
NA,12,11,0,0,0,3,0,1,0,0,0,12,18,2,29,1
1.2238,12,12,0,0,0,3,0,1,0,0,0,11,12,6,30,1
NA,NA,NA,0,NA,0,3,0,1,0,0,0,8,11,8,26,1
NA,18,9,1,0,1,3,0,0,0,0,0,12,12,3,33,1
NA,NA,NA,1,NA,0,3,0,0,1,1,0,9.9372,6,9,31,1
NA,NA,NA,1,NA,0,3,0,0,1,1,0,9.9372,6,9,27,1
1.5707,13,15,0,1,1,3,0,1,0,0,0,14,11,5,34,1
2.1005,16,10,0,0,1,3,0,1,0,0,0,10,12,6,32,1
1.6094,12,10,0,0,0,3,0,1,0,0,0,12,12,3,28,1
NA,NA,NA,1,NA,0,3,0,0,0,1,1,9.9372,10.251,9,27,1
1.6919,12,7,1,0,1,3,0,0,0,1,1,9.9372,10.251,9,25,1
NA,NA,NA,1,NA,0,3,0,1,0,1,0,9.9372,9,9,31,1
1.4974,16,4,0,0,1,3,0,0,1,1,0,9.9372,11,9,26,1
NA,NA,NA,0,NA,0,3,0,0,1,1,0,9.9372,11,9,24,1
NA,NA,NA,0,NA,0,3,0,1,0,1,1,9.9372,10.251,9,32,1
NA,NA,NA,0,NA,0,3,0,1,0,0,0,8,8,8,33,1
0.7747,15,4,0,0,0,3,0,0,0,1,0,9.9372,11,9,25,1
NA,NA,NA,0,NA,0,3,0,1,0,1,1,9.9372,10.251,9,30,1
1.0116,8,12,0,0,1,3,1,0,0,0,0,3,6,8,26,1
1.2585,15,3,1,0,1,3,1,1,0,0,0,8,10,8,24,1
NA,13,8,0,0,1,3,0,1,0,0,0,16,16,1,27,1
NA,14,6,0,0,0,3,0,1,0,0,0,16,16,1,26,1
1.9755,12,11,0,0,0,3,0,1,0,0,0,8,10,8,29,1
2.3106,12,9,0,0,0,3,0,1,0,0,0,3,8,8,27,1
NA,NA,NA,0,NA,0,3,0,1,0,0,0,8,11,8,34,1
1.8779,17,6,0,0,1,3,0,1,0,0,0,8,12,6,29,1
2.0832,16,4,0,0,1,3,1,1,0,1,0,9.9372,16,4,26,1
1.7405,12,9,0,0,1,3,1,1,0,0,0,8,12,6,27,1
