"tmathssk","treadssk","classk","totexpk","sex","freelunk","race","schidkn"
602,461,"regular.with.aide",15,"boy","yes","white",21
473,437,"regular.with.aide",12,"boy","yes","white",79
547,448,"small.class",27,"girl","yes","white",40
559,461,"small.class",20,"boy","no","white",17
478,430,"regular.with.aide",13,"girl","no","white",80
423,403,"regular.with.aide",5,"boy","no","white",34
484,428,"regular",13,"boy","no","white",55
439,416,"regular.with.aide",17,"boy","yes","black",16
478,460,"regular",10,"boy","no","white",1
494,460,"regular",11,"girl","no","white",49
489,433,"small.class",0,"girl","yes","black",23
536,522,"small.class",13,"girl","no","white",9
454,403,"small.class",10,"girl","yes","white",66
434,431,"regular.with.aide",12,"boy","no","black",20
439,425,"regular.with.aide",3,"girl","yes","white",78
500,443,"regular",3,"boy","yes","white",10
454,402,"regular.with.aide",8,"boy","no","white",59
444,395,"regular",3,"boy","yes","black",32
449,403,"regular",11,"girl","yes","black",22
405,384,"small.class",8,"boy","yes","black",28
528,490,"small.class",6,"boy","no","white",68
528,455,"regular.with.aide",7,"boy","no","white",4
399,390,"regular.with.aide",11,"boy","yes","black",45
459,413,"small.class",6,"girl","yes","black",19
506,428,"regular.with.aide",14,"boy","no","white",73
489,442,"regular",5,"girl","yes","black",37
439,419,"small.class",0,"girl","no","white",4
602,495,"small.class",5,"girl","yes","black",29
444,436,"small.class",13,"boy","yes","black",24
484,436,"regular.with.aide",9,"girl","no","white",65
506,467,"regular.with.aide",9,"boy","no","black",53
454,443,"small.class",2,"boy","no","white",34
412,388,"regular.with.aide",3,"girl","no","white",78
494,439,"small.class",8,"boy","no","white",41
439,428,"regular.with.aide",11,"boy","yes","black",45
520,445,"small.class",10,"girl","no","white",3
459,414,"small.class",8,"boy","yes","white",5
468,430,"regular",6,"girl","yes","black",24
459,427,"regular.with.aide",0,"girl","yes","white",37
454,425,"regular",2,"boy","no","white",57
602,476,"small.class",4,"boy","yes","white",7
500,421,"small.class",3,"boy","no","white",75
559,448,"small.class",6,"boy","no","white",68
454,414,"regular.with.aide",21,"boy","yes","white",40
513,414,"regular.with.aide",1,"boy","yes","black",19
536,416,"regular",6,"boy","no","white",71
473,440,"regular",3,"boy","no","white",58
478,455,"regular",16,"boy","yes","white",69
478,433,"regular",17,"girl","yes","black",34
459,413,"regular.with.aide",13,"girl","yes","white",80
459,422,"regular.with.aide",27,"girl","yes","white",70
602,497,"regular.with.aide",13,"boy","no","white",11
463,458,"small.class",17,"boy","no","white",36
429,418,"regular.with.aide",7,"boy","no","white",56
506,436,"small.class",1,"girl","yes","black",16
399,380,"regular",6,"boy","yes","black",33
449,397,"regular.with.aide",21,"girl","yes","black",23
489,437,"regular.with.aide",5,"boy","no","black",21
434,418,"regular.with.aide",17,"girl","yes","black",16
547,460,"small.class",4,"boy","no","white",63
444,403,"regular.with.aide",6,"boy","yes","black",16
484,408,"regular.with.aide",5,"boy","no","white",34
418,413,"regular.with.aide",14,"girl","yes","white",70
478,422,"regular",10,"boy","yes","white",68
489,443,"small.class",20,"girl","no","black",17
444,386,"regular",4,"girl","yes","white",35
423,431,"small.class",21,"boy","yes","black",15
528,451,"small.class",11,"boy","no","white",61
513,487,"regular.with.aide",8,"girl","no","white",5
547,456,"small.class",14,"girl","no","white",74
547,427,"regular",1,"boy","no","white",76
449,413,"regular.with.aide",12,"boy","no","white",63
444,407,"regular.with.aide",22,"girl","yes","black",33
468,468,"small.class",16,"boy","no","white",51
454,418,"regular",2,"boy","no","white",76
602,465,"regular.with.aide",0,"girl","yes","black",19
444,410,"regular.with.aide",14,"girl","yes","white",70
449,413,"regular.with.aide",17,"girl","no","white",43
506,461,"regular",8,"girl","no","white",9
559,565,"small.class",4,"boy","yes","white",40
513,434,"regular.with.aide",13,"girl","no","white",80
423,376,"regular",13,"boy","no","white",75
463,427,"regular.with.aide",15,"girl","yes","white",47
500,419,"regular",8,"girl","no","white",3
520,478,"regular.with.aide",10,"girl","no","black",27
489,419,"regular",10,"girl","yes","white",68
576,627,"regular.with.aide",14,"boy","no","white",36
473,442,"regular.with.aide",5,"girl","no","white",51
520,442,"regular",6,"boy","yes","white",13
439,380,"regular",12,"boy","yes","black",45
449,418,"regular.with.aide",16,"boy","yes","black",22
513,483,"small.class",7,"girl","yes","white",9
478,478,"regular",5,"boy","no","white",9
484,428,"regular",12,"girl","no","white",65
500,456,"regular",2,"girl","yes","black",32
536,485,"regular.with.aide",20,"boy","yes","black",27
602,434,"small.class",21,"boy","no","white",48
547,478,"regular.with.aide",24,"girl","yes","black",30
478,410,"regular",16,"boy","yes","white",62
468,433,"small.class",2,"boy","no","white",34
459,405,"regular",0,"girl","no","black",17
454,431,"regular",5,"boy","no","white",37
506,431,"regular",4,"girl","yes","black",20
489,437,"regular.with.aide",3,"girl","no","white",58
500,440,"small.class",14,"girl","yes","black",59
547,467,"regular.with.aide",9,"boy","no","white",7
423,413,"regular",13,"boy","yes","black",51
459,419,"regular.with.aide",6,"boy","yes","black",16
506,461,"small.class",8,"boy","no","white",58
520,483,"regular.with.aide",12,"boy","no","white",10
444,410,"regular.with.aide",10,"boy","no","black",24
478,439,"regular.with.aide",11,"girl","yes","white",6
528,425,"regular.with.aide",13,"girl","yes","white",67
444,411,"small.class",5,"girl","yes","white",67
536,456,"regular.with.aide",12,"girl","yes","black",63
449,419,"regular",13,"boy","no","white",60
478,474,"small.class",15,"boy","yes","black",51
513,453,"regular",15,"girl","no","white",41
489,422,"regular.with.aide",9,"boy","no","white",49
494,402,"regular.with.aide",15,"boy","yes","black",21
494,416,"small.class",8,"boy","yes","white",78
506,428,"regular.with.aide",15,"boy","no","white",47
506,461,"small.class",12,"girl","no","white",54
405,382,"regular.with.aide",9,"girl","yes","black",7
484,460,"regular.with.aide",18,"girl","no","white",52
484,439,"regular",5,"boy","no","white",37
536,416,"small.class",8,"girl","no","white",78
484,442,"small.class",12,"girl","yes","white",34
576,474,"small.class",6,"girl","yes","black",72
500,483,"regular",12,"boy","yes","black",27
473,424,"regular",13,"boy","no","white",79
429,410,"small.class",12,"boy","yes","black",15
478,436,"small.class",8,"boy","no","white",68
506,448,"regular.with.aide",12,"boy","no","white",51
536,478,"regular.with.aide",13,"girl","no","white",48
484,407,"small.class",11,"boy","no","white",61
506,447,"small.class",27,"girl","yes","white",40
602,487,"regular.with.aide",2,"girl","no","white",71
500,424,"regular.with.aide",1,"boy","no","black",20
459,403,"small.class",12,"boy","yes","black",15
454,402,"regular.with.aide",11,"boy","yes","white",18
478,439,"regular.with.aide",15,"girl","no","white",21
513,461,"regular",11,"boy","no","white",49
513,474,"small.class",2,"boy","yes","black",30
384,416,"regular.with.aide",22,"boy","yes","black",33
576,468,"regular.with.aide",1,"girl","no","black",20
528,450,"small.class",7,"boy","no","white",61
626,461,"regular.with.aide",9,"girl","no","white",7
463,437,"small.class",6,"girl","yes","black",19
454,425,"small.class",1,"girl","no","white",73
449,413,"regular",2,"boy","no","white",57
484,522,"regular.with.aide",0,"girl","yes","black",19
478,418,"regular",11,"boy","yes","black",51
454,419,"regular",6,"boy","no","white",63
468,427,"small.class",21,"boy","no","white",48
500,436,"regular",11,"girl","no","black",15
520,474,"small.class",12,"girl","yes","white",6
449,422,"regular.with.aide",5,"girl","yes","white",60
412,413,"regular.with.aide",7,"boy","yes","black",22
536,450,"small.class",9,"boy","no","black",22
547,442,"regular",13,"girl","no","white",55
626,510,"regular.with.aide",8,"boy","no","black",74
513,478,"small.class",8,"girl","no","white",58
513,451,"regular.with.aide",8,"boy","yes","white",5
536,460,"small.class",5,"girl","no","white",35
500,447,"regular",15,"girl","no","white",36
626,518,"small.class",3,"boy","yes","black",44
484,405,"small.class",13,"boy","yes","white",8
449,418,"regular",6,"girl","no","white",13
449,416,"regular.with.aide",8,"girl","yes","white",38
500,424,"regular",1,"girl","yes","black",22
547,458,"regular.with.aide",12,"boy","yes","white",12
494,408,"regular.with.aide",7,"boy","no","white",4
439,405,"small.class",10,"girl","yes","black",18
494,455,"regular.with.aide",9,"girl","no","white",65
513,448,"regular",6,"boy","no","white",13
494,430,"regular",24,"boy","yes","black",44
459,405,"small.class",1,"girl","no","white",37
418,395,"small.class",12,"girl","no","white",2
418,407,"small.class",8,"girl","no","black",28
536,437,"regular",0,"boy","no","white",67
547,522,"regular",4,"boy","no","white",35
478,453,"regular.with.aide",13,"boy","yes","white",11
449,434,"regular.with.aide",12,"girl","no","black",20
506,456,"regular",6,"girl","no","black",19
484,440,"regular.with.aide",8,"boy","no","white",74
513,472,"regular.with.aide",8,"girl","yes","white",38
463,437,"regular.with.aide",12,"girl","yes","black",20
626,478,"small.class",6,"boy","yes","white",72
484,430,"regular",24,"girl","yes","black",22
375,386,"regular.with.aide",5,"girl","yes","black",28
444,403,"regular",13,"girl","no","white",51
520,442,"small.class",8,"boy","yes","white",70
434,395,"regular",4,"girl","yes","white",35
473,419,"regular",16,"boy","no","white",68
494,422,"regular",12,"girl","yes","white",72
520,442,"small.class",6,"boy","yes","black",31
489,453,"small.class",4,"boy","no","white",46
484,397,"regular.with.aide",6,"boy","no","white",13
392,403,"regular.with.aide",0,"girl","yes","black",32
520,447,"regular",24,"boy","yes","black",22
463,414,"regular.with.aide",12,"boy","no","white",12
602,495,"small.class",4,"boy","no","white",7
602,485,"regular",8,"girl","no","white",72
506,428,"regular",11,"boy","yes","black",15
444,431,"small.class",21,"girl","no","black",20
478,413,"small.class",1,"boy","yes","black",27
520,416,"small.class",9,"girl","yes","black",22
489,410,"regular",6,"boy","yes","black",24
449,408,"small.class",11,"boy","yes","white",47
444,418,"regular",1,"boy","no","white",6
489,436,"regular",20,"girl","yes","white",64
576,440,"small.class",9,"girl","no","white",12
429,408,"regular.with.aide",14,"boy","yes","white",70
528,445,"regular.with.aide",12,"boy","no","white",12
454,437,"small.class",5,"boy","yes","black",24
444,413,"regular",14,"girl","no","white",42
429,405,"regular",12,"boy","yes","white",8
494,400,"regular",10,"boy","yes","black",30
602,474,"regular",20,"girl","no","black",23
494,434,"regular.with.aide",10,"boy","no","black",27
484,451,"regular.with.aide",0,"boy","no","white",37
484,440,"small.class",1,"girl","no","white",60
506,424,"regular",5,"boy","yes","white",47
478,476,"regular",8,"boy","no","white",3
444,405,"regular.with.aide",13,"boy","yes","white",48
500,433,"regular",0,"girl","no","black",27
468,419,"regular",5,"girl","no","white",47
478,453,"small.class",14,"boy","yes","black",33
454,402,"regular.with.aide",10,"girl","yes","black",28
418,413,"regular",4,"boy","yes","black",20
454,408,"regular.with.aide",10,"girl","yes","black",24
473,418,"small.class",12,"girl","yes","white",6
513,545,"regular.with.aide",12,"boy","yes","white",51
559,434,"regular.with.aide",9,"boy","yes","white",7
489,434,"small.class",14,"girl","no","white",21
434,408,"regular",13,"boy","no","black",54
459,402,"regular.with.aide",0,"boy","yes","black",32
576,472,"regular",1,"girl","no","white",21
494,443,"regular",11,"girl","no","white",64
439,402,"regular",17,"girl","no","white",34
506,456,"regular",12,"boy","no","white",72
459,448,"regular.with.aide",17,"girl","no","white",43
478,436,"regular.with.aide",0,"boy","no","white",46
444,403,"regular.with.aide",5,"girl","no","white",60
454,416,"small.class",12,"girl","yes","white",6
478,503,"regular.with.aide",0,"boy","yes","black",19
520,451,"regular.with.aide",18,"boy","no","white",52
500,436,"regular.with.aide",15,"girl","yes","white",21
520,447,"regular",22,"girl","no","white",61
454,411,"small.class",11,"girl","yes","black",23
489,455,"small.class",10,"girl","no","white",42
444,418,"small.class",15,"boy","yes","white",70
459,448,"regular",8,"boy","no","black",3
478,431,"regular",4,"boy","no","white",48
434,430,"regular.with.aide",5,"boy","yes","white",60
463,448,"regular.with.aide",13,"boy","yes","black",11
478,439,"regular",13,"boy","no","white",50
384,398,"regular.with.aide",7,"girl","yes","black",56
513,424,"regular.with.aide",3,"boy","no","white",66
463,443,"regular",20,"girl","no","white",64
463,422,"regular",6,"boy","no","white",63
494,405,"regular.with.aide",5,"boy","yes","black",51
459,418,"small.class",8,"boy","no","white",57
500,443,"small.class",11,"boy","no","black",23
528,495,"regular",13,"girl","no","white",51
473,463,"small.class",8,"girl","no","white",58
444,402,"small.class",13,"girl","yes","white",8
463,413,"regular",6,"girl","yes","black",19
626,554,"regular",11,"girl","no","white",75
459,422,"regular.with.aide",12,"boy","yes","white",35
423,393,"small.class",1,"boy","yes","black",26
513,453,"regular.with.aide",16,"girl","no","white",41
320,315,"regular",3,"boy","yes","white",56
576,458,"small.class",14,"girl","no","white",1
449,445,"regular",13,"girl","no","white",75
520,433,"regular.with.aide",12,"girl","no","white",50
434,400,"regular",13,"girl","yes","white",55
520,437,"regular",6,"girl","no","white",13
473,470,"regular",13,"boy","no","white",51
468,422,"regular",5,"girl","yes","black",29
439,416,"regular",11,"boy","yes","white",49
468,418,"regular.with.aide",7,"girl","yes","black",22
536,422,"regular",20,"boy","no","white",12
412,397,"small.class",2,"girl","yes","black",16
528,467,"regular",12,"boy","yes","black",27
602,492,"small.class",4,"girl","no","white",40
468,450,"regular.with.aide",10,"boy","yes","black",28
513,453,"regular",22,"girl","no","white",61
520,447,"regular.with.aide",11,"boy","yes","black",31
454,414,"regular.with.aide",3,"boy","yes","black",15
434,391,"regular.with.aide",6,"boy","yes","black",16
478,431,"small.class",9,"boy","yes","white",12
559,443,"regular",8,"boy","no","white",3
459,400,"regular",11,"girl","yes","black",22
468,430,"regular",22,"boy","yes","white",61
473,460,"regular.with.aide",16,"girl","no","white",41
500,425,"regular",10,"boy","yes","white",70
528,495,"regular",19,"girl","no","white",73
434,397,"regular",11,"boy","yes","black",22
449,411,"regular.with.aide",10,"boy","yes","white",72
513,437,"regular",12,"girl","no","white",72
454,418,"regular",4,"boy","no","white",80
484,465,"regular",16,"girl","yes","white",69
478,425,"regular",8,"girl","yes","white",72
434,424,"regular",24,"boy","yes","black",22
454,398,"small.class",19,"boy","yes","white",64
547,461,"regular.with.aide",11,"girl","yes","white",37
494,456,"small.class",7,"girl","yes","white",9
520,422,"regular",3,"boy","no","white",43
468,442,"small.class",13,"boy","no","white",9
449,405,"regular.with.aide",9,"boy","no","white",3
468,437,"regular.with.aide",9,"girl","no","white",1
576,580,"regular.with.aide",14,"girl","no","white",9
520,455,"regular.with.aide",17,"boy","no","white",58
513,456,"regular",12,"boy","no","white",8
520,492,"small.class",9,"boy","no","white",3
478,433,"regular.with.aide",0,"boy","yes","black",44
449,448,"small.class",1,"girl","yes","black",32
484,460,"regular",12,"boy","yes","white",72
478,461,"regular",13,"girl","yes","white",60
528,456,"regular.with.aide",12,"boy","no","white",63
484,407,"regular.with.aide",21,"girl","yes","black",23
473,413,"regular.with.aide",21,"girl","yes","black",23
528,465,"regular.with.aide",9,"girl","no","white",1
473,411,"regular",6,"boy","yes","white",2
468,411,"regular",8,"boy","yes","black",16
559,565,"regular",3,"girl","no","white",10
528,443,"regular.with.aide",14,"boy","no","white",36
444,437,"small.class",9,"girl","yes","white",12
536,411,"regular",24,"boy","yes","black",44
449,422,"regular.with.aide",5,"boy","no","white",34
463,434,"regular.with.aide",9,"girl","yes","white",65
500,474,"regular",10,"girl","yes","black",68
506,424,"regular",6,"boy","yes","white",63
423,386,"small.class",3,"boy","yes","black",45
468,408,"regular",1,"girl","yes","black",23
602,472,"regular",6,"girl","yes","black",27
506,448,"regular.with.aide",12,"boy","no","white",51
463,407,"regular.with.aide",3,"girl","yes","black",15
513,434,"small.class",6,"boy","yes","black",28
429,393,"regular.with.aide",3,"girl","yes","black",42
423,414,"small.class",2,"boy","yes","black",16
454,410,"regular",6,"boy","no","white",71
478,433,"regular",5,"boy","no","white",37
429,405,"regular",13,"girl","no","white",56
459,433,"regular.with.aide",11,"boy","no","white",6
506,425,"regular",1,"boy","yes","black",22
429,408,"regular",1,"boy","yes","black",22
468,445,"regular",8,"girl","no","white",4
528,478,"regular",12,"boy","yes","black",27
444,445,"regular.with.aide",11,"boy","no","white",9
484,450,"regular",11,"boy","no","white",64
473,430,"regular",9,"girl","yes","black",28
375,398,"regular",6,"boy","no","white",63
500,447,"small.class",7,"boy","no","white",61
528,440,"regular.with.aide",16,"girl","no","white",41
444,411,"regular.with.aide",22,"girl","yes","black",33
468,405,"small.class",1,"girl","yes","black",16
459,424,"regular",11,"boy","no","white",64
418,413,"regular",6,"boy","yes","black",19
528,456,"regular",12,"girl","yes","black",27
602,474,"small.class",6,"boy","yes","white",72
468,391,"small.class",11,"girl","no","white",47
520,483,"regular.with.aide",20,"boy","yes","black",27
429,424,"small.class",10,"girl","yes","black",42
494,425,"regular.with.aide",11,"boy","no","white",6
489,450,"regular",16,"girl","no","white",62
489,450,"regular.with.aide",16,"girl","no","white",41
506,465,"regular.with.aide",9,"girl","no","white",1
513,424,"regular.with.aide",7,"boy","no","black",4
494,463,"small.class",9,"boy","no","white",3
468,419,"regular.with.aide",8,"boy","yes","white",57
576,507,"regular.with.aide",5,"boy","no","white",60
494,416,"regular",5,"boy","no","white",47
434,402,"regular.with.aide",7,"girl","no","white",54
513,453,"regular.with.aide",12,"girl","no","white",63
513,448,"regular.with.aide",17,"boy","no","white",58
468,410,"regular.with.aide",10,"boy","no","white",72
478,414,"regular.with.aide",11,"girl","no","black",18
468,422,"small.class",13,"girl","yes","black",14
506,428,"regular.with.aide",1,"boy","yes","black",19
418,427,"regular",0,"girl","yes","black",27
463,428,"regular.with.aide",27,"boy","yes","white",70
434,413,"regular",8,"boy","yes","white",9
489,447,"regular",5,"girl","no","white",9
459,439,"regular.with.aide",12,"boy","no","black",63
468,436,"regular.with.aide",8,"boy","yes","white",59
602,436,"regular",2,"boy","no","white",57
506,527,"regular.with.aide",20,"boy","no","white",3
484,422,"regular",13,"boy","no","white",74
500,448,"regular",14,"boy","no","white",42
423,402,"regular",18,"girl","yes","white",25
506,476,"small.class",18,"girl","no","other",41
536,456,"small.class",13,"girl","no","white",24
459,427,"regular.with.aide",9,"boy","no","white",49
449,408,"regular",9,"girl","yes","black",18
444,421,"regular.with.aide",12,"boy","no","white",79
494,500,"regular",10,"girl","yes","black",68
547,514,"regular",0,"boy","no","white",59
449,437,"regular.with.aide",13,"girl","yes","white",55
536,456,"regular.with.aide",2,"boy","yes","white",25
626,545,"regular.with.aide",8,"girl","no","white",57
506,453,"regular",2,"girl","yes","white",40
405,402,"small.class",2,"girl","yes","black",28
454,414,"small.class",2,"boy","yes","black",19
459,400,"small.class",4,"girl","yes","white",46
478,460,"regular.with.aide",20,"girl","no","white",3
439,403,"regular",1,"boy","no","white",76
602,492,"regular",5,"girl","no","white",37
454,414,"regular",5,"girl","yes","black",1
478,424,"regular.with.aide",20,"girl","no","white",3
489,411,"regular.with.aide",12,"girl","no","white",51
500,433,"regular.with.aide",1,"girl","yes","black",20
444,416,"regular.with.aide",7,"girl","yes","black",22
454,437,"small.class",10,"boy","no","white",66
559,450,"small.class",7,"girl","no","white",9
536,443,"small.class",13,"girl","no","black",24
473,410,"regular",13,"boy","yes","white",74
459,410,"regular",13,"boy","no","white",55
423,419,"regular.with.aide",10,"boy","yes","black",28
429,403,"regular",13,"girl","yes","white",60
454,419,"small.class",1,"boy","yes","black",57
434,390,"regular.with.aide",13,"boy","yes","white",80
536,463,"regular",12,"boy","no","white",52
473,451,"regular.with.aide",11,"girl","yes","white",9
500,461,"small.class",21,"boy","yes","white",48
520,467,"small.class",3,"boy","no","black",28
506,497,"small.class",12,"boy","no","white",10
449,430,"regular",3,"boy","no","black",58
478,425,"regular",7,"boy","yes","black",28
494,443,"regular.with.aide",12,"girl","yes","white",12
506,472,"small.class",21,"girl","yes","white",48
473,424,"regular.with.aide",5,"boy","no","white",51
536,439,"regular",12,"girl","no","white",8
439,410,"regular",8,"girl","yes","white",4
449,434,"small.class",11,"boy","no","black",60
626,580,"regular",15,"girl","no","white",41
449,407,"regular",2,"girl","no","white",57
520,467,"small.class",12,"boy","yes","white",80
494,480,"regular",16,"boy","yes","black",68
468,439,"small.class",2,"boy","no","white",34
459,433,"regular.with.aide",12,"girl","yes","white",8
528,472,"small.class",11,"boy","yes","white",59
513,448,"regular.with.aide",10,"girl","no","black",24
478,405,"regular",11,"boy","yes","black",22
439,402,"small.class",5,"girl","no","white",17
468,418,"small.class",12,"boy","no","black",25
384,398,"regular",6,"boy","yes","black",19
513,503,"regular",9,"girl","no","black",28
506,465,"small.class",3,"boy","no","black",28
473,421,"regular.with.aide",3,"girl","no","white",58
468,434,"regular.with.aide",9,"boy","yes","black",1
412,393,"regular.with.aide",12,"girl","yes","white",8
473,419,"small.class",4,"boy","yes","white",40
506,453,"small.class",8,"boy","no","white",49
489,468,"regular.with.aide",3,"girl","yes","black",15
478,421,"regular.with.aide",11,"boy","yes","black",18
528,451,"regular",9,"girl","no","black",28
513,442,"regular",13,"boy","no","white",55
506,472,"small.class",13,"girl","no","white",9
536,480,"regular",4,"boy","no","white",48
500,468,"small.class",5,"boy","yes","black",29
484,478,"regular",11,"boy","yes","black",49
418,408,"regular.with.aide",5,"girl","yes","white",39
500,419,"regular.with.aide",5,"boy","yes","white",60
547,436,"regular",24,"boy","yes","black",44
520,532,"small.class",8,"boy","no","white",5
463,447,"regular.with.aide",11,"boy","no","white",9
444,430,"small.class",7,"boy","yes","white",9
536,460,"regular",15,"girl","no","white",7
423,416,"regular",3,"boy","no","white",56
444,445,"regular",13,"girl","no","white",75
513,437,"small.class",12,"boy","no","white",74
520,430,"regular",16,"girl","no","white",62
494,443,"regular.with.aide",15,"girl","yes","white",21
459,413,"regular",8,"boy","no","white",4
528,450,"regular",1,"boy","no","white",6
528,580,"regular",19,"boy","no","white",73
547,527,"small.class",10,"boy","no","white",51
513,425,"small.class",6,"girl","yes","white",50
444,431,"regular",17,"boy","no","white",34
429,403,"small.class",8,"boy","no","white",57
434,434,"small.class",10,"girl","no","white",51
520,453,"small.class",8,"boy","no","white",49
484,433,"regular",9,"girl","yes","black",28
463,418,"regular.with.aide",11,"girl","no","black",37
434,436,"regular.with.aide",3,"girl","no","white",66
513,451,"regular.with.aide",11,"girl","yes","black",31
473,421,"regular",10,"boy","yes","white",63
459,424,"regular.with.aide",16,"girl","yes","black",22
399,411,"small.class",6,"boy","yes","black",28
494,468,"small.class",14,"boy","no","white",9
449,407,"regular.with.aide",11,"boy","yes","black",45
528,437,"regular",18,"boy","yes","black",25
500,492,"regular",11,"girl","no","white",11
459,433,"regular",0,"girl","no","black",27
520,451,"regular",13,"girl","no","white",8
459,413,"regular.with.aide",9,"girl","yes","white",3
602,465,"small.class",13,"girl","yes","black",14
484,495,"regular.with.aide",0,"girl","no","white",37
500,439,"regular",10,"girl","yes","black",30
500,451,"regular.with.aide",14,"boy","no","white",36
559,447,"small.class",9,"girl","yes","white",12
536,431,"regular",24,"girl","yes","black",44
559,474,"regular.with.aide",13,"girl","no","white",76
489,465,"regular",12,"girl","yes","black",27
399,405,"regular.with.aide",22,"girl","yes","black",33
547,458,"regular",0,"girl","no","white",7
506,450,"regular.with.aide",5,"boy","yes","black",21
412,405,"regular",3,"girl","no","white",56
520,440,"small.class",10,"boy","no","white",51
576,463,"small.class",6,"girl","yes","black",19
399,391,"regular",3,"boy","yes","white",56
468,402,"regular",0,"girl","yes","white",67
434,419,"regular",8,"boy","no","white",66
576,605,"regular",10,"girl","no","white",68
399,397,"small.class",6,"boy","yes","black",28
489,451,"regular.with.aide",4,"girl","yes","white",62
500,421,"regular.with.aide",10,"boy","no","black",24
500,456,"small.class",10,"girl","yes","white",51
454,419,"regular.with.aide",16,"girl","yes","black",22
449,408,"regular",6,"girl","yes","black",2
559,472,"regular.with.aide",6,"girl","no","white",69
528,418,"regular.with.aide",12,"boy","no","white",12
454,436,"small.class",5,"boy","yes","white",67
434,430,"regular.with.aide",13,"boy","no","black",11
444,428,"small.class",11,"boy","yes","white",60
484,421,"regular",12,"boy","no","white",46
423,408,"regular.with.aide",11,"boy","no","white",9
473,503,"regular",8,"girl","no","white",9
520,436,"regular.with.aide",20,"girl","no","white",3
489,460,"regular",8,"girl","no","white",9
536,445,"regular.with.aide",11,"girl","no","white",37
454,416,"regular",4,"boy","yes","white",35
463,450,"regular.with.aide",7,"boy","no","white",63
439,382,"small.class",8,"boy","yes","white",5
506,428,"regular.with.aide",3,"boy","no","white",58
418,398,"regular.with.aide",5,"girl","yes","white",60
473,433,"regular",10,"boy","no","white",18
506,431,"regular.with.aide",11,"girl","no","black",18
494,421,"regular.with.aide",12,"boy","no","white",63
513,455,"regular",0,"boy","yes","black",31
559,472,"regular",12,"girl","no","white",8
473,410,"regular.with.aide",12,"boy","yes","white",35
478,433,"small.class",2,"boy","yes","black",16
459,407,"regular",6,"boy","yes","black",2
459,427,"small.class",10,"boy","no","white",66
536,433,"regular.with.aide",3,"boy","no","white",58
423,390,"regular",6,"girl","yes","black",33
473,424,"regular.with.aide",2,"girl","yes","black",25
520,440,"regular",3,"girl","no","white",43
484,384,"regular",10,"girl","yes","black",30
392,388,"regular.with.aide",11,"boy","yes","black",18
439,408,"regular.with.aide",0,"girl","yes","black",44
489,453,"small.class",11,"boy","no","black",23
559,450,"small.class",12,"boy","no","white",10
528,451,"regular",12,"girl","no","white",65
547,503,"small.class",14,"girl","no","white",52
418,400,"small.class",10,"girl","yes","white",3
434,408,"small.class",1,"girl","yes","black",33
434,408,"small.class",12,"girl","yes","black",15
528,476,"small.class",10,"boy","no","white",51
520,458,"regular.with.aide",12,"boy","no","white",12
429,402,"regular",6,"boy","yes","white",2
449,424,"regular",10,"girl","no","white",1
429,405,"regular",3,"boy","no","white",56
444,398,"regular.with.aide",17,"girl","no","white",43
459,436,"regular.with.aide",14,"girl","no","white",36
489,428,"regular.with.aide",5,"girl","yes","black",21
444,424,"small.class",10,"boy","yes","black",18
459,507,"regular.with.aide",0,"girl","yes","black",19
602,500,"regular.with.aide",24,"girl","yes","black",30
454,439,"regular.with.aide",8,"girl","yes","white",38
459,390,"small.class",12,"girl","no","white",34
494,440,"regular",0,"girl","no","white",17
429,391,"regular",6,"boy","yes","black",33
429,407,"regular",2,"boy","no","white",57
429,400,"regular",12,"boy","yes","black",45
500,403,"small.class",5,"boy","no","white",79
449,431,"regular",13,"boy","yes","white",8
528,490,"regular.with.aide",10,"girl","no","white",72
559,465,"regular",11,"boy","no","white",49
468,433,"regular.with.aide",12,"girl","yes","white",50
494,402,"regular.with.aide",11,"boy","no","white",75
559,470,"small.class",7,"girl","no","white",63
473,430,"regular",10,"boy","yes","black",1
468,455,"regular",12,"boy","no","white",52
489,439,"regular.with.aide",0,"boy","yes","black",19
559,532,"regular",11,"girl","no","white",75
478,463,"regular.with.aide",14,"girl","no","white",73
494,458,"regular",13,"boy","no","white",8
484,451,"regular.with.aide",2,"boy","no","white",71
489,436,"small.class",27,"boy","yes","white",40
559,448,"small.class",4,"boy","no","white",7
547,447,"regular",12,"girl","yes","white",52
468,418,"small.class",20,"boy","yes","white",71
489,455,"regular.with.aide",12,"boy","no","white",51
494,448,"regular",5,"boy","no","white",9
454,407,"regular.with.aide",2,"boy","no","black",25
418,419,"regular.with.aide",11,"boy","no","black",45
520,434,"regular",12,"girl","no","white",72
559,430,"regular",6,"boy","yes","black",27
547,487,"small.class",0,"boy","no","white",43
520,436,"regular.with.aide",12,"boy","no","white",8
559,463,"small.class",1,"boy","no","white",57
602,490,"regular.with.aide",8,"boy","no","white",59
429,390,"regular",4,"boy","no","white",80
412,398,"small.class",12,"boy","yes","black",2
468,436,"regular",4,"girl","no","white",39
547,495,"regular",15,"boy","yes","white",7
500,461,"regular",10,"boy","no","white",63
489,443,"regular",13,"girl","no","white",75
520,463,"regular",19,"girl","no","white",73
576,463,"regular.with.aide",13,"boy","no","white",67
513,422,"regular.with.aide",21,"boy","no","white",23
463,434,"regular.with.aide",0,"boy","no","white",37
602,461,"small.class",3,"boy","no","white",75
