"stateur","statemb","state","age","tenure","joblost","nwhite","school12","sex","bluecol","smsa","married","dkids","dykids","yrdispl","rr","head","ui"
5.4,139,11,38,3,"slack_work","no","no","male","yes","yes","yes","yes","no",4,0.59,"yes","no"
7,189,74,33,1,"other","no","no","female","yes","yes","yes","yes","yes",4,0.5208333,"no","no"
8,168,74,46,4,"slack_work","no","no","male","yes","no","yes","yes","no",2,0.519802,"yes","yes"
7.2,166,93,20,1,"slack_work","no","no","male","yes","yes","no","yes","yes",4,0.3933333,"no","no"
8.2,197,34,54,22,"other","no","no","female","yes","yes","yes","no","no",6,0.3793103,"no","no"
10.3,190,23,38,9,"slack_work","no","no","male","yes","yes","yes","yes","no",1,0.5197133,"yes","yes"
5.6,200,59,31,6,"other","no","no","male","yes","yes","yes","yes","yes",8,0.4009217,"yes","no"
8.9,189,74,44,15,"other","no","no","male","yes","no","yes","no","no",5,0.2527174,"yes","no"
7.2,166,93,54,2,"slack_work","no","no","male","yes","yes","yes","yes","no",4,0.332,"yes","yes"
5.7,175,59,55,30,"other","no","no","male","yes","yes","yes","yes","no",5,0.5,"no","yes"
9.7,166,93,27,3,"position_abolished","no","no","female","yes","yes","no","no","no",2,0.3919598,"no","yes"
7.2,196,35,39,5,"slack_work","no","no","male","yes","no","yes","yes","no",4,0.5,"yes","no"
9,161,33,20,1,"slack_work","no","no","male","yes","yes","no","no","no",4,0.48,"no","yes"
5.4,280,23,51,14,"other","no","no","female","yes","yes","no","no","no",9,0.5182927,"no","yes"
7.6,166,87,31,3,"slack_work","no","no","male","yes","no","yes","yes","no",1,0.2073991,"yes","no"
5.4,167,56,39,5,"position_abolished","no","no","male","yes","no","yes","yes","yes",4,0.5,"yes","yes"
6.4,120,43,26,2,"slack_work","no","no","male","yes","yes","no","no","no",4,0.4285714,"no","yes"
4.4,152,11,26,1,"other","no","no","male","yes","yes","yes","yes","no",6,0.5864662,"no","no"
4.5,266,23,39,2,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.4450867,"yes","yes"
5.4,280,23,30,8,"slack_work","no","no","male","yes","yes","no","no","no",9,0.4154676,"yes","yes"
7.3,225,59,52,2,"position_abolished","no","yes","male","yes","yes","yes","no","no",10,0.3218806,"yes","yes"
6.8,232,23,31,8,"other","no","yes","male","yes","yes","yes","yes","yes",5,0.5206612,"yes","yes"
11.5,110,62,22,2,"slack_work","no","no","male","yes","no","yes","no","no",2,0.4212963,"yes","yes"
7.1,197,73,32,3,"other","no","yes","male","yes","yes","no","no","no",4,0.3862745,"yes","no"
6.2,217,74,57,9,"other","no","no","male","yes","yes","no","no","no",9,0.5225225,"no","yes"
5.1,225,51,61,9,"other","no","yes","male","yes","no","no","no","no",9,0.2163743,"no","no"
2.5,150,12,33,2,"position_abolished","no","no","male","yes","yes","no","no","no",6,0.3707572,"no","yes"
4.1,236,56,52,5,"position_abolished","no","no","female","yes","yes","yes","no","no",9,0.5025907,"no","yes"
5.6,190,93,45,2,"other","no","yes","male","yes","yes","yes","no","no",9,0.2367223,"yes","no"
5.6,197,73,53,3,"slack_work","no","no","male","yes","no","yes","no","no",9,0.3785047,"yes","yes"
7.2,260,21,44,8,"slack_work","no","yes","male","yes","yes","yes","yes","no",10,0.4183674,"yes","yes"
4.5,184,56,46,24,"other","no","no","male","yes","no","yes","yes","no",6,0.2824675,"yes","no"
12.4,90,63,41,1,"other","no","no","male","yes","no","yes","yes","no",1,0.2985075,"yes","yes"
10.3,156,94,36,7,"other","no","yes","male","yes","no","yes","yes","yes",2,0.223545,"yes","no"
8.6,84,32,51,3,"other","no","no","male","yes","yes","no","no","no",3,0.4202898,"no","no"
6,272,14,29,1,"other","no","no","male","yes","yes","no","yes","yes",9,0.5,"yes","yes"
3.8,207,14,25,4,"other","no","no","male","yes","yes","yes","no","no",5,0.3476027,"yes","no"
5.4,118,57,39,6,"slack_work","no","no","male","yes","yes","no","no","no",2,0.3618234,"yes","yes"
6.9,291,23,36,1,"slack_work","no","yes","male","yes","yes","yes","yes","no",10,0.5210084,"yes","no"
6.7,166,85,21,1,"slack_work","no","no","male","yes","no","no","no","no",8,0.2553191,"yes","yes"
13.7,90,63,28,2,"other","no","yes","male","yes","no","yes","yes","no",2,0.1561997,"yes","yes"
4.4,222,47,34,3,"slack_work","no","yes","male","yes","no","yes","yes","no",10,0.5520362,"yes","yes"
6.6,170,43,26,1,"other","no","no","male","yes","yes","yes","yes","yes",10,0.5858586,"yes","no"
9.3,140,61,30,11,"slack_work","no","no","male","yes","yes","yes","yes","yes",3,0.3111588,"yes","yes"
7.3,225,59,36,14,"other","no","no","male","yes","yes","yes","yes","no",10,0.3755274,"no","yes"
8.9,189,74,27,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",5,0.5186441,"yes","yes"
7.5,210,93,39,2,"other","no","no","male","yes","yes","yes","yes","no",10,0.3924528,"yes","yes"
6.2,217,74,43,5,"other","no","yes","male","yes","yes","yes","yes","no",9,0.301855,"yes","yes"
7.2,159,82,55,9,"position_abolished","no","no","male","yes","no","yes","no","no",3,0.3540772,"yes","yes"
5.8,214,84,35,4,"other","no","no","male","yes","yes","yes","yes","no",8,0.3899371,"yes","no"
4.9,180,21,34,3,"other","no","no","male","yes","yes","yes","no","no",6,0.4485488,"yes","no"
5.8,245,56,30,1,"slack_work","no","no","male","yes","no","no","no","no",10,0.5,"yes","yes"
5.6,194,84,31,10,"slack_work","no","no","male","yes","yes","no","no","no",3,0.4855072,"no","yes"
12.2,158,31,32,10,"slack_work","no","no","male","yes","no","no","no","no",2,0.3860045,"yes","yes"
2.8,150,12,35,1,"other","no","no","male","yes","yes","yes","no","no",5,0.2876712,"yes","no"
5.8,166,93,28,1,"other","no","yes","male","yes","yes","no","no","no",6,0.207124,"yes","no"
5.4,175,58,29,5,"other","yes","no","female","yes","yes","no","yes","yes",9,0.5233645,"yes","no"
4.5,266,23,41,2,"slack_work","no","no","female","yes","no","yes","no","no",8,0.5192308,"no","yes"
7.2,166,93,23,2,"slack_work","yes","no","male","yes","yes","yes","no","no",4,0.39,"yes","no"
7.1,263,34,24,6,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.3252496,"yes","yes"
5.9,182,74,28,7,"other","no","yes","female","yes","yes","yes","no","no",3,0.5212355,"no","yes"
6.7,270,16,32,10,"slack_work","no","no","male","yes","yes","no","no","no",10,0.5,"no","yes"
10.8,175,92,30,5,"slack_work","no","no","male","yes","yes","no","no","no",2,0.4375,"no","yes"
6.1,206,82,32,2,"slack_work","no","no","male","yes","no","yes","yes","yes",10,0.5,"yes","yes"
6,272,14,30,1,"slack_work","no","no","male","yes","yes","no","no","no",9,0.5,"no","yes"
6.6,170,43,55,6,"position_abolished","no","no","male","yes","yes","yes","no","no",10,0.4837545,"yes","no"
7.4,213,84,42,8,"other","no","no","male","yes","no","yes","yes","no",5,0.4494624,"yes","yes"
4,255,14,20,1,"slack_work","no","no","male","yes","yes","no","no","no",8,0.5,"no","yes"
18,211,55,38,2,"position_abolished","no","no","male","yes","no","yes","no","no",2,0.4393063,"yes","yes"
11.8,205,23,34,8,"slack_work","no","yes","male","yes","yes","yes","yes","yes",2,0.521605,"yes","yes"
6.7,166,93,23,1,"slack_work","yes","no","male","yes","yes","no","no","no",5,0.3952096,"no","no"
7.7,125,59,44,12,"slack_work","yes","no","male","yes","yes","no","no","no",1,0.5022421,"yes","yes"
5.2,160,62,35,3,"other","yes","no","female","yes","no","yes","yes","no",9,0.4044118,"no","yes"
5,175,47,56,9,"slack_work","yes","no","female","yes","yes","no","no","no",4,0.3977273,"yes","yes"
8.8,150,85,43,5,"slack_work","yes","no","male","yes","no","yes","yes","no",4,0.5,"yes","yes"
5.7,241,23,48,28,"slack_work","no","no","male","yes","yes","yes","yes","no",6,0.5206422,"yes","yes"
12.1,163,91,43,3,"slack_work","no","no","male","yes","yes","no","no","no",1,0.3261649,"no","yes"
7.6,166,87,35,5,"slack_work","no","no","male","yes","yes","yes","yes","no",1,0.2440633,"yes","yes"
5.2,146,13,38,3,"other","no","yes","male","yes","no","no","no","no",3,0.3647343,"no","yes"
15,223,55,42,12,"slack_work","no","no","male","yes","no","yes","no","no",3,0.2894737,"yes","yes"
5,159,54,53,23,"other","no","no","male","yes","no","no","no","no",5,0.5186441,"no","yes"
6.5,178,95,36,5,"slack_work","no","yes","male","yes","no","no","yes","no",2,0.5185185,"yes","yes"
8.5,125,21,45,5,"other","yes","no","female","yes","yes","no","yes","no",1,0.4149254,"no","yes"
3.8,161,11,46,18,"other","no","no","female","yes","no","no","no","no",7,0.5918368,"yes","yes"
7,147,31,39,19,"other","yes","no","male","yes","yes","no","no","no",6,0.2693799,"yes","yes"
7.1,197,73,35,3,"slack_work","no","yes","male","yes","no","yes","yes","yes",4,0.4377778,"yes","yes"
11.8,205,72,44,1,"other","yes","no","female","yes","yes","no","yes","no",2,0.5185185,"yes","no"
9.7,146,42,45,3,"other","no","no","male","yes","yes","yes","yes","no",1,0.2921147,"yes","yes"
7.2,170,21,43,15,"other","yes","no","female","yes","yes","no","yes","no",3,0.5,"yes","yes"
4.3,141,12,52,17,"position_abolished","no","no","male","yes","yes","yes","no","no",3,0.296748,"yes","yes"
9.3,140,61,55,9,"other","no","no","male","yes","no","yes","no","no",3,0.1866152,"yes","no"
5.6,190,93,26,1,"seasonal_job_ended","no","no","male","yes","yes","no","yes","yes",9,0.1895504,"yes","yes"
8.6,145,22,42,4,"slack_work","no","no","male","yes","no","yes","yes","no",1,0.4835821,"yes","yes"
8.6,142,85,29,1,"position_abolished","no","yes","male","yes","no","yes","no","no",2,0.5,"yes","no"
10,156,94,32,3,"position_abolished","no","no","male","yes","no","yes","no","no",3,0.1117241,"yes","yes"
14.3,182,34,45,1,"other","no","no","male","yes","no","yes","yes","no",1,0.5253732,"yes","yes"
4.1,171,11,27,1,"other","no","no","male","yes","yes","yes","no","no",8,0.2840691,"yes","yes"
11.6,84,32,27,8,"other","yes","no","male","yes","yes","no","no","no",1,0.1203585,"yes","yes"
4,255,14,26,2,"other","no","no","male","yes","yes","no","no","no",8,0.5014409,"no","yes"
12.2,158,31,34,1,"seasonal_job_ended","no","no","male","yes","no","yes","no","no",2,0.5,"yes","no"
8.1,158,42,46,15,"slack_work","no","no","female","yes","no","no","no","no",2,0.5660377,"yes","yes"
9.1,214,23,58,35,"other","no","no","male","yes","no","yes","no","no",3,0.5212355,"yes","yes"
8.1,147,31,31,11,"other","no","no","female","yes","no","yes","yes","no",5,0.4971751,"no","yes"
9.3,140,61,58,15,"other","no","no","male","yes","no","yes","no","no",5,0.3837535,"yes","yes"
5.2,245,21,29,1,"seasonal_job_ended","no","no","male","yes","no","yes","yes","yes",9,0.5,"yes","yes"
9.2,276,34,28,2,"slack_work","no","no","male","yes","yes","no","no","no",10,0.5253165,"no","yes"
7.2,209,71,43,1,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.4976959,"yes","no"
8.6,125,59,23,4,"other","no","no","male","yes","no","yes","no","no",2,0.4029851,"yes","yes"
10.2,105,43,40,7,"other","no","no","male","yes","yes","yes","yes","no",1,0.2330677,"yes","yes"
15,223,55,24,1,"slack_work","no","no","male","yes","no","no","yes","no",3,0.5217391,"no","yes"
9.3,140,61,40,12,"slack_work","no","no","female","yes","yes","yes","no","no",3,0.3835979,"no","yes"
5,214,22,24,3,"other","no","no","male","yes","yes","no","no","no",5,0.5343512,"yes","no"
7.9,151,61,41,1,"seasonal_job_ended","no","no","male","yes","yes","no","no","no",7,0.3349633,"yes","yes"
4.5,266,23,30,1,"seasonal_job_ended","yes","no","male","yes","yes","no","yes","no",8,0.515873,"yes","no"
7.6,115,11,51,2,"slack_work","no","yes","female","yes","no","yes","no","no",1,0.5739911,"no","yes"
11.2,197,34,34,1,"slack_work","no","no","male","yes","no","yes","yes","no",3,0.4377683,"yes","yes"
7,185,73,58,29,"other","yes","no","male","yes","yes","yes","no","no",3,0.3091787,"yes","yes"
2.8,150,12,27,1,"other","no","yes","male","yes","yes","no","no","no",5,0.1528067,"yes","yes"
5.1,180,21,31,6,"seasonal_job_ended","no","no","male","yes","yes","yes","no","no",8,0.2504013,"yes","yes"
9.5,140,61,41,10,"slack_work","no","yes","male","yes","no","yes","yes","no",4,0.2545455,"yes","yes"
11.8,205,23,35,2,"slack_work","no","no","male","yes","no","no","no","no",2,0.5164835,"yes","yes"
6.5,180,21,56,3,"other","yes","no","male","yes","yes","no","no","no",4,0.5028571,"yes","no"
7.9,151,61,38,15,"slack_work","no","no","male","yes","no","yes","yes","no",7,0.2411972,"yes","yes"
5.3,166,93,38,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",7,0.2765568,"yes","yes"
4.3,129,45,39,2,"slack_work","no","no","male","yes","yes","yes","yes","no",3,0.4308682,"yes","no"
7.5,210,93,22,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",10,0.3924051,"yes","no"
7,145,63,38,10,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.3631124,"yes","no"
14.4,194,55,33,9,"slack_work","no","no","male","yes","no","yes","yes","yes",1,0.4843049,"yes","yes"
8.1,185,91,29,1,"seasonal_job_ended","no","no","female","yes","yes","no","no","no",4,0.5227273,"no","no"
7.7,125,59,30,3,"slack_work","no","no","male","yes","yes","yes","yes","yes",1,0.4149254,"yes","yes"
9.1,145,81,34,3,"position_abolished","no","no","male","yes","no","yes","yes","no",1,0.3403361,"yes","yes"
7.7,147,74,24,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",1,0.5179283,"yes","yes"
5,279,22,39,4,"position_abolished","no","no","male","yes","yes","yes","no","no",9,0.3490137,"yes","yes"
6.8,232,23,25,3,"slack_work","no","yes","female","yes","yes","no","no","no",5,0.5204082,"yes","yes"
13.7,90,63,30,2,"slack_work","no","no","male","yes","no","yes","no","no",2,0.5271739,"no","yes"
5.6,162,12,40,10,"slack_work","no","yes","female","yes","yes","yes","yes","no",9,0.3647417,"no","yes"
3.5,156,12,58,5,"slack_work","no","no","male","yes","no","yes","no","no",8,0.3461539,"yes","yes"
10,156,94,29,2,"slack_work","no","yes","male","yes","yes","no","no","no",3,0.3127413,"no","yes"
6.3,150,59,25,3,"other","no","no","female","yes","yes","no","no","no",3,0.5024155,"no","yes"
4.5,266,23,56,38,"other","no","no","male","yes","no","yes","no","no",8,0.5195122,"yes","yes"
5.9,186,87,24,1,"other","no","yes","male","yes","no","yes","no","no",4,0.5,"no","yes"
7,145,63,55,1,"other","no","no","male","yes","no","yes","no","no",8,0.480916,"yes","no"
9.2,276,34,35,2,"slack_work","no","no","female","yes","yes","yes","yes","no",10,0.5253165,"yes","yes"
7,145,63,25,2,"other","no","no","male","yes","no","yes","yes","yes",8,0.5454546,"yes","yes"
9.4,136,93,29,2,"other","no","no","male","yes","yes","no","yes","no",1,0.4195122,"no","yes"
4,250,41,40,2,"other","no","no","male","yes","no","no","no","no",7,0.5,"no","no"
7.3,225,59,40,4,"slack_work","no","no","male","yes","yes","no","no","no",10,0.5,"yes","yes"
6.6,190,84,28,3,"slack_work","no","no","male","yes","no","yes","yes","yes",2,0.271164,"yes","yes"
4.7,147,57,32,4,"slack_work","yes","yes","male","yes","yes","no","no","no",8,0.4923077,"no","no"
11.4,168,33,60,1,"slack_work","no","no","male","yes","yes","yes","no","no",2,0.253857,"yes","yes"
9.9,197,34,22,1,"slack_work","no","yes","male","yes","yes","yes","yes","yes",4,0.4866667,"yes","yes"
6.4,197,87,34,9,"other","no","yes","male","yes","no","yes","yes","yes",6,0.3945148,"yes","yes"
11.7,115,64,38,8,"slack_work","no","yes","male","yes","no","yes","yes","no",5,0.143949,"yes","yes"
7.2,166,93,36,8,"slack_work","no","no","male","yes","yes","yes","yes","no",4,0.3688889,"yes","yes"
9.2,154,85,24,2,"other","no","no","female","yes","yes","no","no","no",5,0.5,"yes","yes"
7,145,63,34,5,"position_abolished","no","yes","male","yes","yes","yes","yes","no",8,0.2641509,"yes","no"
6.2,217,74,40,20,"other","no","no","male","yes","yes","yes","yes","no",9,0.3107639,"yes","yes"
10,150,94,38,1,"slack_work","no","no","male","yes","no","no","no","no",1,0.1499102,"no","yes"
4.4,200,35,34,6,"position_abolished","no","no","male","yes","no","no","no","no",8,0.5,"yes","yes"
9.2,166,87,46,9,"slack_work","no","yes","male","yes","no","yes","yes","no",2,0.5,"yes","yes"
8.2,197,34,35,12,"slack_work","no","yes","male","yes","yes","yes","yes","yes",6,0.410989,"yes","yes"
11.1,120,63,29,4,"other","no","no","female","yes","no","yes","no","no",3,0.5395684,"no","yes"
12.3,147,31,57,1,"slack_work","no","no","male","yes","yes","yes","no","no",1,0.3266932,"yes","yes"
7.2,260,21,41,9,"slack_work","yes","no","male","yes","yes","yes","yes","yes",10,0.4981132,"yes","yes"
5,200,59,46,1,"other","no","no","female","yes","yes","no","no","no",7,0.5,"yes","no"
10.4,196,35,37,5,"slack_work","yes","no","male","yes","yes","no","no","no",2,0.5,"no","yes"
8.6,225,55,29,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.5192308,"yes","yes"
14.3,182,34,25,5,"slack_work","no","no","female","yes","no","no","yes","no",1,0.522388,"no","yes"
4.7,147,57,53,17,"other","no","no","female","yes","no","no","no","no",8,0.5,"yes","yes"
2.5,150,12,27,2,"other","no","no","male","yes","no","no","no","no",6,0.6255507,"no","no"
5.6,200,59,43,1,"other","no","no","male","yes","yes","no","yes","no",8,0.4461538,"yes","no"
6.6,291,22,28,1,"slack_work","no","no","male","yes","yes","no","no","no",10,0.599278,"yes","no"
7.7,250,53,40,4,"slack_work","yes","no","female","yes","yes","yes","no","no",5,0.5646259,"no","yes"
9.2,166,87,22,2,"position_abolished","no","no","male","yes","no","yes","no","no",2,0.5,"yes","no"
10.2,105,43,23,1,"slack_work","no","no","male","yes","yes","no","no","no",1,0.2096774,"no","yes"
7.1,206,33,52,8,"slack_work","no","no","male","yes","no","no","no","no",10,0.3438818,"yes","yes"
7.1,263,34,26,3,"other","no","no","male","yes","no","yes","no","no",8,0.2919334,"yes","no"
6.5,166,87,61,1,"position_abolished","no","no","male","yes","no","yes","no","no",3,0.2372414,"yes","yes"
5.6,194,95,53,20,"slack_work","no","no","male","yes","yes","yes","no","no",4,0.4311111,"yes","no"
7.4,197,73,25,2,"slack_work","no","no","female","yes","yes","yes","no","no",6,0.5211267,"no","yes"
8,120,62,33,1,"slack_work","no","no","female","yes","no","yes","yes","no",5,0.3757962,"no","yes"
9,161,33,50,5,"other","no","no","female","yes","no","yes","no","no",4,0.48125,"no","yes"
3.6,204,56,57,23,"other","yes","no","female","yes","no","yes","no","no",7,0.4087912,"no","yes"
5.2,165,83,28,4,"slack_work","no","no","male","yes","no","yes","no","no",1,0.4125561,"yes","no"
10,150,94,36,2,"other","no","yes","male","yes","no","yes","yes","yes",1,0.3744394,"yes","no"
8.2,197,34,28,2,"slack_work","no","no","female","yes","yes","no","no","no",6,0.5239617,"yes","yes"
5.7,165,86,57,3,"position_abolished","no","no","male","yes","yes","yes","no","no",10,0.4037267,"no","yes"
10.8,105,64,36,1,"other","yes","no","male","yes","yes","no","no","no",3,0.2922252,"no","yes"
4.9,202,87,61,10,"other","no","no","male","yes","yes","no","no","no",7,0.5,"no","no"
7.1,206,33,36,5,"position_abolished","yes","yes","male","yes","yes","yes","yes","yes",10,0.4873646,"yes","yes"
5.3,166,93,61,13,"seasonal_job_ended","no","no","male","yes","yes","yes","yes","yes",7,0.3964758,"no","yes"
8.9,147,31,29,8,"slack_work","yes","no","male","yes","yes","yes","yes","yes",4,0.49,"yes","yes"
8,224,23,36,1,"slack_work","yes","no","male","yes","yes","yes","yes","yes",4,0.52,"yes","yes"
6.6,291,22,57,12,"slack_work","no","yes","male","yes","yes","yes","no","no",10,0.5287356,"yes","yes"
6.6,291,22,21,1,"slack_work","no","no","male","yes","yes","no","no","no",10,0.5822785,"no","no"
8.7,179,82,28,3,"slack_work","no","no","male","yes","no","yes","yes","yes",5,0.4971751,"yes","yes"
6.2,217,74,24,2,"other","no","no","female","yes","yes","yes","yes","yes",9,0.5203252,"no","no"
10.9,191,72,28,6,"other","no","no","male","yes","yes","no","no","no",7,0.3493976,"yes","yes"
8.6,115,62,50,12,"slack_work","no","no","male","yes","no","yes","no","no",3,0.2474013,"yes","yes"
6.9,193,81,36,1,"slack_work","no","no","male","yes","no","yes","yes","no",10,0.4888889,"yes","yes"
5.6,197,73,38,5,"slack_work","no","no","male","yes","no","no","no","no",9,0.5182186,"yes","yes"
7.9,181,72,31,5,"slack_work","yes","no","male","yes","yes","yes","yes","yes",8,0.2661017,"yes","no"
4.3,254,41,22,2,"slack_work","no","no","male","yes","yes","no","no","no",8,0.5020243,"no","yes"
7.7,204,71,56,1,"other","no","no","male","yes","no","yes","no","no",7,0.5,"yes","yes"
5.4,125,21,34,2,"slack_work","no","yes","male","yes","yes","no","no","no",2,0.3125,"no","yes"
8,168,74,24,2,"other","no","no","female","yes","yes","yes","no","no",2,0.51875,"no","yes"
5.1,180,21,42,5,"slack_work","no","no","male","yes","yes","yes","no","no",8,0.5,"yes","yes"
10.8,175,92,25,3,"other","no","no","male","yes","yes","yes","no","no",2,0.6481481,"yes","yes"
3.7,205,52,23,4,"slack_work","no","no","female","yes","yes","yes","no","no",8,0.5408163,"no","yes"
5.9,215,52,52,2,"other","no","no","male","yes","yes","no","no","no",10,0.2796053,"yes","no"
5.6,200,59,22,4,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.5,"yes","no"
8.6,125,59,27,3,"other","no","no","male","yes","yes","no","no","no",2,0.3333333,"yes","no"
5,279,22,27,1,"slack_work","no","no","male","yes","yes","no","no","no",9,0.5077263,"yes","yes"
10.3,115,64,37,13,"slack_work","no","yes","male","yes","no","yes","yes","no",4,0.23,"yes","no"
5.2,245,21,50,10,"slack_work","no","no","female","yes","yes","no","no","no",9,0.5,"yes","yes"
5.3,175,59,29,2,"other","no","no","male","yes","yes","no","no","no",6,0.5,"no","yes"
5.4,175,58,20,1,"slack_work","no","no","male","yes","no","no","yes","yes",9,0.5189189,"no","yes"
8.9,189,74,21,1,"slack_work","no","no","male","yes","no","no","no","no",5,0.5204082,"no","yes"
13,225,55,39,1,"slack_work","no","no","male","yes","no","no","no","no",4,0.52,"no","yes"
7.5,177,41,25,1,"slack_work","no","no","male","yes","no","no","no","no",1,0.5022421,"yes","no"
4.6,176,73,21,1,"slack_work","no","no","male","yes","yes","yes","no","no",1,0.519403,"yes","no"
6.7,166,93,39,13,"other","no","no","male","yes","yes","yes","yes","no",5,0.2654723,"yes","no"
9.4,136,93,27,4,"other","no","no","male","yes","yes","yes","yes","yes",1,0.4198718,"yes","yes"
7.4,168,33,56,36,"other","no","no","male","yes","yes","no","no","no",6,0.295539,"yes","no"
7.1,263,34,26,1,"other","no","no","male","yes","no","no","no","no",8,0.5244957,"no","yes"
9.8,159,82,24,4,"seasonal_job_ended","no","yes","male","yes","no","yes","yes","yes",2,0.5,"yes","yes"
7.5,210,93,27,8,"other","no","no","female","yes","yes","yes","yes","yes",10,0.3001808,"no","yes"
10.3,190,23,30,2,"position_abolished","no","yes","female","yes","yes","yes","no","no",1,0.4753363,"no","yes"
8,120,62,31,1,"slack_work","yes","yes","male","yes","yes","no","no","no",4,0.4222222,"no","no"
9.1,214,23,23,2,"slack_work","no","no","male","yes","yes","no","no","no",3,0.5209003,"yes","no"
5.4,125,21,23,1,"other","no","no","female","yes","yes","yes","no","no",2,0.5,"no","yes"
4.1,236,56,28,2,"slack_work","yes","no","female","yes","no","no","no","no",9,0.5,"no","yes"
7.5,210,93,29,9,"other","no","yes","male","yes","yes","yes","no","no",10,0.1983274,"yes","yes"
4.3,200,35,33,2,"slack_work","no","yes","male","yes","yes","no","no","no",7,0.364,"yes","no"
9.1,214,23,60,33,"other","no","yes","male","yes","yes","yes","no","no",3,0.4285714,"yes","yes"
8.5,212,94,38,2,"other","no","yes","male","yes","yes","no","no","no",10,0.4945848,"yes","no"
6.6,291,22,35,2,"slack_work","yes","yes","male","yes","yes","no","no","no",10,0.599278,"no","no"
9.7,166,93,60,1,"slack_work","no","no","male","yes","yes","yes","no","no",2,0.3086207,"yes","yes"
10,129,45,45,5,"other","no","no","male","yes","no","yes","yes","no",2,0.2145062,"yes","yes"
8.1,185,91,26,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",4,0.4021739,"yes","yes"
7.5,210,93,39,4,"other","no","no","female","yes","yes","no","no","no",10,0.3943662,"no","yes"
10.3,190,23,46,8,"slack_work","no","no","male","yes","yes","yes","yes","no",1,0.5205128,"yes","yes"
8.5,211,92,36,12,"other","no","yes","male","yes","no","yes","yes","no",5,0.3657244,"yes","yes"
8.8,204,92,35,1,"other","no","yes","male","yes","yes","yes","yes","yes",4,0.4533333,"yes","yes"
5.8,245,56,32,2,"slack_work","no","yes","male","yes","no","no","no","no",10,0.5021097,"yes","no"
5,138,54,41,2,"other","no","no","male","yes","no","yes","yes","no",3,0.4243324,"yes","yes"
5.8,245,56,39,1,"slack_work","yes","no","female","yes","no","no","no","no",10,0.5,"yes","yes"
7.2,260,21,28,8,"other","no","no","male","yes","no","yes","yes","yes",10,0.4638009,"yes","yes"
7.9,181,72,27,2,"slack_work","yes","no","male","yes","yes","no","no","no",8,0.5185185,"no","no"
7.3,196,35,39,6,"other","yes","no","male","yes","yes","no","no","no",3,0.5014006,"yes","yes"
11.6,84,32,39,6,"other","no","no","male","yes","no","no","no","no",1,0.280597,"yes","yes"
5.3,175,56,32,3,"slack_work","no","no","female","yes","yes","no","no","no",5,0.4971098,"yes","yes"
4.9,180,21,40,17,"other","no","no","female","yes","yes","no","no","no",6,0.5,"no","yes"
5.8,245,56,54,3,"seasonal_job_ended","yes","no","female","yes","no","no","yes","no",10,0.5,"yes","yes"
6.8,125,57,26,1,"slack_work","yes","yes","male","yes","no","no","no","no",4,0.5,"no","yes"
6.8,176,33,23,4,"slack_work","no","no","male","yes","no","no","no","no",7,0.4908425,"yes","yes"
4.3,183,44,27,2,"other","no","yes","female","yes","yes","no","no","no",8,0.3986486,"no","no"
5.8,245,56,44,2,"slack_work","no","no","male","yes","no","yes","yes","no",10,0.5,"yes","yes"
5.7,175,59,28,4,"slack_work","no","no","male","yes","yes","no","no","no",5,0.5,"yes","no"
5.8,245,56,35,2,"slack_work","yes","no","male","yes","no","no","no","no",10,0.4981949,"no","yes"
6.2,217,74,36,4,"other","no","no","male","yes","yes","yes","yes","no",9,0.52,"yes","yes"
12.1,163,91,35,1,"other","yes","yes","male","yes","yes","yes","yes","no",1,0.5194175,"yes","no"
9.4,136,93,20,1,"seasonal_job_ended","no","no","female","yes","no","yes","no","no",1,0.4191617,"no","no"
5.8,245,56,55,12,"other","no","no","male","yes","no","yes","no","no",10,0.5,"yes","yes"
4,255,14,50,2,"position_abolished","no","no","female","yes","yes","no","yes","no",8,0.5,"yes","yes"
5.7,140,43,26,2,"other","no","no","male","yes","yes","no","no","no",7,0.4980392,"no","yes"
4,255,14,42,4,"slack_work","no","no","male","yes","yes","yes","yes","no",8,0.4241843,"yes","yes"
11.7,148,33,25,1,"other","no","yes","male","yes","yes","no","no","no",1,0.5,"yes","no"
7.1,197,73,24,1,"slack_work","no","yes","male","yes","no","yes","yes","yes",4,0.5212121,"yes","no"
5.8,245,56,51,17,"other","no","no","female","yes","yes","yes","no","no",10,0.502439,"no","yes"
10.5,251,55,35,11,"other","no","no","male","yes","no","yes","yes","no",10,0.5189874,"yes","yes"
7.3,220,71,28,1,"slack_work","no","yes","male","yes","no","yes","no","no",10,0.4980237,"no","yes"
4.1,236,56,36,1,"position_abolished","no","yes","male","yes","yes","yes","yes","no",9,0.435955,"yes","yes"
