"smsa66","smsa76","nearc2","nearc4","nearc4a","nearc4b","ed76","ed66","age76","daded","nodaded","momed","nomomed","momdad14","sinmom14","step14","south66","south76","lwage76","famed","black","wage76","enroll76","kww","iqscore","mar76","libcrd14","exp76"
"yes","yes","no","yes","no","yes",12,12,32,9.94,"yes",6,"yes","yes","no","no","no","no",6.517671,9,"no",677,"no",36,104,"5","yes",14
"yes","yes","no","yes","no","yes",18,12,27,9,"no",10,"no","yes","no","no","no","no",6.159095,7,"yes",473,"no",31,106,"yes","yes",3
"yes","yes","no","yes","no","yes",14,8,24,8,"no",12,"no","yes","no","no","no","no",5.857933,6,"no",350,"yes",39,NA,"yes","yes",4
"yes","yes","no","yes","no","yes",15,12,32,9,"no",12,"no","yes","no","no","no","no",6.429719,6,"no",620,"yes",45,108,"yes","yes",11
"yes","yes","no","yes","no","yes",16,9,24,12,"no",12,"no","yes","no","no","no","no",5.934894,3,"no",378,"no",41,108,"6","no",2
"yes","yes","no","yes","no","yes",16,10,25,16,"no",13,"no","yes","no","no","no","no",5.493062,1,"no",243,"no",51,121,"6","yes",3
"yes","yes","no","yes","no","yes",12,10,26,7,"no",12,"no","yes","no","no","no","no",6.620073,6,"no",750,"no",NA,87,"4","no",8
"yes","no","no","yes","no","yes",18,15,30,12,"no",14,"no","yes","no","no","no","no",6.089045,2,"no",441,"no",35,107,"yes","yes",6
"yes","yes","no","yes","no","yes",14,14,29,12,"no",14,"no","yes","no","no","no","no",6.533789,2,"no",688,"no",43,112,"6","yes",9
"yes","no","no","yes","no","yes",18,9,25,12,"no",14,"no","yes","no","no","no","no",6.216606,2,"no",501,"no",29,116,"yes","yes",1
"yes","yes","no","yes","no","yes",12,12,29,12,"no",12,"no","yes","no","no","no","no",5.991465,3,"no",400,"no",36,115,"6","yes",11
"yes","yes","no","yes","no","yes",12,10,26,12,"no",12,"no","yes","no","no","no","no",6.888573,3,"no",981,"no",39,107,"yes","yes",8
"yes","yes","yes","yes","yes","no",14,13,30,12,"no",12,"no","yes","no","no","no","yes",6.475433,3,"no",649,"no",36,117,"yes","yes",10
"yes","yes","yes","yes","yes","no",12,12,32,9.94,"yes",10.25,"yes","no","yes","no","no","no",6.437752,9,"no",625,"no",36,110,"yes","yes",14
"no","yes","yes","yes","yes","no",16,13,28,12,"no",11,"no","yes","no","no","no","no",6.561031,5,"yes",707,"yes",35,97,"yes","yes",6
"yes","yes","yes","yes","yes","no",12,12,29,11,"no",12,"no","yes","no","no","no","no",6.949856,6,"no",1043,"no",42,96,"4","yes",11
"yes","yes","yes","yes","yes","no",12,11,27,8,"no",8,"no","yes","no","no","no","no",6.634634,8,"no",761,"no",45,NA,"yes","yes",9
"yes","no","yes","yes","yes","no",13,9,25,14,"no",12,"no","no","no","yes","no","no",6.261492,2,"no",524,"no",28,NA,"yes","yes",6
"yes","yes","yes","yes","yes","no",13,12,27,6,"no",6,"no","yes","no","no","no","no",6.35437,8,"yes",575,"no",34,91,"yes","yes",8
"yes","yes","yes","yes","yes","no",14,11,26,9.94,"yes",6,"yes","no","yes","no","no","no",6.76273,9,"yes",865,"no",31,97,"6","yes",6
"yes","yes","yes","yes","yes","no",12,12,28,12,"no",8,"no","yes","no","no","no","no",6.569481,5,"yes",713,"no",38,90,"yes","yes",10
"yes","yes","yes","yes","yes","no",16,12,27,7,"no",8,"no","yes","no","no","no","no",6.511745,8,"no",673,"no",NA,112,"yes","yes",5
"yes","yes","yes","yes","yes","no",12,9,25,7,"no",8,"no","yes","no","no","no","no",6.495265,8,"no",662,"no",27,97,"yes","yes",7
"yes","yes","yes","yes","yes","no",14,13,29,11,"no",8,"no","yes","no","no","no","no",6.297109,8,"no",543,"no",45,120,"yes","yes",9
"yes","yes","yes","yes","yes","no",13,10,25,12,"no",12,"no","yes","no","no","no","no",6.263398,3,"no",525,"yes",40,109,"6","yes",6
"yes","yes","yes","yes","yes","no",12,11,28,9.94,"yes",8,"yes","no","yes","no","no","no",6.461468,9,"no",640,"no",36,NA,"yes","yes",10
"yes","yes","yes","yes","yes","no",12,9,26,9.94,"yes",8,"yes","no","yes","no","no","no",5.693732,9,"no",297,"no",26,NA,"6","yes",8
"yes","yes","yes","yes","yes","no",8,8,33,9.94,"yes",10.25,"yes","no","no","no","no","no",6.853299,9,"yes",947,"no",37,NA,"5","no",19
"yes","yes","yes","yes","yes","no",12,12,34,8,"no",9,"no","yes","no","no","no","no",6.214608,8,"yes",500,"no",40,99,"yes","yes",16
"yes","yes","yes","yes","yes","no",13,9,25,5,"no",7,"no","yes","no","no","no","no",6.429719,8,"yes",620,"no",43,NA,"4","yes",6
"yes","yes","yes","yes","yes","no",12,8,25,9.94,"yes",10,"yes","no","yes","no","no","no",5.624018,9,"yes",277,"no",31,NA,"yes",NA,7
"yes","no","no","yes","yes","no",10,9,26,5,"no",8,"no","yes","no","no","no","yes",5.480639,8,"no",240,"no",29,99,"yes","yes",10
"yes","no","no","yes","yes","no",10,8,25,5,"no",8,"no","yes","no","no","no","yes",5.480639,8,"no",240,"no",34,NA,"6","yes",9
"yes","yes","no","yes","yes","no",12,12,33,9.94,"yes",10.25,"yes","yes","no","no","no","no",6.135565,9,"no",462,"no",32,85,"yes","yes",15
"yes","yes","no","yes","yes","no",12,11,27,9.94,"yes",11,"yes","no","yes","no","no","no",6.001415,9,"yes",404,"no",32,97,"6","yes",9
"yes","yes","no","yes","yes","no",12,10,25,9.94,"yes",11,"yes","no","yes","no","no","no",6.109248,9,"yes",450,"no",40,95,"yes","yes",7
"yes","yes","no","yes","yes","no",12,8,24,3,"no",2,"no","yes","no","no","no","no",5.521461,8,"yes",250,"no",28,NA,"6","yes",6
"yes","yes","no","yes","yes","no",11,8,26,9.94,"yes",9,"yes","yes","no","no","no","no",6.588926,9,"yes",727,"no",23,NA,"4","yes",9
"yes","yes","no","yes","yes","no",12,8,24,9.94,"yes",9,"yes","no","yes","no","no","no",6.50279,9,"yes",667,"no",30,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",12,11,28,9.94,"yes",6,"yes","yes","no","no","no","no",6.869014,9,"yes",962,"no",31,80,"4","yes",10
"yes","yes","no","yes","yes","no",14,11,27,9.94,"yes",8,"yes","no","yes","no","no","no",6.620073,9,"no",750,"no",44,126,"6","yes",7
"yes","yes","no","yes","yes","no",14,10,25,8,"no",8,"no","yes","no","no","no","no",6.50279,8,"no",667,"no",20,NA,"6","yes",5
"yes","no","no","yes","yes","no",17,16,34,8,"no",12,"no","yes","no","no","no","no",6.539586,6,"no",692,"no",49,109,"yes","yes",11
"yes","yes","no","yes","yes","no",12,8,25,6,"no",12,"no","yes","no","no","no","no",6.142037,6,"yes",465,"no",21,NA,"yes","yes",7
"yes","yes","no","yes","yes","no",12,12,30,9.94,"yes",10.25,"yes","no","yes","no","no","no",6.463029,9,"yes",641,"no",38,NA,"5","yes",12
"yes","yes","no","yes","yes","no",11,10,29,9.94,"yes",11,"yes","no","yes","no","no","no",6.565265,9,"yes",710,"no",22,86,"yes","yes",12
"yes","yes","no","yes","yes","no",13,8,25,9.94,"yes",10,"yes","no","yes","no","no","no",6.052089,9,"yes",425,"no",22,NA,"6","yes",6
"yes","yes","no","yes","yes","no",12,11,27,12,"no",12,"no","no","no","yes","no","no",6.725034,3,"no",833,"no",46,112,"yes","yes",9
"yes","yes","no","yes","yes","no",12,10,26,12,"no",12,"no","no","no","yes","no","no",5.7301,3,"no",308,"yes",41,98,"yes","yes",8
"yes","yes","no","yes","yes","no",16,14,29,12,"no",12,"no","yes","no","no","no","no",6.437752,3,"no",625,"no",48,119,"4","yes",7
"yes","yes","no","yes","yes","no",16,13,32,13,"no",16,"no","yes","no","no","no","no",7.273787,1,"no",1442,"no",26,NA,"yes","yes",10
"yes","yes","no","yes","yes","no",16,10,25,12,"no",12,"no","yes","no","no","no","no",6.511745,3,"no",673,"no",38,102,"yes","yes",3
"yes","yes","no","yes","yes","no",17,13,28,14,"no",14,"no","yes","no","no","no","no",7.204893,1,"no",1346,"no",46,NA,"yes","yes",5
"yes","yes","no","yes","yes","no",17,12,33,12,"no",10,"no","yes","no","no","no","no",5.991465,5,"no",400,"no",41,128,"4","yes",10
"yes","no","no","yes","yes","no",9,9,34,12,"no",10.25,"no","yes","no","no","no","no",6.249975,5,"no",518,"no",38,82,"yes","yes",19
"yes","yes","no","yes","yes","no",14,10,26,16,"no",16,"no","yes","no","no","no","no",6.122493,1,"no",456,"no",30,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",17,16,33,12,"no",12,"no","yes","no","no","no","yes",6.013715,3,"no",409,"no",42,113,"yes","yes",10
"yes","yes","no","yes","yes","no",18,17,34,5,"no",9,"no","yes","no","no","no","no",6.326149,8,"no",559,"no",45,105,"6","yes",10
"yes","yes","no","yes","yes","no",12,7,24,10,"no",9,"no","yes","no","no","no","no",5.438079,7,"yes",230,"no",32,NA,"yes","yes",6
"yes","yes","yes","yes","yes","no",17,11,27,18,"no",18,"no","yes","no","no","no","no",6.933423,1,"no",1026,"yes",46,124,"6","yes",4
"yes","yes","yes","yes","yes","no",12,11,27,13,"no",13,"no","yes","no","no","no","no",6.986567,1,"no",1082,"no",48,NA,"yes","yes",9
"yes","yes","yes","yes","yes","no",14,8,24,13,"no",13,"no","yes","no","no","no","no",7.091742,1,"no",1202,"no",39,94,"yes","yes",4
"yes","no","yes","yes","yes","no",17,11,25,9.94,"yes",12,"yes","yes","no","no","no","no",5.796058,4,"no",329,"no",40,117,"yes","yes",2
"yes","yes","yes","yes","yes","no",18,11,27,14,"no",14,"no","yes","no","no","no","no",6.175867,1,"no",481,"no",39,116,"6","yes",3
"yes","yes","yes","yes","yes","no",18,9,24,14,"no",10.25,"no","yes","no","no","no","yes",6.511745,5,"no",673,"no",33,NA,"6",NA,0
"no","yes","yes","yes","yes","no",17,15,31,12,"no",12,"no","yes","no","no","no","no",7.428333,3,"no",1683,"no",41,NA,"6","yes",8
"yes","yes","yes","yes","yes","no",16,16,34,12,"no",12,"no","yes","no","no","no","no",7.156177,3,"no",1282,"no",40,112,"yes","yes",12
"yes","yes","yes","yes","yes","no",12,8,24,12,"no",14,"no","yes","no","no","no","no",6.357842,2,"no",577,"no",23,NA,"6","yes",6
"yes","yes","yes","yes","yes","no",18,12,27,9,"no",9,"no","yes","no","no","no","no",6.095825,7,"no",444,"no",31,105,"6","yes",3
"yes","yes","yes","yes","yes","no",16,11,28,9.94,"yes",9,"yes","no","yes","no","no","no",6.175867,9,"yes",481,"no",34,87,"6","yes",6
"yes","yes","yes","yes","yes","no",12,9,24,16,"no",12,"no","yes","no","no","no","no",6.146329,2,"yes",467,"no",NA,108,"6","yes",6
"yes","yes","yes","yes","yes","no",6,6,31,3,"no",3,"no","yes","no","no","no","no",6.504288,8,"no",668,"no",40,NA,"yes","no",19
"yes","yes","yes","yes","yes","no",15,10,27,12,"no",12,"no","yes","no","no","no","no",5.655992,3,"no",286,"no",36,89,"yes","yes",6
"yes","yes","yes","yes","yes","no",18,16,33,12,"no",12,"no","yes","no","no","no","no",6.357842,3,"no",577,"no",NA,119,"yes","yes",9
"yes","yes","yes","yes","yes","no",14,13,29,12,"no",12,"no","yes","no","no","no","no",6.580639,3,"no",721,"no",34,97,"yes","yes",9
"yes","yes","yes","yes","yes","no",12,10,25,6,"no",8,"no","yes","no","no","no","no",6.135565,8,"no",462,"no",28,89,"yes","yes",7
"yes","yes","yes","yes","yes","no",15,10,25,12,"no",10,"no","yes","no","no","no","no",6.620073,5,"no",750,"no",28,NA,"yes","no",4
"yes","yes","yes","yes","yes","no",12,8,24,6,"no",12,"no","yes","no","no","no","no",5.298317,6,"no",200,"no",39,131,"6","yes",6
"yes","yes","yes","yes","yes","no",12,11,27,12,"no",10,"no","yes","no","no","no","no",6.476973,5,"no",650,"no",26,NA,"yes","yes",9
"yes","yes","yes","yes","yes","no",18,14,28,12,"no",11,"no","no","no","no","no","no",6.175867,5,"no",481,"no",30,NA,"6","yes",4
"yes","yes","yes","yes","yes","no",11,7,24,9,"no",10.25,"no","no","yes","no","no","no",6.39693,9,"no",600,"no",38,NA,"yes","no",7
"yes","yes","yes","yes","yes","no",16,13,28,16,"no",16,"no","yes","no","no","no","yes",6.645091,1,"no",769,"no",35,85,"yes","yes",6
"yes","yes","yes","yes","yes","no",17,12,27,16,"no",16,"no","yes","no","no","no","no",6.652863,1,"no",775,"yes",26,132,"yes","yes",4
"yes","yes","yes","yes","yes","no",16,9,24,16,"no",16,"no","yes","no","no","no","no",6.463029,1,"no",641,"no",28,114,"yes","yes",2
"yes","yes","yes","yes","yes","no",14,12,33,14,"no",10,"no","yes","no","no","no","no",6.961296,5,"no",1055,"no",35,98,"yes","yes",13
"yes","yes","yes","yes","yes","no",16,15,31,14,"no",12,"no","yes","no","no","no","no",6.516193,2,"no",676,"no",44,110,"6","yes",9
"yes","yes","yes","yes","yes","no",12,12,28,9.94,"yes",10.25,"yes","no","no","no","no","no",6.53814,9,"no",691,"no",41,124,"6","yes",10
"yes","yes","yes","yes","yes","no",17,15,30,14,"no",12,"no","yes","no","no","no","no",6.869014,2,"no",962,"yes",41,118,"yes","yes",7
"yes","yes","yes","yes","yes","no",13,12,28,14,"no",12,"no","yes","no","no","no","no",5.991465,2,"no",400,"no",32,90,"5","yes",9
"yes","yes","yes","yes","yes","no",16,12,27,14,"no",12,"no","yes","no","no","no","no",6.511745,2,"no",673,"no",38,108,"yes","yes",5
"yes","yes","yes","yes","yes","no",18,17,34,10,"no",11,"no","yes","no","no","no","no",7.273787,7,"yes",1442,"no",42,112,"yes","yes",10
"yes","yes","yes","yes","yes","no",18,15,32,16,"no",10,"no","yes","no","no","no","no",6.270988,5,"no",529,"no",38,100,"yes","yes",8
"yes","yes","yes","yes","yes","no",14,11,27,9,"no",11,"no","yes","no","no","no","no",6.55108,7,"yes",700,"no",21,84,"yes","yes",7
"yes","yes","yes","yes","yes","no",8,8,34,9.94,"yes",4,"yes","no","no","yes","no","no",6.514713,9,"yes",675,"no",36,NA,"yes","no",20
"yes","yes","yes","yes","yes","no",18,10,25,8,"no",10,"no","yes","no","no","no","no",6.202536,8,"no",494,"no",34,97,"yes","yes",1
"yes","yes","yes","yes","yes","no",12,9,24,12,"no",8,"no","yes","no","no","no","no",6.214608,5,"no",500,"no",26,113,"yes","yes",6
"yes","yes","yes","yes","yes","no",16,8,24,9.94,"yes",10.25,"yes","yes","no","no","no","no",6.109248,9,"yes",450,"no",27,NA,"6","no",2
"yes","yes","yes","yes","yes","no",13,9,25,9.94,"yes",8,"yes","no","yes","no","no","no",6.398595,9,"yes",601,"no",27,NA,"6","yes",6
"yes","yes","yes","yes","yes","no",13,13,28,9,"no",12,"no","yes","no","no","no","no",6.575076,6,"yes",717,"yes",37,105,"6","yes",9
"yes","yes","yes","yes","yes","no",12,11,29,9,"no",10,"no","yes","no","no","no","no",6.35437,7,"yes",575,"no",28,88,"5","yes",11
"yes","yes","yes","yes","yes","no",12,9,25,9,"no",10,"no","yes","no","no","no","no",5.857933,7,"yes",350,"no",33,74,"yes","yes",7
"yes","yes","yes","yes","yes","no",12,7,24,9,"no",10,"no","yes","no","no","no","no",5.857933,7,"yes",350,"no",31,NA,"6","no",6
"yes","yes","no","yes","yes","no",16,13,29,12,"no",12,"no","yes","no","no","no","no",6.466145,3,"no",643,"no",46,115,"yes","yes",7
"yes","yes","no","yes","yes","no",15,8,24,10,"no",12,"no","yes","no","no","no","no",6.514713,6,"no",675,"no",30,NA,"yes","yes",3
"yes","yes","no","yes","yes","no",15,12,28,12,"no",12,"no","yes","no","no","no","no",6.520621,3,"no",679,"no",34,91,"yes","yes",7
"yes","yes","no","yes","yes","no",12,11,27,12,"no",9,"no","yes","no","no","no","no",6.280396,5,"no",534,"no",34,103,"4","yes",9
"yes","yes","no","yes","yes","no",16,14,31,12,"no",10,"no","yes","no","no","no","no",6.261492,5,"no",524,"no",46,102,"yes","yes",9
"no","yes","no","yes","yes","no",16,13,28,10,"no",10,"no","yes","no","no","no","yes",6.50279,7,"no",667,"no",38,98,"6","yes",6
"yes","yes","no","yes","yes","no",14,10,26,12,"no",10.25,"no","yes","no","no","no","no",5.913503,5,"no",370,"no",35,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",15,11,26,12,"no",12,"no","yes","no","no","no","no",6.489205,3,"no",658,"no",47,NA,"6","yes",5
"yes","yes","no","yes","yes","no",12,12,34,9.94,"yes",10.25,"yes","yes","no","no","no","no",6.55108,9,"yes",700,"no",39,NA,NA,"no",16
"yes","yes","no","yes","yes","no",18,11,27,9,"no",12,"no","yes","no","no","no","no",5.739793,6,"no",311,"no",33,82,"6","yes",3
"yes","yes","no","yes","yes","no",9,9,33,9.94,"yes",9,"yes","no","yes","no","no","no",6.734591,9,"no",841,"no",44,NA,"yes","yes",18
"yes","yes","no","yes","yes","no",14,14,31,10,"no",12,"no","yes","no","no","no","no",6.49224,6,"no",660,"no",47,112,"yes","yes",11
"yes","yes","no","yes","yes","no",16,12,31,8,"no",9,"no","yes","no","no","no","no",6.539586,8,"no",692,"no",41,108,"yes","yes",9
"yes","yes","no","yes","yes","no",15,13,28,9.94,"yes",7,"yes","yes","no","no","no","no",6.357842,9,"no",577,"no",37,90,"yes","yes",7
"yes","yes","no","yes","yes","no",17,11,26,9,"no",12,"no","no","no","no","no","no",6.558198,6,"no",705,"no",32,NA,"6","yes",3
"yes","yes","no","yes","yes","no",16,10,27,5,"no",8,"no","yes","no","no","no","yes",5.676754,8,"no",292,"no",38,111,"yes","yes",5
"yes","yes","no","yes","yes","no",13,10,26,8,"no",11,"no","yes","no","no","no","no",6.620073,8,"no",750,"no",24,96,"yes","yes",7
"yes","yes","no","yes","yes","no",16,16,34,12,"no",12,"no","yes","no","no","no","no",7.273787,3,"no",1442,"no",48,NA,"yes","no",12
"yes","yes","no","yes","yes","no",16,16,33,16,"no",16,"no","yes","no","no","no","no",7.091742,1,"no",1202,"no",48,127,"yes","yes",11
"yes","yes","no","yes","yes","no",15,14,33,9.94,"yes",8,"yes","yes","no","no","no","yes",7.379632,9,"no",1603,"no",47,97,"yes","yes",12
"yes","yes","no","yes","yes","no",14,14,32,9.94,"yes",12,"yes","yes","no","no","no","yes",6.645091,4,"no",769,"no",50,120,"4","yes",12
"yes","yes","no","yes","yes","no",16,15,31,14,"no",16,"no","yes","no","no","no","no",6.240276,1,"no",513,"no",41,101,"6","yes",9
"yes","yes","no","yes","yes","no",12,12,31,9.94,"yes",8,"yes","no","yes","no","no","no",6.690842,9,"no",805,"no",38,100,"yes","no",13
"yes","yes","no","yes","yes","no",17,16,34,8,"no",8,"no","yes","no","no","no","no",6.869014,8,"no",962,"yes",44,99,"yes","yes",11
"yes","yes","no","yes","yes","no",12,10,25,16,"no",16,"no","yes","no","no","no","no",6.514713,1,"no",675,"no",NA,104,"yes","yes",7
"yes","yes","no","yes","yes","no",13,9,24,8,"no",8,"no","yes","no","no","no","no",5.986452,8,"no",398,"no",NA,116,"yes","yes",5
"yes","yes","no","yes","yes","no",14,14,33,12,"no",12,"no","yes","no","no","no","no",6.751101,3,"no",855,"no",40,120,"yes","yes",13
"yes","yes","no","yes","yes","no",11,9,25,9.94,"yes",9,"yes","no","yes","no","no","no",6.54103,9,"yes",693,"no",27,95,"yes","no",8
"yes","yes","no","yes","yes","no",11,8,24,8,"no",9,"no","yes","no","no","no","no",6.463029,8,"yes",641,"no",27,NA,"5","no",7
"yes","yes","no","yes","yes","no",13,10,27,10,"no",8,"no","yes","no","no","no","no",5.843544,8,"yes",345,"no",34,99,"yes","no",8
"yes","yes","no","yes","yes","no",12,11,27,9.94,"yes",10.25,"yes","yes","no","no","no","no",6.329721,9,"yes",561,"no",24,68,"5","yes",9
"yes","yes","no","yes","yes","no",12,8,24,9,"no",11,"no","yes","no","no","no","no",6.527958,7,"yes",684,"no",21,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",16,14,29,16,"no",16,"no","yes","no","no","no","yes",6.150603,1,"no",469,"no",49,122,"yes","yes",7
"yes","yes","no","yes","yes","no",16,11,26,12,"no",12,"no","no","no","yes","no","no",5.703783,3,"no",300,"no",37,106,"6","yes",4
"yes","yes","no","yes","yes","no",18,10,25,12,"no",9,"no","yes","no","no","no","no",6.511745,5,"no",673,"no",37,101,"yes","yes",1
"yes","yes","no","yes","yes","no",16,8,24,12,"no",9,"no","yes","no","no","no","no",5.953243,5,"no",385,"no",29,NA,"6","yes",2
"yes","yes","no","yes","yes","no",16,12,33,8,"no",6,"no","yes","no","no","no","no",6.694562,8,"no",808,"no",45,104,"yes","yes",11
"yes","yes","no","yes","yes","no",17,8,24,12,"no",12,"no","yes","no","no","no","no",6.306275,3,"no",548,"yes",40,NA,"6","yes",1
"yes","yes","no","yes","yes","no",16,11,26,12,"no",12,"no","yes","no","no","no","no",6.214608,3,"no",500,"no",38,NA,"6","yes",4
"yes","yes","no","yes","yes","no",13,12,29,11,"no",12,"no","yes","no","no","no","no",6.588926,6,"no",727,"yes",38,99,"yes","yes",10
"no","yes","no","yes","yes","no",16,12,28,11,"no",12,"no","yes","no","no","no","no",6.261492,6,"no",524,"no",29,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",15,8,24,2,"no",8,"no","yes","no","no","no","no",6.109248,8,"yes",450,"no",36,NA,"6","yes",3
"yes","yes","no","yes","yes","no",12,12,28,6,"no",8,"no","yes","no","no","no","no",6.626718,8,"yes",755,"no",34,NA,"yes","no",10
"yes","yes","no","yes","yes","no",12,8,24,11,"no",10.25,"no","no","no","no","no","no",6.461468,9,"yes",640,"no",37,NA,"yes","no",6
"yes","yes","no","yes","yes","no",12,8,24,10,"no",12,"no","yes","no","no","no","no",5.746203,6,"yes",313,"no",30,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",12,12,29,12,"no",12,"no","yes","no","no","no","no",7.261927,3,"no",1425,"no",37,101,"yes","no",11
"yes","yes","no","yes","yes","no",12,12,28,11,"no",5,"no","yes","no","no","no","no",6.634634,8,"no",761,"no",23,110,"6","yes",10
"yes","yes","no","yes","yes","no",12,9,26,11,"no",5,"no","yes","no","no","no","no",6.39693,8,"no",600,"no",35,94,"yes","yes",8
"yes","yes","no","yes","yes","no",16,14,32,12,"no",15,"no","yes","no","no","no","no",7.013016,2,"no",1111,"no",42,111,"yes","yes",10
"yes","yes","no","yes","yes","no",16,15,33,13,"no",17,"no","yes","no","no","no","no",6.637258,1,"no",763,"no",50,120,"yes","yes",11
"yes","yes","no","yes","yes","no",12,12,32,8,"no",8,"no","yes","no","no","no","no",6.476973,8,"no",650,"no",45,108,"yes","yes",14
"yes","yes","no","yes","yes","no",14,12,27,16,"no",16,"no","yes","no","no","no","no",7.051856,1,"no",1155,"no",39,111,"yes","yes",7
"yes","yes","no","yes","yes","no",12,8,24,9,"no",12,"no","yes","no","no","no","no",6.39693,6,"no",600,"no",25,NA,"yes","yes",6
"yes","yes","no","yes","yes","no",12,9,29,11,"no",11,"no","yes","no","no","no","no",6.318968,7,"no",555,"no",31,103,"yes","no",11
"yes","yes","no","yes","yes","no",11,8,28,11,"no",11,"no","yes","no","no","no","no",6.297109,7,"no",543,"yes",25,NA,"yes","no",11
"yes","yes","no","yes","yes","no",11,6,25,11,"no",11,"no","yes","no","no","no","no",6.309918,7,"no",550,"yes",31,NA,"yes","no",8
"yes","yes","no","yes","yes","no",11,11,31,9.94,"yes",10.25,"yes","no","no","no","no","no",6.684612,9,"no",800,"no",39,97,"yes","no",14
"yes","yes","no","yes","yes","no",11,10,26,10,"no",11,"no","yes","no","no","no","no",6.907755,7,"no",1000,"no",26,97,"yes","no",9
"yes","yes","no","yes","yes","no",12,12,31,13,"no",11,"no","yes","no","no","no","no",6.761573,5,"no",864,"no",36,106,"yes","no",13
"yes","yes","no","yes","yes","no",13,12,32,9.94,"yes",6,"yes","no","no","yes","no","no",6.418365,9,"no",613,"no",43,109,"yes","yes",13
"yes","yes","no","yes","yes","no",16,8,24,12,"no",12,"no","yes","no","no","no","no",6.251904,3,"no",519,"no",27,NA,"yes","yes",2
"yes","yes","no","yes","yes","no",13,12,30,9.94,"yes",10.25,"yes","yes","no","no","no","no",6.561031,9,"yes",707,"no",45,96,"yes","yes",11
"yes","yes","no","yes","yes","no",13,10,26,10,"no",10,"no","yes","no","no","no","no",6.706862,7,"yes",818,"yes",26,79,"yes","yes",7
"yes","yes","no","yes","yes","no",10,9,25,10,"no",12,"no","yes","no","no","no","no",5.703783,6,"yes",300,"no",31,62,"6","yes",9
"yes","yes","yes","yes","no","yes",16,14,30,9,"no",9,"no","yes","no","no","no","no",6.553934,7,"no",702,"yes",47,110,"yes","yes",8
"yes","yes","yes","yes","no","yes",16,16,34,9.94,"yes",12,"yes","no","yes","no","no","no",7.186901,4,"no",1322,"no",47,117,"yes","yes",12
"yes","yes","yes","yes","no","yes",12,10,27,9.94,"yes",12,"yes","no","yes","no","no","no",5.940171,4,"yes",380,"yes",25,72,"yes","no",9
"yes","yes","yes","yes","no","yes",11,9,26,9.94,"yes",10.25,"yes","no","no","no","no","no",5.991465,9,"yes",400,"no",30,83,"6","yes",9
"yes","yes","yes","yes","no","yes",11,9,25,9.94,"yes",10.25,"yes","no","yes","no","no","no",6.2106,9,"yes",498,"no",22,99,"yes","yes",8
"yes","yes","yes","yes","no","yes",10,10,33,9.94,"yes",11,"yes","no","yes","no","no","no",6.496775,9,"yes",663,"no",18,72,"yes","yes",17
"yes","yes","yes","yes","no","yes",10,10,33,8,"no",11,"no","yes","no","no","no","no",6.39693,8,"yes",600,"no",29,88,"5","no",17
"yes","no","yes","yes","no","yes",18,17,32,16,"no",12,"no","yes","no","no","no","yes",6.94119,2,"no",1034,"no",48,123,"yes","yes",8
"yes","yes","yes","yes","no","yes",14,10,25,12,"no",12,"no","yes","no","no","no","no",6.98379,3,"no",1079,"no",23,91,"6","yes",5
"yes","yes","yes","yes","no","yes",18,9,24,12,"no",12,"no","yes","no","no","no","yes",5.991465,3,"no",400,"no",31,98,"6","yes",0
"yes","yes","yes","yes","no","yes",16,15,33,13,"no",12,"no","yes","no","no","no","no",6.463029,2,"no",641,"no",37,119,"6","no",11
"yes","yes","yes","yes","no","yes",12,12,32,9.94,"yes",8,"yes","no","no","yes","no","no",6.429719,9,"no",620,"no",33,87,"yes","no",14
"yes","yes","yes","yes","yes","no",17,15,30,12,"no",11,"no","no","no","yes","no","no",6.175867,5,"no",481,"no",49,121,"4","yes",7
"yes","yes","yes","yes","yes","no",16,16,33,8,"no",8,"no","yes","no","no","no","no",6.964136,8,"no",1058,"no",41,NA,"6","yes",11
"yes","yes","yes","yes","yes","no",12,11,26,8,"no",12,"no","yes","no","no","no","no",6.300786,6,"no",545,"no",33,112,"yes","yes",8
"yes","yes","yes","yes","yes","no",14,11,26,12,"no",12,"no","yes","no","no","no","no",6.666957,3,"no",786,"no",38,113,"6","yes",6
"yes","yes","yes","yes","yes","no",18,11,25,12,"no",12,"no","yes","no","no","no","no",6.184149,3,"no",485,"no",38,125,"6","yes",1
"yes","yes","yes","yes","yes","no",14,14,34,11,"no",11,"no","yes","no","no","no","no",6.582025,7,"no",722,"yes",45,121,"yes","yes",14
"yes","yes","yes","yes","yes","no",15,13,28,12,"no",12,"no","yes","no","no","no","no",6.543912,3,"no",695,"no",47,128,"yes","yes",7
"yes","yes","yes","yes","yes","no",15,12,34,12,"no",12,"no","yes","no","no","no","no",6.308098,3,"no",549,"no",41,NA,"4","yes",13
"yes","yes","yes","yes","yes","no",15,12,32,15,"no",12,"no","yes","no","no","no","no",6.675823,2,"no",793,"no",36,103,"yes","yes",11
"yes","yes","yes","yes","yes","no",16,16,33,18,"no",16,"no","yes","no","no","no","yes",7.561642,1,"no",1923,"no",48,99,"yes","yes",11
